dataset,selection,mean_variance,moran_i,n_hh
compas,global,0.001308 ± 0.000306,0.1993 ± 0.0772,86.7 ± 55.0
compas,per-family (GBM),0.001245 ± 0.000290,0.2376 ± 0.0640,83.2 ± 37.7
compas,per-family (LogReg),0.000060 ± 0.000128,0.1720 ± 0.1979,57.7 ± 77.4
compas,per-family (MLP),0.001256 ± 0.000133,0.4216 ± 0.0486,208.5 ± 39.8
compas,per-family (RF),0.003239 ± 0.000355,0.1487 ± 0.0196,82.4 ± 22.9
compas,per-family (kNN),0.010692 ± 0.001397,0.0898 ± 0.0265,73.9 ± 36.0
german,global,0.005023 ± 0.002129,0.1042 ± 0.0397,2.7 ± 2.2
german,per-family (GBM),0.007108 ± 0.001192,0.1141 ± 0.0226,3.0 ± 2.4
german,per-family (LogReg),0.002121 ± 0.001283,0.0503 ± 0.0187,0.2 ± 0.4
german,per-family (MLP),0.009317 ± 0.002546,0.1676 ± 0.0429,7.0 ± 4.6
german,per-family (RF),0.002123 ± 0.000803,0.0493 ± 0.0333,0.7 ± 1.6
german,per-family (kNN),0.005646 ± 0.001457,0.0571 ± 0.0207,0.8 ± 1.0
breast_cancer,global,0.003182 ± 0.002649,0.0315 ± 0.0207,1.6 ± 3.0
breast_cancer,per-family (GBM),0.003760 ± 0.002572,0.0279 ± 0.0324,1.2 ± 2.7
breast_cancer,per-family (LogReg),0.001454 ± 0.000739,0.0333 ± 0.0321,2.3 ± 4.7
breast_cancer,per-family (MLP),0.005322 ± 0.001658,0.1190 ± 0.0511,6.2 ± 7.9
breast_cancer,per-family (RF),0.000527 ± 0.000222,0.0786 ± 0.0402,3.3 ± 4.6
breast_cancer,per-family (kNN),0.002642 ± 0.000534,0.1057 ± 0.0323,7.4 ± 6.8
