dataset,family,mean_var_mean,mean_var_std,moran_mean,moran_std,n_hh_mean,n_hh_std
breast_cancer,GBM,0.0037603085705343806,0.002572325644228565,0.027855121674286658,0.032362413958417345,1.2,2.6997942308422114
breast_cancer,LogReg,0.0014536867901543,0.0007391948027270248,0.0332865799959772,0.03209605647428296,2.3,4.715223571935199
breast_cancer,MLP,0.0053219605844854545,0.001657823824571713,0.11898983439256727,0.05114292596111412,6.2,7.941452428030194
breast_cancer,RF,0.000526650402390555,0.00022238834770360268,0.0785884499517837,0.04017924118223874,3.3,4.643992535164831
breast_cancer,kNN,0.0026422215785922836,0.0005341789477182339,0.10566964648393444,0.032339183367320494,7.4,6.769211344183473
compas,GBM,0.0012454725594118574,0.00029028716302115644,0.23759043733729182,0.06398379579229406,83.2,37.688194438046516
compas,LogReg,5.982223858097044e-05,0.00012783434384580934,0.17199712180025206,0.19786914605500835,57.7,77.38941931699851
compas,MLP,0.0012558569401979606,0.000132545459086714,0.4216342683217597,0.04860642235673334,208.5,39.82531300009525
compas,RF,0.0032385363885786686,0.0003549519994120114,0.14867767120226846,0.019574990534346092,82.4,22.853154413924276
compas,kNN,0.010692453277963337,0.0013972662171763746,0.08981161713593522,0.02650902704756229,73.9,36.007560934398825
german,GBM,0.007108161467769321,0.001191791941907899,0.11410570348302815,0.0225707672360999,3.0,2.3570226039551585
german,LogReg,0.002121059847830263,0.0012829267274966913,0.05027839368705507,0.01870869280434037,0.2,0.42163702135578396
german,MLP,0.009316574662684962,0.00254571297936449,0.16760977048164874,0.0429240902308479,7.0,4.570436400267363
german,RF,0.0021229445025067,0.0008027401432396672,0.049260661044617474,0.03327170370811635,0.7,1.636391694484477
german,kNN,0.005646433320364327,0.0014567811323180767,0.05711365493669286,0.020681557083300554,0.8,1.0327955589886444
