dataset,seed,tau,mean_var_hard,mean_var_soft,effective_n,top_weight
compas,0,0.001,0.0008409453700273324,0.0009125822867471039,23.16977022439512,0.08485948043376336
compas,0,0.005,0.0008409453700273324,0.0033368271042710784,127.86733219458061,0.015953758519735056
compas,0,0.01,0.0008409453700273324,0.004214891122621136,174.13001450083104,0.009571823657933966
compas,0,0.02,0.0008409453700273324,0.005607301534067712,201.26604177369265,0.0068962356253087186
compas,0,0.05,0.0008409453700273324,0.008570928355130425,229.50258455929352,0.005268759877532719
compas,1,0.001,0.0015244596052015832,0.0022453224653905353,77.44224598134082,0.033392265364754516
compas,1,0.005,0.0015244596052015832,0.0032934088505517604,155.2053053451212,0.009668034779852038
compas,1,0.01,0.0015244596052015832,0.00414019955516955,181.4242691721945,0.00729997564007098
compas,1,0.02,0.0015244596052015832,0.005423059193503823,203.23606601288458,0.005993221316666481
compas,1,0.05,0.0015244596052015832,0.008193445133737279,229.0202794581216,0.004985500416529208
compas,2,0.001,0.0008408913254369985,0.0012674118261488138,27.83800205553432,0.08517402324804783
compas,2,0.005,0.0008408913254369985,0.00368000144273564,138.07969667598448,0.014046703754307041
compas,2,0.01,0.0008408913254369985,0.004743800412809023,173.57814042817756,0.008995798022740977
compas,2,0.02,0.0008408913254369985,0.006450344171192609,200.75957167823623,0.006693938496043684
compas,2,0.05,0.0008408913254369985,0.009591367965798604,230.42389350258858,0.005194578849649273
compas,3,0.001,0.0011452230709241551,0.001466339519430974,34.64210196739694,0.1026104958465347
compas,3,0.005,0.0011452230709241551,0.0027489268117665356,134.8249992030928,0.014125099903488477
compas,3,0.01,0.0011452230709241551,0.0037435241394591194,166.03799058605367,0.009223420943504453
compas,3,0.02,0.0011452230709241551,0.005502998188226956,194.71952216410688,0.0068824215106283
compas,3,0.05,0.0011452230709241551,0.008901966413625192,228.19117050818426,0.005288422735320587
compas,4,0.001,0.0014160377490167232,0.0012684237195385222,20.391474000643537,0.09867737063872001
compas,4,0.005,0.0014160377490167232,0.0028602452879416184,116.42048190490216,0.01701147715850737
compas,4,0.01,0.0014160377490167232,0.0037264291310387964,153.75605515577104,0.010518526348831802
compas,4,0.02,0.0014160377490167232,0.005433811428657326,184.72444333561936,0.007545973337356556
compas,4,0.05,0.0014160377490167232,0.008970176700014536,221.73233836672506,0.005589601057899216
compas,5,0.001,0.0012954758779251641,0.0011390971144114735,15.627397475640059,0.17535511191282913
compas,5,0.005,0.0012954758779251641,0.0032084793028814224,121.7557479122758,0.018861098035417686
compas,5,0.01,0.0012954758779251641,0.0042256648699667155,165.43955104381752,0.010677358255788505
compas,5,0.02,0.0012954758779251641,0.005848668275567518,196.92693448594068,0.007363416175186016
compas,5,0.05,0.0012954758779251641,0.008828427395876297,229.0035261028548,0.005419231676564717
compas,6,0.001,0.0014550619103630093,0.002103467678496123,51.11199199956,0.04973268969554286
compas,6,0.005,0.0014550619103630093,0.003079291235367428,135.71338688353075,0.011878595410354584
compas,6,0.01,0.0014550619103630093,0.004069674919758538,167.20454867389034,0.008428659336949543
compas,6,0.02,0.0014550619103630093,0.005780725518401588,196.36882270991842,0.006551533746801211
compas,6,0.05,0.0014550619103630093,0.009052832137723121,228.9308360776473,0.005173664771251832
compas,7,0.001,0.0017252316918558433,0.0021245195629574,39.98451058865992,0.04975762035663065
compas,7,0.005,0.0017252316918558433,0.0034598520443258917,142.86738747100975,0.011638112496782118
compas,7,0.01,0.0017252316918558433,0.004533488415475206,172.90331150409477,0.008204263868935784
compas,7,0.02,0.0017252316918558433,0.0062836761860675105,199.84011149020347,0.006407350448572608
compas,7,0.05,0.0017252316918558433,0.009494785681880884,229.82266294141874,0.005112998071164736
compas,8,0.001,0.0016416050283828095,0.0018331615224539506,32.51704044883357,0.10048256946544246
compas,8,0.005,0.0016416050283828095,0.0031518439542252536,129.44314417072425,0.01458440097165877
compas,8,0.01,0.0016416050283828095,0.004155590449424349,162.3071450834994,0.009479282769905865
compas,8,0.02,0.0016416050283828095,0.005697642313939587,192.3474890640785,0.0070201190742862525
compas,8,0.05,0.0016416050283828095,0.00875459181088734,225.35468096693498,0.005370945208129086
compas,9,0.001,0.001196447410750343,0.0010655280720378946,18.943431645308287,0.14449879372418845
compas,9,0.005,0.001196447410750343,0.00341538960921933,124.46039267146023,0.0180137414487193
compas,9,0.01,0.001196447410750343,0.004229101352237,168.74749412016013,0.010331973803209363
compas,9,0.02,0.001196447410750343,0.005591797761040325,197.87414589107445,0.0072259860952952875
compas,9,0.05,0.001196447410750343,0.00839180451140429,228.6702798360871,0.0053826741873576524
german,0,0.001,0.0047298404427504655,0.0003995173127695898,1.2626732847773368,0.8858530043137854
german,0,0.005,0.0047298404427504655,0.006838831860344405,55.831308643158835,0.07173051235324351
german,0,0.01,0.0047298404427504655,0.009225609331351107,122.85125614287169,0.024163629368362385
german,0,0.02,0.0047298404427504655,0.012014632533821424,183.9661192624686,0.011460726782911955
german,0,0.05,0.0047298404427504655,0.015084305071340683,231.21054691669386,0.0064419743470651575
german,1,0.001,0.003995032357600239,0.0009213765312031072,1.3078197800763935,0.8734591391775113
german,1,0.005,0.003995032357600239,0.0070686546928068195,74.32195737457232,0.053071445563090465
german,1,0.01,0.003995032357600239,0.009388123405885589,139.8837672557913,0.019478109303883252
german,1,0.02,0.003995032357600239,0.011816782312633247,191.30850584220116,0.010090350666928621
german,1,0.05,0.003995032357600239,0.014711528430934871,231.58980646188823,0.006109855452067838
german,2,0.001,0.007885648739390506,0.0030281255544422785,2.1762510037901266,0.6642322578540157
german,2,0.005,0.007885648739390506,0.010026165686349597,73.49167907489017,0.04602672736337882
german,2,0.01,0.007885648739390506,0.011656962310333432,131.25087552934582,0.018726384815715556
german,2,0.02,0.007885648739390506,0.013286000599057692,180.19102674084476,0.010194369995074497
german,2,0.05,0.007885648739390506,0.015548615190282118,225.92712750702705,0.006238440846287561
german,3,0.001,0.00423051646735302,0.0017283697905781388,1.9225097228403791,0.6787997742490601
german,3,0.005,0.00423051646735302,0.006871755182238454,49.203195422982354,0.06615440759111528
german,3,0.01,0.00423051646735302,0.010113328406117974,101.90422619254544,0.025479053727025205
german,3,0.02,0.00423051646735302,0.013032657292769789,162.45027948016414,0.012523664246551899
german,3,0.05,0.00423051646735302,0.0158990702871599,220.6770675139337,0.006888780116554707
german,4,0.001,0.006117686223589822,0.0022472741319123197,3.5253087647028054,0.48484483994494726
german,4,0.005,0.006117686223589822,0.006600709691690256,41.46918156387808,0.06602722063303132
german,4,0.01,0.006117686223589822,0.008778963081935078,110.8273505639319,0.024408328105398468
german,4,0.02,0.006117686223589822,0.010906132414157294,173.9799297254022,0.011844573868770556
german,4,0.05,0.006117686223589822,0.013453979770171029,225.8990339641208,0.0066305820673900635
german,5,0.001,0.00754962722797321,0.003164176001648529,1.561289067782652,0.7831453022599618
german,5,0.005,0.00754962722797321,0.0087554431864788,50.65225202350078,0.07824882013913446
german,5,0.01,0.00754962722797321,0.010141908084887748,130.39159245702078,0.02449706780357992
german,5,0.02,0.00754962722797321,0.012056194075416447,184.73166076375853,0.011515595062132513
german,5,0.05,0.00754962722797321,0.015069071821935266,227.98727844789894,0.006509481296856057
german,6,0.001,0.005566262778973203,0.0018895000138478043,2.6303406123696083,0.5386314137808622
german,6,0.005,0.005566262778973203,0.007289420521023222,48.19716313789105,0.06129047408569585
german,6,0.01,0.005566262778973203,0.009955887498204068,116.29805702872483,0.02295674238885965
german,6,0.02,0.005566262778973203,0.012448237640988947,178.7817242834088,0.011331660895411277
german,6,0.05,0.005566262778973203,0.01534119403971803,226.67573287324214,0.006494106594298084
german,7,0.001,0.0058140050951471815,0.0033231570648552095,2.362529849124316,0.6329533025610108
german,7,0.005,0.0058140050951471815,0.0077823927365482624,75.8545124910151,0.044257175917085174
german,7,0.01,0.0058140050951471815,0.009505647557829925,138.5066560296321,0.017875431197548104
