k,moran_i,p_value,dataset,seed
5,0.23003111398057632,0.0,compas,0
10,0.18727638793298632,0.0,compas,0
15,0.1556425296083687,0.0,compas,0
20,0.14269501731122033,0.0,compas,0
30,0.11281031930651406,0.0,compas,0
40,0.0982587825481413,0.0,compas,0
50,0.0864999600625983,0.0,compas,0
5,0.43091902077763783,0.0,compas,1
10,0.31621834987256947,0.0,compas,1
15,0.2566164871652395,0.0,compas,1
20,0.21695587926457952,0.0,compas,1
30,0.17072015894579715,0.0,compas,1
40,0.147718099671988,0.0,compas,1
50,0.12212417607423509,0.0,compas,1
5,0.30031759576553385,0.0,compas,2
10,0.25837137831586937,0.0,compas,2
15,0.21533291960261816,0.0,compas,2
20,0.18891584626900954,0.0,compas,2
30,0.1532700625682572,0.0,compas,2
40,0.13395368184083933,0.0,compas,2
50,0.1261127230072499,0.0,compas,2
5,0.15921668914985576,0.0,german,0
10,0.14585530379751704,0.0,german,0
15,0.12200237459427901,0.0,german,0
20,0.1019313868505879,0.0,german,0
30,0.0913562955661258,0.0,german,0
40,0.07919485208362204,0.0,german,0
50,0.06393320391122628,0.0,german,0
5,0.12066081554671262,0.0,german,1
10,0.07887193067118071,0.0,german,1
15,0.05318605227764644,0.010050251256281407,german,1
20,0.042391217082189306,0.010050251256281407,german,1
30,0.027938728431948553,0.03015075376884422,german,1
40,0.02790286034179168,0.005025125628140704,german,1
50,0.01917637566091792,0.04522613065326633,german,1
5,0.2063954010815357,0.0,german,2
10,0.1724318895221355,0.0,german,2
15,0.13023393517819917,0.0,german,2
20,0.11374764075115272,0.0,german,2
30,0.10650126275236788,0.0,german,2
40,0.08495850582762078,0.0,german,2
50,0.07722627667522608,0.0,german,2
5,0.10574222348061853,0.02512562814070352,breast_cancer,0
10,0.0932578376051673,0.005025125628140704,breast_cancer,0
15,0.07571123724637456,0.005025125628140704,breast_cancer,0
20,0.06653104367536664,0.01507537688442211,breast_cancer,0
30,0.039176120384603955,0.02512562814070352,breast_cancer,0
40,0.013806145910877381,0.44221105527638194,breast_cancer,0
50,0.002274920215758395,0.9246231155778895,breast_cancer,0
5,0.20690797742479422,0.0,breast_cancer,1
10,0.13837530093883887,0.0,breast_cancer,1
15,0.08343408708843332,0.005025125628140704,breast_cancer,1
20,0.07413384555865346,0.005025125628140704,breast_cancer,1
30,0.0543247996489293,0.005025125628140704,breast_cancer,1
40,0.037389582696154056,0.005025125628140704,breast_cancer,1
50,0.010775928665795222,0.5477386934673367,breast_cancer,1
5,0.13274662528186568,0.0,breast_cancer,2
10,0.12939936619540374,0.0,breast_cancer,2
15,0.11682474737361041,0.0,breast_cancer,2
20,0.07085838924381008,0.005025125628140704,breast_cancer,2
30,0.06398467879894085,0.0,breast_cancer,2
40,0.04644010321970497,0.0,breast_cancer,2
50,0.020274105176774197,0.135678391959799,breast_cancer,2
