method,metric,mean,std,mean_plus_minus_std
platt,delta_mean_variance,0.0003131601876034451,4.852617436625991e-05,0.0003 ± 0.0000
platt,delta_moran_i,0.0011518708987052393,0.006361654027890454,0.0012 ± 0.0064
platt,delta_n_HH,22.8,32.98417128799139,22.8000 ± 32.9842
platt,jaccard_HH_before_after,0.4177796734361787,0.06526777846660596,0.4178 ± 0.0653
platt,brier_improvement,-0.0025937601710069704,0.00031522119382618993,-0.0026 ± 0.0003
isotonic,delta_mean_variance,0.00011496217577874502,7.281577925739524e-05,0.0001 ± 0.0001
isotonic,delta_moran_i,0.008874784909227114,0.0024916666676441405,0.0089 ± 0.0025
isotonic,delta_n_HH,34.1,24.80792884005703,34.1000 ± 24.8079
isotonic,jaccard_HH_before_after,0.6743717542272686,0.06995112324659265,0.6744 ± 0.0700
isotonic,brier_improvement,-4.830717477590368e-05,0.00011744316650081362,-0.0000 ± 0.0001
