outer_seed,family,mean_variance,moran_i,moran_p_sim,n_hh,n_ll,n_models
0,GBM,0.0014609066872039932,0.04746952928929912,0.001,101,4018,25
0,LogReg,9.017711908000161e-05,0.01483495641567326,0.001,47,5227,25
0,MLP,0.0016128539276305926,0.2622112840333759,0.001,1617,4430,25
0,RF,0.002116935845468639,0.2534219403176758,0.001,925,4219,25
0,kNN,0.001575708127384925,0.1584156258389649,0.001,579,4338,25
1,GBM,0.0013062345471514846,0.09485622260204357,0.001,396,4303,25
1,LogReg,3.850872216819484e-05,0.016021395420535874,0.001,53,5817,25
1,MLP,0.001804570660480609,0.18635123367033776,0.001,1210,4391,25
1,RF,0.0025594585253504135,0.24853207755313575,0.001,718,4159,25
1,kNN,0.0016846195998127254,0.13649934438349248,0.001,404,4344,25
2,GBM,0.0014744379020901403,0.07923380700151447,0.001,384,4327,25
2,LogReg,7.419709675643183e-05,0.013765241794927571,0.001,65,5498,25
2,MLP,0.0013708718264611368,0.2008685477287977,0.001,1361,4563,25
2,RF,0.002687442160174872,0.25652351378103183,0.001,1509,4197,25
2,kNN,0.001785159007688738,0.16088601344554582,0.001,655,4247,25
3,GBM,0.0015871351217670961,0.09465204447044293,0.001,347,4281,25
3,LogReg,1.1611382608552194e-05,0.0061949218623611945,0.002,27,6106,25
3,MLP,0.0014840243328268317,0.278178714661364,0.001,1893,4620,25
3,RF,0.0031327855807862996,0.26140312252220804,0.001,993,4292,25
3,kNN,0.0014905148749561957,0.13900198427365734,0.001,368,4096,25
4,GBM,0.0014332442868130342,0.06647740275039266,0.001,339,4087,25
4,LogReg,5.572606285704384e-05,0.01246515548888397,0.001,53,5469,25
4,MLP,0.00165984027281225,0.1945550378518047,0.001,1130,4401,25
4,RF,0.0025689218184480308,0.24254673213751168,0.001,1650,4238,25
4,kNN,0.00163795658533037,0.17129658789669164,0.001,647,4220,25
5,GBM,0.001453907975979589,0.06745022355582325,0.001,281,3932,25
5,LogReg,6.232987855491855e-05,0.008754466555716265,0.002,24,5577,25
5,MLP,0.0015146894547604407,0.18218932922957945,0.001,1241,4474,25
5,RF,0.0024808466017158847,0.23678677741419815,0.001,1397,4192,25
5,kNN,0.0016645150757058197,0.13429231892879334,0.001,535,4196,25
6,GBM,0.0011499394786707163,0.055704391921704594,0.001,216,4195,25
6,LogReg,2.7906625560443252e-05,0.012160362687154206,0.001,42,5839,25
6,MLP,0.0015905862903946783,0.21067000973718855,0.001,1222,4501,25
6,RF,0.002211496614785587,0.2547540613614723,0.001,1027,4256,25
6,kNN,0.0015000042909870408,0.15748182017142467,0.001,290,4364,25
7,GBM,0.001443741884722558,0.09296591035352889,0.001,463,4407,25
7,LogReg,4.3173952119178815e-05,0.009712610721382464,0.002,19,5673,25
7,MLP,0.001590852962425789,0.2126622095394657,0.001,1440,4512,25
7,RF,0.002220758650860253,0.259179884033827,0.001,1034,4302,25
7,kNN,0.0017375069959931798,0.15732985029984223,0.001,733,4391,25
8,GBM,0.0012777114929427122,0.03617807183746849,0.001,81,3860,25
8,LogReg,1.3824510790502392e-05,0.002692712182527058,0.036,17,5446,25
8,MLP,0.001349601100427875,0.267289764470386,0.001,1174,4645,25
8,RF,0.002477229003570966,0.28308351386750197,0.001,1198,4340,25
8,kNN,0.0015512058242083827,0.132267732129927,0.001,457,4421,25
9,GBM,0.0012437372844397519,0.0685876405066112,0.001,253,3958,25
9,LogReg,0.00014728206192626613,0.026986980354335086,0.001,57,5566,25
9,MLP,0.0015117673390512623,0.18576327871931012,0.001,1074,4444,25
9,RF,0.002793764153682621,0.23348590096026806,0.001,1193,4094,25
9,kNN,0.0016481118935654415,0.13983891870663978,0.001,817,4141,25
