method,metric,mean,std,mean_plus_minus_std
platt,delta_mean_variance,0.002111869172741172,0.0017751803363119166,0.0021 ± 0.0018
platt,delta_moran_i,-0.012794179772195356,0.022488609009664307,-0.0128 ± 0.0225
platt,delta_n_HH,-1.2,2.820559440174157,-1.2000 ± 2.8206
platt,jaccard_HH_before_after,0.8083333333333332,0.3558375617755528,0.8083 ± 0.3558
platt,brier_improvement,-0.0003416308832173238,0.0020150689643484063,-0.0003 ± 0.0020
isotonic,delta_mean_variance,0.0021827390157245835,0.001662090956756958,0.0022 ± 0.0017
isotonic,delta_moran_i,-0.007886405372713068,0.021573311105187114,-0.0079 ± 0.0216
isotonic,delta_n_HH,-1.2,2.8982753492378874,-1.2000 ± 2.8983
isotonic,jaccard_HH_before_after,0.8,0.4216370213557839,0.8000 ± 0.4216
isotonic,brier_improvement,0.00017892807667146577,0.00259984878076866,0.0002 ± 0.0026
