run,method,brier_before,brier_after,brier_improvement,mean_variance_before,mean_variance_after,delta_mean_variance,mean_conflict_before,mean_conflict_after,delta_mean_conflict,moran_i_before,moran_i_after,delta_moran_i,n_HH_before,n_HH_after,delta_n_HH,ambiguity_before,ambiguity_after,disagreement_rate_before,disagreement_rate_after,discrepancy_before,discrepancy_after,jaccard_HH_before_after,n_components_before,n_components_after,max_component_size_before,max_component_size_after
seed=0,platt,0.027180361620185688,0.02517555677106597,0.002004804849119718,0.0035320450420748264,0.006700094514254634,0.0031680494721798074,0.016140350877192983,0.013684210526315788,-0.0024561403508771944,0.03369525455104836,0.008240965394106292,-0.02545428915694207,0,0,0,0.10956664660039177,0.08257969609013481,0.16511695906432747,0.052748538011695906,0.06732501051544972,0.05430314371303215,1.0,0,0,0,0
seed=1,platt,0.018561440075637876,0.01674229025712248,0.001819149818515397,0.0029419790453446043,0.00731479049374206,0.004372811448397455,0.012982456140350877,0.015438596491228073,0.002456140350877196,0.04337892444916387,0.037371127178192534,-0.006007797270971338,0,0,0,0.0795424559670554,0.0813976567636448,0.10926900584795322,0.0525438596491228,0.04477330025492076,0.0571080250858107,1.0,0,0,0,0
seed=2,platt,0.01787298466077469,0.019905949853682752,-0.002032965192908062,0.0032487118122231703,0.004296681240800595,0.0010479694285774246,0.006666666666666667,0.006666666666666667,0.0,0.06546624650505298,0.0358493421465545,-0.02961690435849848,4,3,-1,0.09198827836506634,0.07958600616967385,0.09900584795321635,0.029502923976608184,0.060629052260913065,0.05104062975247155,0.75,0,0,0,0
seed=3,platt,0.017668213176025876,0.016381304605353954,0.0012869085706719227,0.006453415851812288,0.011635771554517772,0.005182355702705484,0.01719298245614035,0.018947368421052633,0.0017543859649122827,0.019527635014319464,0.02353098569361884,0.0040033506792993764,0,0,0,0.1120072267849379,0.10679380776812178,0.13614035087719298,0.04786549707602339,0.07374585598763939,0.07543111035998075,1.0,0,0,0,0
seed=4,platt,0.025152667599694936,0.02867807020890598,-0.003525402609211043,0.0013094593587432868,0.0016544834068993937,0.0003450240481561069,0.0038596491228070177,0.003508771929824562,-0.00035087719298245584,0.002489192903864461,0.0024483005346202934,-4.089236924416763e-05,0,0,0,0.0412389042978538,0.04331415844288589,0.03143274853801169,0.015584795321637425,0.029971085531834765,0.032096565660902236,1.0,0,0,0,0
seed=5,platt,0.017339523705396282,0.016939922760657245,0.00039960094473903696,0.0004985208917935627,0.000523249545989159,2.4728654195596252e-05,0.0014035087719298249,0.0017543859649122814,0.0003508771929824565,0.05196304151032685,-0.01277975685768662,-0.06474279836801347,9,0,-9,0.040334433337869215,0.02866855565871951,0.04491228070175438,0.01461988304093567,0.028527785573227413,0.01810588900919493,0.0,1,0,9,0
seed=6,platt,0.014210351435350248,0.014074719213129156,0.00013563222222109234,0.0025604917871842915,0.005196033045501531,0.002635541258317239,0.010877192982456138,0.014385964912280703,0.0035087719298245654,0.034069699874431786,0.01913974922110366,-0.014929950653328125,0,0,0,0.09000611803666839,0.0697816845144604,0.14154970760233918,0.04505847953216374,0.06095177551981251,0.05010979217047508,1.0,0,0,0,0
seed=7,platt,0.021707454671150025,0.025080682167278295,-0.00337322749612827,0.008919644281133891,0.011657335214896872,0.002737690933762981,0.030175438596491227,0.02912280701754386,-0.0010526315789473675,0.0435149073688065,0.03616376424281189,-0.007351143125994608,0,0,0,0.12148692840080143,0.11366575646689372,0.12140350877192982,0.07073099415204678,0.0713021179474774,0.07650751356023387,1.0,0,0,0,0
seed=8,platt,0.017475056053012833,0.0180882992107599,-0.0006132431577470683,0.0008625625549567236,0.0016524304110196954,0.0007898678560629718,0.004912280701754385,0.007017543859649123,0.0021052631578947377,0.019116202385879334,0.029621110454993972,0.010504908069114638,3,1,-2,0.04429830432660593,0.04294894356156879,0.033128654970760237,0.02453216374269006,0.03575797293105657,0.031683178677104386,0.3333333333333333,0,0,0,0
seed=9,platt,0.008538695441844539,0.0080562622232905,0.0004824332185540386,0.0014913943268504073,0.002306047251907059,0.0008146529250566516,0.011228070175438597,0.003157894736842105,-0.008070175438596491,0.0022471854161930653,0.007940904248817755,0.00569371883262469,0,0,0,0.0450021633373207,0.04229497381473998,0.052309941520467834,0.03359649122807017,0.033113405099187816,0.033538459564070616,1.0,0,0,0,0
seed=0,isotonic,0.027180361620185688,0.026470812786547865,0.0007095488336378228,0.0035320450420748264,0.006740523991848813,0.0032084789497739867,0.016140350877192983,0.015789473684210527,-0.00035087719298245584,0.03369525455104836,0.009402949198101179,-0.024292305352947182,0,0,0,0.10956664660039177,0.07571375134035342,0.16511695906432747,0.04745614035087719,0.06732501051544972,0.053056788628459396,1.0,0,0,0,0
seed=1,isotonic,0.018561440075637876,0.016380464370811573,0.002180975704826303,0.0029419790453446043,0.006874894836880713,0.003932915791536108,0.012982456140350877,0.01473684210526316,0.0017543859649122827,0.04337892444916387,0.03591354763134976,-0.007465376817814111,0,0,0,0.0795424559670554,0.08743798224104082,0.10926900584795322,0.07271929824561403,0.04477330025492076,0.05263157894736842,1.0,0,0,0,0
seed=2,isotonic,0.01787298466077469,0.01829800231320102,-0.00042501765242633147,0.0032487118122231703,0.004474916375911655,0.0012262045636884846,0.006666666666666667,0.008771929824561403,0.002105263157894736,0.06546624650505298,0.04086861813159565,-0.024597628373457324,4,4,0,0.09198827836506634,0.06857810919556616,0.09900584795321635,0.042251461988304095,0.060629052260913065,0.045164550115120744,1.0,0,0,0,0
seed=3,isotonic,0.017668213176025876,0.01706998443295374,0.0005982287430721378,0.006453415851812288,0.01194032589932966,0.005486910047517371,0.01719298245614035,0.021052631578947368,0.0038596491228070177,0.019527635014319464,0.025818287970028046,0.0062906529557085825,0,0,0,0.1120072267849379,0.10171285184517521,0.13614035087719298,0.05283625730994152,0.07374585598763939,0.06941723478590522,1.0,0,0,0,0
seed=4,isotonic,0.025152667599694936,0.02573459786282169,-0.0005819302631267544,0.0013094593587432868,0.001892149509551974,0.0005826901508086872,0.0038596491228070177,0.005614035087719299,0.001754385964912281,0.002489192903864461,-0.009182475337029237,-0.011671668240893697,0,0,0,0.0412389042978538,0.040833554601262305,0.03143274853801169,0.018479532163742693,0.029971085531834765,0.03286678168839271,1.0,0,0,0,0
seed=5,isotonic,0.017339523705396282,0.015575695345725785,0.0017638283596704968,0.0004985208917935627,0.0007762230954745409,0.0002777022036809781,0.0014035087719298249,0.0010526315789473684,-0.0003508771929824565,0.05196304151032685,0.0007022040935321821,-0.05126083741679467,9,0,-9,0.040334433337869215,0.03398044110219891,0.04491228070175438,0.02818713450292398,0.028527785573227413,0.021182794705957894,0.0,1,0,9,0
seed=6,isotonic,0.014210351435350248,0.013960969173239895,0.00024938226211035364,0.0025604917871842915,0.005506756461677697,0.0029462646744934052,0.010877192982456138,0.011929824561403507,0.0010526315789473693,0.034069699874431786,0.029974560246012753,-0.004095139628419033,0,0,0,0.09000611803666839,0.061908225264099254,0.14154970760233918,0.06614035087719299,0.06095177551981251,0.04080690969882301,1.0,0,0,0,0
seed=7,isotonic,0.021707454671150025,0.028285360054615568,-0.0065779053834655425,0.008919644281133891,0.010000104013763259,0.0010804597326293675,0.030175438596491227,0.027368421052631577,-0.00280701754385965,0.0435149073688065,0.04330843820989768,-0.00020646915890881745,0,0,0,0.12148692840080143,0.10988534423295361,0.12140350877192982,0.11967836257309941,0.0713021179474774,0.07918233082706767,1.0,0,0,0,0
