outer_seed,mean_variance,mean_conflict,frac_conflict_gt0,frac_conflict_ge025,moran_i,moran_p_sim,p_empirical,n_hh,n_ll,conflict_moran_i,conflict_n_hh,conflict_n_ll,hh_jaccard_var_conflict,p_empirical_hh,null_n_hh_mean,null_n_hh_std,neighborhood_agreement,lcae,null_mean,null_std,acc_mean,brier_mean,acc_ensemble,brier_ensemble
0,0.0035320450420748264,0.016140350877192983,0.06140350877192982,0.017543859649122806,0.03369525455104836,0.022,0.0297029702970297,0,11,0.0058930140597539555,0,22,1.0,1.0,0.03,0.3,0.8543859649122808,0.0026038928836631856,-0.01033435628170287,0.01677889576833937,0.9617543859649121,0.030712406662260522,0.9736842105263158,0.02718036162018569
1,0.0029419790453446043,0.012982456140350877,0.05263157894736842,0.03508771929824561,0.04337892444916387,0.008,0.019801980198019802,0,25,0.0320962300132023,0,0,1.0,1.0,0.0,0.0,0.8994152046783627,0.002799213515962759,-0.011431435264458613,0.013388781838433162,0.974035087719298,0.02150341912098248,0.9736842105263158,0.018561440075637876
2,0.0032487118122231703,0.006666666666666667,0.05263157894736842,0.008771929824561403,0.06546624650505298,0.001,0.009900990099009901,4,14,0.01179744017807455,0,0,0.0,0.0297029702970297,0.09,0.6371495868001453,0.8859649122807017,0.003107583504373493,-0.00942385500562793,0.016856847603906558,0.974736842105263,0.021121696472997872,0.9736842105263158,0.01787298466077469
3,0.006453415851812288,0.01719298245614035,0.08771929824561403,0.02631578947368421,0.019527635014319464,0.049,0.10891089108910891,0,14,0.01292094245850413,0,29,1.0,1.0,0.5,2.914609664251715,0.8897660818713451,0.004437729270666626,-0.004042655079122865,0.02252230325170579,0.9715789473684211,0.024121629027838168,0.9824561403508771,0.017668213176025876
4,0.0013094593587432868,0.0038596491228070177,0.03508771929824561,0.0,0.002489192903864461,0.168,0.2079207920792079,0,0,-0.005780346820809249,0,0,1.0,1.0,0.22,2.2,0.8426900584795323,0.0014811826725656114,-0.009875887810812846,0.019751530413327226,0.9666666666666666,0.026462126958438234,0.9649122807017544,0.025152667599694936
5,0.0004985208917935627,0.0014035087719298249,0.017543859649122806,0.0,0.05196304151032685,0.001,0.009900990099009901,9,29,-0.016963226571767506,0,0,0.0,0.0297029702970297,0.18,1.2663476472266069,0.8649122807017543,0.000618679431156996,-0.00806401199854014,0.016284642380998516,0.9810526315789474,0.017838044597189847,0.9824561403508771,0.017339523705396282
6,0.0025604917871842915,0.010877192982456138,0.043859649122807015,0.017543859649122806,0.034069699874431786,0.02,0.0297029702970297,0,8,0.034360346677274306,1,45,0.0,1.0,0.31,2.4932028810469085,0.921345029239766,0.0021276191059270227,-0.006569560509474913,0.02038857765574207,0.9803508771929824,0.01677084322253454,0.9912280701754386,0.014210351435350248
7,0.008919644281133891,0.030175438596491227,0.11403508771929824,0.06140350877192982,0.0435149073688065,0.007,0.019801980198019802,0,7,0.04388660221435182,0,12,1.0,1.0,0.17,1.7000000000000006,0.8260233918128655,0.0057264770293025185,-0.007512121599384667,0.016339145720907656,0.9617543859649124,0.030627098952283927,0.9649122807017544,0.021707454671150025
8,0.0008625625549567236,0.004912280701754385,0.03508771929824561,0.0,0.019116202385879334,0.011,0.019801980198019802,3,17,0.024282560706401758,3,38,0.0,0.009900990099009901,0.0,0.0,0.8909356725146201,0.0009096921691732924,-0.012506122857222392,0.013810408043414015,0.9750877192982454,0.018337618607969564,0.9736842105263158,0.017475056053012833
9,0.0014913943268504073,0.011228070175438597,0.043859649122807015,0.02631578947368421,0.0022471854161930653,0.194,0.24752475247524752,0,15,0.020314839545141843,0,0,1.0,1.0,0.06,0.6,0.8821637426900587,0.0011629988476680121,-0.008362481163641916,0.01890951419933267,0.984561403508772,0.010030089768694945,0.9912280701754386,0.008538695441844539
