method,metric,mean,std,mean_plus_minus_std
platt,delta_mean_variance,-0.00032361392957003834,0.0001327378372309635,-0.0003 ± 0.0001
platt,delta_moran_i,-0.017506462356761836,0.032942542762625315,-0.0175 ± 0.0329
platt,delta_n_HH,-7.8,23.606966956576375,-7.8000 ± 23.6070
platt,jaccard_HH_before_after,0.5129971779338115,0.16407821075520085,0.5130 ± 0.1641
platt,brier_improvement,8.117710746432804e-05,0.00033997151059739645,0.0001 ± 0.0003
isotonic,delta_mean_variance,0.0005251265555458126,0.00015418335563643592,0.0005 ± 0.0002
isotonic,delta_moran_i,-0.035599751036874794,0.05966067120688259,-0.0356 ± 0.0597
isotonic,delta_n_HH,-25.1,45.98900834861401,-25.1000 ± 45.9890
isotonic,jaccard_HH_before_after,0.3955847728642198,0.16115855777003552,0.3956 ± 0.1612
isotonic,brier_improvement,-0.0005690493079282572,0.000500241492848069,-0.0006 ± 0.0005
