model_name,hp,seed,val_loss
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'relu'}",1,0.6047177876443492
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 1e-05, 'activation': 'relu'}",2,0.6051880443689923
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'activation': 'relu'}",3,0.6064584651581518
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 1e-05, 'activation': 'tanh'}",5,0.6015921523548423
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (200, 100), 'alpha': 1e-05, 'activation': 'tanh'}",6,0.6057551175597318
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'tanh'}",9,0.6054134068054295
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (100,), 'alpha': 0.0001, 'activation': 'relu'}",10,0.6002966432622234
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (200,), 'alpha': 0.001, 'activation': 'relu'}",13,0.5999877058710078
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'tanh'}",15,0.6019010987348175
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100,), 'alpha': 0.01, 'activation': 'tanh'}",16,0.6025964407287974
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (50,), 'alpha': 1e-05, 'activation': 'relu'}",17,0.6026804342597988
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (200, 100), 'alpha': 0.0001, 'activation': 'tanh'}",18,0.6039486887823943
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.01, 'hidden_layer_sizes': (100,), 'alpha': 1e-05, 'activation': 'tanh'}",20,0.6076918776767547
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (50,), 'alpha': 0.01, 'activation': 'relu'}",0,0.6001334145218418
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50,), 'alpha': 0.001, 'activation': 'relu'}",1,0.6036813771924672
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (100, 50), 'alpha': 1e-05, 'activation': 'tanh'}",2,0.6030115254516069
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (200, 100), 'alpha': 0.001, 'activation': 'relu'}",3,0.6042942587193203
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (200, 100), 'alpha': 1e-05, 'activation': 'relu'}",4,0.6054588373239841
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'relu'}",5,0.5999749046987463
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.0001, 'hidden_layer_sizes': (100, 50), 'alpha': 0.01, 'activation': 'tanh'}",6,0.6002978958377588
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (50,), 'alpha': 0.0001, 'activation': 'tanh'}",7,0.6023966390294626
MLP,"{'max_iter': 1000, 'learning_rate_init': 0.001, 'hidden_layer_sizes': (200,), 'alpha': 0.001, 'activation': 'tanh'}",8,0.6016776444921857
