outer_seed,family,mean_variance,moran_i,moran_p_sim,n_hh,n_ll,n_models
0,GBM,0.0010328786577309503,0.1850692553439047,0.001,62,623,25
0,LogReg,5.554818627364627e-06,0.06820139526292572,0.001,4,761,25
0,MLP,0.001066348813705316,0.518295443589438,0.001,208,518,25
0,RF,0.003053250572771999,0.16049020825746463,0.001,76,320,25
0,kNN,0.011417982531304143,0.07291256770528069,0.001,59,163,25
1,GBM,0.0009806558421971501,0.2074722185360464,0.001,73,622,25
1,LogReg,6.15263945443754e-07,0.012914580156949044,0.036,0,781,25
1,MLP,0.0011249165332914784,0.4540593593811331,0.001,198,641,25
1,RF,0.003130654897212193,0.1453873803691087,0.001,100,260,25
1,kNN,0.010175105983992247,0.1448249088087654,0.001,131,233,25
2,GBM,0.0010818740777511293,0.22514751817855327,0.001,57,571,25
2,LogReg,5.697178628012968e-06,0.1169302737950798,0.001,76,791,25
2,MLP,0.0014254935818501185,0.4051012801918017,0.001,224,568,25
2,RF,0.003198422611505389,0.1414472099246567,0.001,99,305,25
2,kNN,0.010158020169326836,0.12010153816465255,0.001,138,181,25
3,GBM,0.0012906510664531085,0.1570957464588589,0.001,55,617,25
3,LogReg,1.1063185093419218e-07,0.03517056934350415,0.003,4,694,25
3,MLP,0.0011452230709241551,0.3604996255687607,0.001,169,573,25
3,RF,0.003033081520152482,0.1784278418416886,0.001,127,347,25
3,kNN,0.011767692885876951,0.07048234658915546,0.001,58,156,25
4,GBM,0.0016692519758697074,0.27346506551420713,0.001,118,608,25
4,LogReg,0.00014083844048599944,0.5685942725399025,0.001,231,734,25
4,MLP,0.0011658082585904123,0.36014266323030936,0.001,249,573,25
4,RF,0.003589644323416399,0.16483297261396282,0.001,81,209,25
4,kNN,0.0125085252155417,0.0635076702787027,0.001,58,150,25
5,GBM,0.0014116889392764708,0.29534152396785845,0.001,87,629,25
5,LogReg,0.00040208268907684745,0.16562314289165675,0.001,42,637,25
5,MLP,0.00128990807266196,0.4298380324310175,0.001,292,535,25
5,RF,0.0031713477938509014,0.1515653706206217,0.001,46,211,25
5,kNN,0.008175288136278611,0.06590793749311216,0.001,39,76,25
6,GBM,0.0012304530600731147,0.27853179870234585,0.001,110,672,25
6,LogReg,2.254992689955887e-06,0.04894944167771675,0.001,4,645,25
6,MLP,0.0013463834609494067,0.4594610480851706,0.001,201,613,25
6,RF,0.0032148050741016617,0.10734005793099875,0.001,57,202,25
6,kNN,0.010148063534191789,0.07989987117775184,0.001,40,151,25
7,GBM,0.001771053687129696,0.33456838781385906,0.001,161,576,25
7,LogReg,3.56354363772476e-05,0.17160454812036824,0.001,61,784,25
7,MLP,0.001314261664476191,0.43657194519367126,0.001,199,582,25
7,RF,0.004101627768831646,0.14388391030494027,0.001,86,161,25
7,kNN,0.012169174617343294,0.0844125386294654,0.001,55,226,25
8,GBM,0.0010332186109269265,0.2777101285102522,0.001,78,653,25
8,LogReg,3.7628812044235275e-06,0.03752440858343792,0.001,5,705,25
8,MLP,0.0014604603026583448,0.3907083637777209,0.001,195,585,25
8,RF,0.002945340075313866,0.13343472712285906,0.001,79,137,25
8,kNN,0.009031090525515921,0.08814540086434416,0.001,61,140,25
9,GBM,0.0009529996767103205,0.1415027303470322,0.001,31,601,25
9,LogReg,1.670052923474933e-06,0.4944585856309799,0.001,150,785,25
9,MLP,0.0012197656428722232,0.401664921768574,0.001,150,546,25
9,RF,0.0029471892486301523,0.15996703303638352,0.001,73,284,25
9,kNN,0.01137358918026188,0.10792139164812177,0.001,100,183,25
