run,method,brier_before,brier_after,brier_improvement,mean_variance_before,mean_variance_after,delta_mean_variance,mean_conflict_before,mean_conflict_after,delta_mean_conflict,moran_i_before,moran_i_after,delta_moran_i,n_HH_before,n_HH_after,delta_n_HH,ambiguity_before,ambiguity_after,disagreement_rate_before,disagreement_rate_after,discrepancy_before,discrepancy_after,jaccard_HH_before_after,n_components_before,n_components_after,max_component_size_before,max_component_size_after
seed=0,platt,0.15138697021342895,0.14778342434670008,0.003603545866728869,0.0047298404427504655,0.005143264812882156,0.00041342437013169083,0.055999999999999994,0.0562,0.00020000000000000573,0.11613995105838612,0.10487054298359097,-0.01126940807479515,3,3,0,0.24365435544469996,0.23671156491435602,0.5054333333333333,0.45765000000000006,0.13289731823457124,0.11289932376937672,0.5,0,0,0,0
seed=1,platt,0.1595453525683669,0.15588318288690498,0.0036621696814619353,0.003995032357600239,0.004494401840478385,0.0004993694828781458,0.076,0.0642,-0.011800000000000005,0.037337464785456555,0.06836462614339296,0.031027161357936407,0,1,1,0.22452306434159064,0.21264306034007024,0.4949666666666667,0.42340000000000005,0.11989824105478494,0.10986932790540081,0.0,0,0,0,0
seed=2,platt,0.190700603291938,0.18897172908261953,0.0017288742093184706,0.007885648739390506,0.005936028889869693,-0.0019496198495208127,0.0816,0.06920000000000001,-0.012399999999999994,0.08994892589285827,0.07808404413585879,-0.011864881756999485,3,0,-3,0.294454133928054,0.23942028186756142,0.52615,0.39873333333333333,0.17202613799875963,0.13246373691805938,0.0,0,0,0,0
seed=3,platt,0.16446987187208378,0.1630285859548713,0.001441285917212487,0.00423051646735302,0.004020986714008064,-0.00020952975334495583,0.045200000000000004,0.042,-0.0032000000000000015,0.08859574497420546,0.09913499479267084,0.01053924981846538,0,1,1,0.24168160387181645,0.2137398659411324,0.32198333333333334,0.25839999999999996,0.1586786533005279,0.14107164706212041,0.0,0,0,0,0
seed=4,platt,0.14669249151312436,0.1473588600259884,-0.0006663685128640295,0.006117686223589822,0.005364723079353431,-0.0007529631442363908,0.0642,0.0616,-0.002599999999999991,0.1587936188120699,0.099120534926455,-0.0596730838856149,6,4,-2,0.2855485041528736,0.2417588681276436,0.5248666666666666,0.40105,0.15844602425966933,0.11143201756812658,0.42857142857142855,1,0,5,0
seed=5,platt,0.15495750901400546,0.15350608729820128,0.0014514217158041742,0.00754962722797321,0.007964660757258038,0.0004150335292848273,0.07860000000000002,0.07740000000000001,-0.0012000000000000066,0.12297624069372903,0.1126396018788195,-0.010336638814909538,3,3,0,0.33216039129988373,0.31640870412930977,0.5918833333333333,0.49700000000000005,0.18343651311035686,0.15596743081836958,0.5,0,0,0,0
seed=6,platt,0.18817393199047325,0.19514696202575976,-0.006973030035286515,0.005566262778973203,0.005645373339284385,7.911056031118142e-05,0.0656,0.055999999999999994,-0.009600000000000011,0.1459562775068242,0.07206386635370562,-0.07389241115311856,3,1,-2,0.2591644182457313,0.23944207326236744,0.5195666666666667,0.46756666666666663,0.1267421970701159,0.11854238157462625,0.0,0,0,0,0
seed=7,platt,0.1570646176457523,0.15775997187948948,-0.0006953542337371776,0.0058140050951471815,0.005599223256245047,-0.00021478183890213422,0.0668,0.065,-0.001799999999999996,0.08006341749051664,0.06613804781675275,-0.013925369673763885,0,0,0,0.2645406362275924,0.23056991081771067,0.52855,0.41756666666666664,0.13549395054591698,0.11136801046355309,1.0,0,0,0,0
seed=8,platt,0.17899325041437097,0.17677517505049742,0.002218075363873556,0.000430365004793103,0.000455254921167066,2.4889916373962984e-05,0.006400000000000002,0.0046000000000000025,-0.0017999999999999995,0.05939418861050193,0.09091234545332227,0.03151815684282035,3,6,3,0.07879215303929867,0.07350022503162194,0.057749999999999996,0.04623333333333333,0.06979168700414247,0.0676175238297534,0.5,0,1,0,6
seed=9,platt,0.1604697610038921,0.16036242782057336,0.00010733318331873631,0.003913158499026887,0.0030790516490395072,-0.0008341068499873793,0.0524,0.047400000000000005,-0.0049999999999999975,0.1423420147913532,0.09414335716212736,-0.04819865762922583,6,0,-6,0.22437423466278553,0.18795601143493262,0.4659833333333333,0.36405,0.11964295558116005,0.09554748717731791,0.0,1,0,6,0
