outer_seed,family,mean_variance,moran_i,moran_p_sim,n_hh,n_ll,n_models
0,GBM,0.008162053260984377,0.1186318188965204,0.001,5,42,25
0,LogReg,0.0033368794309492434,0.06888196788860022,0.001,1,16,25
0,MLP,0.009703370044446418,0.12127562790855685,0.001,4,33,25
0,RF,0.0019379375543824124,0.09518672467290852,0.001,2,15,25
0,kNN,0.004520903837583604,0.03887557872912468,0.005,2,10,25
1,GBM,0.005799220207139268,0.14161936026220862,0.001,2,50,25
1,LogReg,0.002995209117671688,0.06774943407701646,0.001,0,20,25
1,MLP,0.007205976405213568,0.19521914047002772,0.001,8,60,25
1,RF,0.0025909744248875776,0.02090499467692642,0.048,0,0,25
1,kNN,0.004708071599197841,0.031286605243002884,0.007,1,16,25
2,GBM,0.006847484265196175,0.09030576934258608,0.001,0,9,25
2,LogReg,0.0020529387728574957,0.04142340337298202,0.006,0,11,25
2,MLP,0.011993879050131433,0.14488404921250925,0.001,4,28,25
2,RF,0.0018686852696565143,0.02253160038284578,0.033,0,0,25
2,kNN,0.00459607520777575,0.031786505386083734,0.009,0,13,25
3,GBM,0.0068184044078870845,0.09520907636525623,0.001,0,45,25
3,LogReg,0.0005776573343349914,0.029012470830734993,0.015,0,8,25
3,MLP,0.01006034623450076,0.25087451385184506,0.001,13,73,25
3,RF,0.0031128597354334476,0.04368145626282486,0.005,0,8,25
3,kNN,0.005432611450580149,0.09505269733871222,0.001,1,45,25
4,GBM,0.005877161290888889,0.12049774395227643,0.001,3,35,25
4,LogReg,0.0010515151925494053,0.052117993428228274,0.002,0,0,25
4,MLP,0.007868239478313728,0.1843555463136415,0.001,8,60,25
4,RF,0.0027390415193731753,0.04152565627552694,0.003,0,4,25
4,kNN,0.0038629935427976756,0.07118334873542831,0.001,0,37,25
5,GBM,0.009236478306388216,0.12378008905416996,0.001,4,65,25
5,LogReg,0.0017980927199922614,0.07336049965283574,0.001,1,11,25
5,MLP,0.006827171722525769,0.16413994494570255,0.001,7,55,25
5,RF,0.002743677120436964,0.017540562576495923,0.05,0,0,25
5,kNN,0.00691677687803752,0.06198848832101717,0.001,0,28,25
6,GBM,0.008132733503872686,0.1068094887811457,0.001,3,51,25
6,LogReg,0.002611420798861722,0.03450613887774199,0.006,0,14,25
6,MLP,0.014931159492498427,0.1752135959123014,0.001,2,49,25
6,RF,0.0007476526696210442,0.08747712345136016,0.001,0,31,25
6,kNN,0.00587592379879532,0.06846939451274955,0.001,0,35,25
7,GBM,0.006104312558500684,0.10912505530075003,0.001,2,31,25
7,LogReg,0.002093336577332757,0.05618859141015936,0.001,0,28,25
7,MLP,0.006986328426384724,0.12191605520237234,0.001,2,25,25
7,RF,0.0019999463667644494,0.02314643826200268,0.032,0,0,25
7,kNN,0.007113553686371244,0.049099698211314796,0.001,0,21,25
8,GBM,0.007973430094285661,0.08115335436201852,0.001,3,34,25
8,LogReg,0.00027401367847138084,0.018236706681672727,0.06,0,0,25
8,MLP,0.008472727635490417,0.20177688621378526,0.001,16,56,25
8,RF,0.002622838288178978,0.037064647340043895,0.003,0,0,25
8,kNN,0.004915313357911903,0.049204538217823314,0.001,3,20,25
9,GBM,0.006130336782550172,0.15392527851334953,0.001,8,56,25
9,LogReg,0.004419534855281682,0.06130673065057891,0.001,0,29,25
9,MLP,0.009116548137344378,0.11644234478574547,0.001,6,27,25
9,RF,0.0008658320763324405,0.1035474065452396,0.001,5,30,25
9,kNN,0.008522109844592264,0.07418969467167191,0.001,1,7,25
