outer_seed,mean_variance,ambiguity,disagreement_rate,discrepancy,mean_conflict,frac_conflict_gt0,frac_conflict_ge025,moran_i,moran_p_sim,p_empirical,n_test,n_hh,hh_rate,n_ll,conflict_moran_i,conflict_n_hh,conflict_hh_rate,conflict_n_ll,hh_jaccard_var_conflict,p_empirical_hh,null_n_hh_mean,null_n_hh_std,null_mean,null_std
0,0.0047298404427504655,0.24365435544469996,0.5054333333333333,0.13289731823457124,0.055999999999999994,0.26,0.1,0.09431275868733124,0.001,0.009900990099009901,200,8,0.04,23,0.0634865886719134,0,0.0,0,0.0,0.009900990099009901,0.0,0.0,-0.0053083252892207585,0.013110486144520138
1,0.003995032357600239,0.22452306434159064,0.4949666666666667,0.11989824105478494,0.076,0.295,0.145,0.018591671412096587,0.051,0.07920792079207921,200,0,0.0,0,0.10269786528063922,7,0.035,20,0.0,1.0,0.0,0.0,-0.007407360231753889,0.014793936154841985
2,0.007885648739390506,0.294454133928054,0.52615,0.17202613799875963,0.0816,0.385,0.16,0.08123477981076171,0.001,0.009900990099009901,200,4,0.02,18,0.043671153825208794,0,0.0,5,0.0,0.009900990099009901,0.0,0.0,-0.002848908384765601,0.01449840734903344
3,0.00423051646735302,0.24168160387181645,0.32198333333333334,0.1586786533005279,0.045200000000000004,0.295,0.055,0.06486254095193021,0.001,0.009900990099009901,200,1,0.005,18,0.029075759730493936,0,0.0,4,0.0,0.009900990099009901,0.0,0.0,-0.006153434270548108,0.013508035552213313
4,0.006117686223589822,0.2855485041528736,0.5248666666666666,0.15844602425966933,0.0642,0.325,0.095,0.1509859939566144,0.001,0.009900990099009901,200,14,0.07,37,0.056991440353096626,2,0.01,3,0.06666666666666667,0.009900990099009901,0.0,0.0,-0.0053719747390260164,0.014016386979570422
5,0.00754962722797321,0.33216039129988373,0.5918833333333333,0.18343651311035686,0.07860000000000002,0.42,0.125,0.09749790217716572,0.001,0.009900990099009901,200,4,0.02,19,0.052977531797652785,0,0.0,0,0.0,0.009900990099009901,0.0,0.0,-0.005601189293731014,0.014291198612012727
6,0.005566262778973203,0.2591644182457313,0.5195666666666667,0.1267421970701159,0.0656,0.32,0.12,0.1156813628446679,0.001,0.009900990099009901,200,5,0.025,31,0.04607402405430555,0,0.0,5,0.0,0.009900990099009901,0.0,0.0,-0.004284066194916884,0.01487000670235036
7,0.0058140050951471815,0.2645406362275924,0.52855,0.13549395054591698,0.0668,0.32,0.11,0.07056647207614636,0.001,0.009900990099009901,200,0,0.0,8,0.02932910104543483,0,0.0,0,1.0,1.0,0.0,0.0,-0.0045593218453508924,0.013485549223376091
8,0.000430365004793103,0.07879215303929867,0.057749999999999996,0.06979168700414247,0.006400000000000002,0.1,0.005,0.05277413318650947,0.001,0.009900990099009901,200,3,0.015,15,-0.005494337201591579,0,0.0,0,0.0,0.009900990099009901,0.0,0.0,-0.00710910945172916,0.014801074196214998
9,0.003913158499026887,0.22437423466278553,0.4659833333333333,0.11964295558116005,0.0524,0.285,0.07,0.12954842866380523,0.001,0.009900990099009901,200,15,0.075,37,0.06811295165578159,4,0.02,13,0.11764705882352941,0.009900990099009901,0.0,0.0,-0.004940733375965621,0.01456293789192099
