method,metric,mean,std,mean_plus_minus_std,dataset
platt,delta_mean_variance,0.0003131601876034451,4.852617436625991e-05,0.0003 ± 0.0000,adult
platt,delta_moran_i,0.0019062725089194828,0.006744304784559565,0.0019 ± 0.0067,adult
platt,delta_n_HH,15.0,27.988092706244444,15.0000 ± 27.9881,adult
platt,jaccard_HH_before_after,0.42676164866504,0.06475429626591891,0.4268 ± 0.0648,adult
platt,brier_improvement,-0.0025937601710069704,0.00031522119382618993,-0.0026 ± 0.0003,adult
isotonic,delta_mean_variance,0.00011496217577874502,7.281577925739524e-05,0.0001 ± 0.0001,adult
isotonic,delta_moran_i,0.008983426285782836,0.002382622986452343,0.0090 ± 0.0024,adult
isotonic,delta_n_HH,8.1,21.748307724714785,8.1000 ± 21.7483,adult
isotonic,jaccard_HH_before_after,0.6844883268078251,0.05061173305129251,0.6845 ± 0.0506,adult
isotonic,brier_improvement,-4.830717477590368e-05,0.00011744316650081362,-0.0000 ± 0.0001,adult
platt,delta_mean_variance,0.002111869172741172,0.0017751803363119166,0.0021 ± 0.0018,breast_cancer
platt,delta_moran_i,-0.012794179772195356,0.022488609009664307,-0.0128 ± 0.0225,breast_cancer
platt,delta_n_HH,-1.2,2.820559440174157,-1.2000 ± 2.8206,breast_cancer
platt,jaccard_HH_before_after,0.8083333333333332,0.3558375617755528,0.8083 ± 0.3558,breast_cancer
platt,brier_improvement,-0.0003416308832173238,0.0020150689643484063,-0.0003 ± 0.0020,breast_cancer
isotonic,delta_mean_variance,0.0021827390157245835,0.001662090956756958,0.0022 ± 0.0017,breast_cancer
isotonic,delta_moran_i,-0.007886405372713068,0.021573311105187114,-0.0079 ± 0.0216,breast_cancer
isotonic,delta_n_HH,-1.2,2.8982753492378874,-1.2000 ± 2.8983,breast_cancer
isotonic,jaccard_HH_before_after,0.8,0.4216370213557839,0.8000 ± 0.4216,breast_cancer
isotonic,brier_improvement,0.00017892807667146577,0.00259984878076866,0.0002 ± 0.0026,breast_cancer
platt,delta_mean_variance,-0.00032361392957003834,0.0001327378372309635,-0.0003 ± 0.0001,compas
platt,delta_moran_i,-0.01680351360600654,0.03155693240866458,-0.0168 ± 0.0316,compas
platt,delta_n_HH,-8.4,19.409047145883054,-8.4000 ± 19.4090,compas
platt,jaccard_HH_before_after,0.470092652840102,0.12190170748385824,0.4701 ± 0.1219,compas
platt,brier_improvement,8.117710746432804e-05,0.00033997151059739645,0.0001 ± 0.0003,compas
isotonic,delta_mean_variance,0.0005251265555458126,0.00015418335563643592,0.0005 ± 0.0002,compas
isotonic,delta_moran_i,-0.029824307359800496,0.054775773538195016,-0.0298 ± 0.0548,compas
isotonic,delta_n_HH,-21.6,42.70102783046069,-21.6000 ± 42.7010,compas
isotonic,jaccard_HH_before_after,0.39903082733910883,0.21186039147148994,0.3990 ± 0.2119,compas
isotonic,brier_improvement,-0.0005690493079282572,0.000500241492848069,-0.0006 ± 0.0005,compas
platt,delta_mean_variance,-0.00025291735770118645,0.0007537674087455258,-0.0003 ± 0.0008,german
platt,delta_moran_i,-0.015607588296920522,0.03581402515259995,-0.0156 ± 0.0358,german
platt,delta_n_HH,-0.8,2.5298221281347035,-0.8000 ± 2.5298,german
platt,jaccard_HH_before_after,0.29285714285714287,0.34577134515348684,0.2929 ± 0.3458,german
platt,brier_improvement,0.0005877953155830507,0.0030658880079118336,0.0006 ± 0.0031,german
isotonic,delta_mean_variance,0.0027911573035310205,0.0014817959373865102,0.0028 ± 0.0015,german
isotonic,delta_moran_i,0.0029739398820570763,0.04011469626451371,0.0030 ± 0.0401,german
isotonic,delta_n_HH,0.7,3.368151487751767,0.7000 ± 3.3682,german
isotonic,jaccard_HH_before_after,0.37727272727272726,0.39375177228678765,0.3773 ± 0.3938,german
isotonic,brier_improvement,-0.0005441961311322657,0.004552523173277749,-0.0005 ± 0.0046,german
