label,method,rule_text,support,purity,recall,lift,OOB_purity_median,permutation_pval
HH,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846 AND cat__race_African-American > 0,50,0.56,0.5957446808510638,17.193191489361705,0.33204350351750755,0.001996007984031936
HH,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846 AND cat__race_Caucasian <= 0,54,0.5555555555555556,0.6382978723404256,17.056737588652485,0.33204350351750755,0.001996007984031936
HH,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846 AND cat__c_charge_degree_F > 0,59,0.4915254237288136,0.6170212765957447,15.09087630724847,0.33204350351750755,0.001996007984031936
HH,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846 AND cat__c_charge_degree_M <= 0,59,0.4915254237288136,0.6170212765957447,15.09087630724847,0.33204350351750755,0.001996007984031936
HH,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846 AND cat__sex_Female <= 0,76,0.4868421052631579,0.7872340425531915,14.947088465845466,0.33204350351750755,0.001996007984031936
HV_q,cluster_describe,Cluster0: num__priors_count > 0.8414 AND num__age > -0.2748 AND num__age > 1.227,44,0.7272727272727273,0.21768707482993196,7.139146567717996,,0.001996007984031936
HV_q,cluster_describe,Cluster1: num__age <= -0.8588 AND num__age <= -1.192 AND num__priors_count <= -0.4011,31,0.6129032258064516,0.1292517006802721,6.0164581961816985,,0.001996007984031936
HV_q,beam_search,num__priors_count > 0.3237 AND num__age > 0.6846,83,0.4819277108433735,0.272108843537415,4.730759773789034,0.42095238095238097,0.001996007984031936
HV_q,beam_search,cat__race_Other > 0,83,0.27710843373493976,0.1564625850340136,2.7201868699286944,0.42095238095238097,0.001996007984031936
HV_q,cluster_describe,Cluster1: num__age <= -0.8588 AND num__age > -1.192 AND cat__race_African-American <= 0.5,88,0.26136363636363635,0.1564625850340136,2.5656307977736548,,0.001996007984031936
