dataset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,rank_freq_top1,rank_freq_top3
breast_cancer,GBM,subsample,0.17960822365471757,0.13126855478147936,10,0.0037603085705343806,0.5,0.7
breast_cancer,GBM,max_depth,0.1743966809771677,0.07995232831053818,10,0.0037603085705343806,0.1,0.9
breast_cancer,GBM,learning_rate,0.1732021139489123,0.08822475642826214,10,0.0037603085705343806,0.3,0.8
breast_cancer,GBM,n_estimators,0.10818465608207742,0.09036529274349465,10,0.0037603085705343806,0.1,0.6
breast_cancer,LogReg,C,0.9642611816255025,0.050351791953687296,10,0.0014536867901543,1.0,1.0
breast_cancer,LogReg,l1_ratio,0.1392434570031879,0.07639037330549392,10,0.0014536867901543,0.0,1.0
breast_cancer,MLP,hidden_layer_sizes,0.22550254995829783,0.09913059417696699,10,0.005321960584485454,0.7,1.0
breast_cancer,MLP,alpha,0.09847213459176625,0.05685445626084188,10,0.005321960584485454,0.2,1.0
breast_cancer,MLP,learning_rate_init,0.08195788600449105,0.10443339156036535,10,0.005321960584485454,0.1,0.8
breast_cancer,MLP,activation,0.017571037232587797,0.02424692381467817,10,0.005321960584485454,0.0,0.2
breast_cancer,RF,n_estimators,0.35102262120525685,0.2957383974816897,10,0.000526650402390555,0.5,0.8
breast_cancer,RF,min_samples_leaf,0.18891785680389056,0.14693671579195136,10,0.000526650402390555,0.2,0.7
breast_cancer,RF,max_depth,0.16037927553476117,0.10517928341785421,10,0.0005329191330452601,0.2,0.9
breast_cancer,RF,min_samples_split,0.07795202987499093,0.08485463782181879,10,0.000526650402390555,0.1,0.4
breast_cancer,RF,max_features,0.06953130790862837,0.08554222191187598,9,0.0004152869178063096,0.0,0.2222222222222222
breast_cancer,kNN,n_neighbors,0.903369229137444,0.09724923965290326,10,0.002642221578592284,1.0,1.0
breast_cancer,kNN,weights,0.009768071882580328,0.007773578562525704,10,0.002642221578592284,0.0,1.0
breast_cancer,kNN,p,0.006412426335485863,0.010077973700741356,10,0.002642221578592284,0.0,1.0
