dataset,family,hp,ratio_mean,ratio_std,n_seeds
breast_cancer,GBM,max_depth,0.2677053205074951,0.10010088836232088,10
breast_cancer,GBM,subsample,0.22596050221602884,0.14473932531957293,10
breast_cancer,GBM,learning_rate,0.20510382194835924,0.10599909343175906,10
breast_cancer,GBM,n_estimators,0.13997913078165664,0.0861358182056486,10
breast_cancer,LogReg,C,0.9743069243928675,0.030218871621087544,10
breast_cancer,LogReg,l1_ratio,0.12747320158338366,0.06902999588159113,10
breast_cancer,MLP,learning_rate_init,0.23801220341691104,0.10149532232308113,10
breast_cancer,MLP,hidden_layer_sizes,0.17521965797500486,0.0519492454081165,10
breast_cancer,MLP,alpha,0.10200944430941594,0.05231394744437288,10
breast_cancer,MLP,activation,0.05727384263777315,0.0392454697487332,10
breast_cancer,RF,min_samples_leaf,0.2507408581248252,0.10480819461656816,10
breast_cancer,RF,max_depth,0.14983344391722603,0.06389133386972061,10
breast_cancer,RF,min_samples_split,0.10881212290580752,0.03172811073686581,10
breast_cancer,RF,max_features,0.0838724981819131,0.027525084047321426,9
breast_cancer,RF,n_estimators,0.07284565188433409,0.019497250032836352,10
breast_cancer,kNN,n_neighbors,0.7019288802461869,0.07795428563851599,10
breast_cancer,kNN,p,0.168836646873453,0.05368589863962171,10
breast_cancer,kNN,weights,0.0064199560880778715,0.005041249333531621,10
compas,GBM,learning_rate,0.30565395372155396,0.04513417648865973,10
compas,GBM,max_depth,0.24724161292421548,0.030041521303201427,10
compas,GBM,n_estimators,0.11766367574836596,0.07778388916690329,10
compas,GBM,subsample,0.0905337897223714,0.03825627146563252,10
compas,LogReg,C,0.9352619569435081,0.045257814825328396,10
compas,LogReg,l1_ratio,0.10830512525814866,0.045264286363200755,10
compas,MLP,learning_rate_init,0.2167872627896128,0.09783871370363617,10
compas,MLP,hidden_layer_sizes,0.15061164826854645,0.03147239661272663,10
compas,MLP,alpha,0.13228857254567153,0.05978383386563271,10
compas,MLP,activation,0.08720789190477778,0.041740414019673704,10
compas,RF,max_depth,0.6366307202272873,0.0655686752145866,10
compas,RF,min_samples_leaf,0.15424797169784998,0.08107354368709813,10
compas,RF,min_samples_split,0.0980217054906942,0.07576577680964545,10
compas,RF,max_features,0.08871482651451609,0.09742560211367585,10
compas,RF,n_estimators,0.06776289888891587,0.04728077930582854,10
compas,kNN,n_neighbors,0.7868210067056552,0.17204220464550335,10
compas,kNN,weights,0.34177973229474684,0.17475499718622567,6
compas,kNN,p,0.021786719497039298,0.01605014523477091,10
german,GBM,learning_rate,0.31881833115040314,0.09441053815718867,10
german,GBM,max_depth,0.2288722057751252,0.06522624356714163,10
german,GBM,subsample,0.12368256210194373,0.041014668790162516,10
german,GBM,n_estimators,0.09139274184376174,0.04258436262435994,10
german,LogReg,C,0.9667220446813412,0.027264564806148334,10
german,LogReg,l1_ratio,0.09634398792899358,0.06080731806304412,10
german,MLP,learning_rate_init,0.19921647737261267,0.11022700016118213,10
german,MLP,hidden_layer_sizes,0.16002078089721772,0.041736877894932814,10
german,MLP,alpha,0.09680192514648116,0.0314392394061623,10
german,MLP,activation,0.0656707516156678,0.014001547164027508,10
german,RF,max_depth,0.15220885001674636,0.07452513553765303,10
german,RF,min_samples_leaf,0.14350422598436616,0.07164773774354559,10
german,RF,max_features,0.1175173696021707,0.021367073909091965,10
german,RF,min_samples_split,0.11729356195319118,0.05244657186027612,10
german,RF,n_estimators,0.10141438028948453,0.05836878657410447,10
german,kNN,n_neighbors,0.7053505834809213,0.08354746856278285,10
german,kNN,p,0.22411101336603445,0.033445189822237174,10
german,kNN,weights,0.025832377839856292,0.01715041619433455,10
