hp_name,ratio_of_sums,n_values,n_models,mean_V_m,dataset,seed,family,K_actual
subsample,0.22468806430270283,3,25,0.010035143358110073,breast_cancer,0,GBM,25
max_depth,0.2246653321934468,4,25,0.010035143358110073,breast_cancer,0,GBM,25
learning_rate,0.18049681340955745,4,25,0.010035143358110073,breast_cancer,0,GBM,25
n_estimators,0.007379476575695819,3,25,0.010035143358110073,breast_cancer,0,GBM,25
C,0.8318699514985549,11,25,0.0017203733598524736,breast_cancer,0,LogReg,25
l1_ratio,0.24251416345766927,5,25,0.0017203733598524736,breast_cancer,0,LogReg,25
hidden_layer_sizes,0.25545782309592224,5,25,0.007739831958755794,breast_cancer,0,MLP,25
alpha,0.10394512496136576,4,25,0.007739831958755794,breast_cancer,0,MLP,25
learning_rate_init,0.034164662283721434,2,25,0.007739831958755794,breast_cancer,0,MLP,25
activation,0.00026580465852117695,2,25,0.007739831958755794,breast_cancer,0,MLP,25
min_samples_split,0.24133678385762217,3,25,0.0005420902039920472,breast_cancer,0,RF,25
min_samples_leaf,0.18494899149030203,3,25,0.0005420902039920472,breast_cancer,0,RF,25
max_features,0.1598232567032982,2,14,0.0004238787535299295,breast_cancer,0,RF,25
max_depth,0.09921905918661299,4,24,0.0005406485107693396,breast_cancer,0,RF,25
n_estimators,0.012325499009228452,3,25,0.0005420902039920472,breast_cancer,0,RF,25
n_neighbors,0.9055089586305849,8,25,0.0031216301347508956,breast_cancer,0,kNN,25
p,0.004200245843670625,2,25,0.0031216301347508956,breast_cancer,0,kNN,25
weights,0.0006890828820756188,2,25,0.0031216301347508956,breast_cancer,0,kNN,25
learning_rate,0.2580205615148793,4,25,0.0022734406545711176,breast_cancer,1,GBM,25
subsample,0.13837885346407638,3,25,0.0022734406545711176,breast_cancer,1,GBM,25
n_estimators,0.09640886653164413,3,25,0.0022734406545711176,breast_cancer,1,GBM,25
max_depth,0.05986898763298182,4,25,0.0022734406545711176,breast_cancer,1,GBM,25
C,0.9947846899020133,12,25,0.0009305712735562646,breast_cancer,1,LogReg,25
l1_ratio,0.21495344610438916,5,25,0.0009305712735562646,breast_cancer,1,LogReg,25
alpha,0.13850424408445397,4,25,0.004180692958124792,breast_cancer,1,MLP,25
hidden_layer_sizes,0.12566589416122562,5,25,0.004180692958124792,breast_cancer,1,MLP,25
learning_rate_init,0.10695520460777157,2,25,0.004180692958124792,breast_cancer,1,MLP,25
activation,6.0561751346028564e-05,2,25,0.004180692958124792,breast_cancer,1,MLP,25
n_estimators,0.6698697909687156,3,25,0.0002839671643939663,breast_cancer,1,RF,25
min_samples_leaf,0.4382133221671298,3,25,0.0002839671643939663,breast_cancer,1,RF,25
max_depth,0.15100122709464042,4,18,0.00027834455767365924,breast_cancer,1,RF,25
max_features,0.05400031894908143,2,25,0.0002839671643939663,breast_cancer,1,RF,25
min_samples_split,0.004845394016687157,3,25,0.0002839671643939663,breast_cancer,1,RF,25
n_neighbors,0.973836108186468,8,25,0.002714694040354634,breast_cancer,1,kNN,25
weights,0.007079300930661246,2,25,0.002714694040354634,breast_cancer,1,kNN,25
p,6.519064746360478e-05,2,25,0.002714694040354634,breast_cancer,1,kNN,25
learning_rate,0.1931048803818835,4,25,0.0017397240530426438,breast_cancer,2,GBM,25
n_estimators,0.052141157805282515,3,25,0.0017397240530426438,breast_cancer,2,GBM,25
max_depth,0.02304558241349057,4,25,0.0017397240530426438,breast_cancer,2,GBM,25
subsample,0.003187392294453969,3,25,0.0017397240530426438,breast_cancer,2,GBM,25
C,0.968979713319947,13,25,0.0018668148655220293,breast_cancer,2,LogReg,25
l1_ratio,0.06410137718776046,5,25,0.0018668148655220293,breast_cancer,2,LogReg,25
learning_rate_init,0.28697002250422954,2,25,0.006343272846199402,breast_cancer,2,MLP,25
hidden_layer_sizes,0.2667674041507359,5,25,0.006343272846199402,breast_cancer,2,MLP,25
alpha,0.06978030860530629,4,25,0.006343272846199402,breast_cancer,2,MLP,25
activation,0.007369564564386978,2,25,0.006343272846199402,breast_cancer,2,MLP,25
n_estimators,0.31891703021963996,3,25,0.0006859969641721973,breast_cancer,2,RF,25
max_features,0.24858467967206924,2,12,0.0006622480362401373,breast_cancer,2,RF,25
max_depth,0.1660430664195565,4,19,0.0006456416530854697,breast_cancer,2,RF,25
min_samples_split,0.08916968519404928,3,25,0.0006859969641721973,breast_cancer,2,RF,25
min_samples_leaf,0.019996428965453394,3,25,0.0006859969641721973,breast_cancer,2,RF,25
n_neighbors,0.9541218294490058,7,25,0.003047621381072428,breast_cancer,2,kNN,25
weights,0.01336750683115986,2,25,0.003047621381072428,breast_cancer,2,kNN,25
p,0.005454757878466593,2,25,0.003047621381072428,breast_cancer,2,kNN,25
learning_rate,0.28163951410731897,4,25,0.0035594295562818025,breast_cancer,3,GBM,25
max_depth,0.2456608446810073,4,25,0.0035594295562818025,breast_cancer,3,GBM,25
n_estimators,0.21281783278633806,3,25,0.0035594295562818025,breast_cancer,3,GBM,25
subsample,0.1679142324622468,3,25,0.0035594295562818025,breast_cancer,3,GBM,25
C,0.9713133123649662,12,25,0.003013527342550848,breast_cancer,3,LogReg,25
l1_ratio,0.1947734769771104,5,25,0.003013527342550848,breast_cancer,3,LogReg,25
hidden_layer_sizes,0.201150876453798,5,25,0.006827949068626188,breast_cancer,3,MLP,25
alpha,0.16007924445708385,4,25,0.006827949068626188,breast_cancer,3,MLP,25
learning_rate_init,0.015190078790637314,2,25,0.006827949068626188,breast_cancer,3,MLP,25
activation,0.003980028817386226,2,25,0.006827949068626188,breast_cancer,3,MLP,25
max_depth,0.3810677582736537,4,19,0.0005302188418136153,breast_cancer,3,RF,25
n_estimators,0.1280347619360158,3,25,0.0004755360417122496,breast_cancer,3,RF,25
min_samples_split,0.023935064186868256,3,25,0.0004755360417122496,breast_cancer,3,RF,25
max_features,0.0014424330294812667,2,24,0.00039948987347414934,breast_cancer,3,RF,25
min_samples_leaf,0.001329972137268293,3,25,0.0004755360417122496,breast_cancer,3,RF,25
n_neighbors,0.8945859447657185,8,25,0.0026310684830494415,breast_cancer,3,kNN,25
p,0.021265174795847476,2,25,0.0026310684830494415,breast_cancer,3,kNN,25
weights,0.004093629308398889,2,25,0.0026310684830494415,breast_cancer,3,kNN,25
max_depth,0.207961614627092,4,25,0.0016876318530904745,breast_cancer,4,GBM,25
n_estimators,0.19143084553218728,3,25,0.0016876318530904745,breast_cancer,4,GBM,25
subsample,0.051926523692113764,3,25,0.0016876318530904745,breast_cancer,4,GBM,25
learning_rate,0.004874731656110628,3,25,0.0016876318530904745,breast_cancer,4,GBM,25
C,0.9963522256172413,12,25,0.0013744551551281411,breast_cancer,4,LogReg,25
l1_ratio,0.07780370715899365,5,25,0.0013744551551281411,breast_cancer,4,LogReg,25
hidden_layer_sizes,0.3929539866299048,5,25,0.0029643727811311726,breast_cancer,4,MLP,25
alpha,0.04565180327783611,4,25,0.0029643727811311726,breast_cancer,4,MLP,25
learning_rate_init,0.009084246808477218,2,25,0.0029643727811311726,breast_cancer,4,MLP,25
activation,0.0029097474607732063,2,25,0.0029643727811311726,breast_cancer,4,MLP,25
min_samples_leaf,0.3675551437501793,3,25,0.0006239100755793228,breast_cancer,4,RF,25
max_depth,0.20264552621235732,4,17,0.0006556682313055923,breast_cancer,4,RF,25
n_estimators,0.17079137624941929,3,25,0.0006239100755793228,breast_cancer,4,RF,25
max_features,0.09972582408441025,2,12,0.0005453810795097277,breast_cancer,4,RF,25
min_samples_split,0.03060768242586408,3,25,0.0006239100755793228,breast_cancer,4,RF,25
n_neighbors,0.8016349196743893,7,25,0.0022871399555584584,breast_cancer,4,kNN,25
weights,0.02384600983012307,2,25,0.0022871399555584584,breast_cancer,4,kNN,25
p,0.0005122088851437165,2,25,0.0022871399555584584,breast_cancer,4,kNN,25
subsample,0.1711938208622388,3,25,0.0025790819672626935,breast_cancer,5,GBM,25
learning_rate,0.13791954847901058,3,25,0.0025790819672626935,breast_cancer,5,GBM,25
max_depth,0.1378060684082416,4,25,0.0025790819672626935,breast_cancer,5,GBM,25
n_estimators,0.02494766434152717,3,25,0.0025790819672626935,breast_cancer,5,GBM,25
C,0.976698650839925,11,25,0.0005146203974350598,breast_cancer,5,LogReg,25
l1_ratio,0.07419212041932358,5,25,0.0005146203974350598,breast_cancer,5,LogReg,25
hidden_layer_sizes,0.3562726258968278,5,25,0.003962065567632998,breast_cancer,5,MLP,25
alpha,0.07562923547732152,4,25,0.003962065567632998,breast_cancer,5,MLP,25
learning_rate_init,0.0039067642871122065,2,25,0.003962065567632998,breast_cancer,5,MLP,25
activation,0.0002879269466163511,2,25,0.003962065567632998,breast_cancer,5,MLP,25
n_estimators,0.30906207242137085,3,25,0.000571801306712906,breast_cancer,5,RF,25
min_samples_leaf,0.2906432119277448,3,25,0.000571801306712906,breast_cancer,5,RF,25
max_depth,0.03286662031636936,4,22,0.0005521137010292984,breast_cancer,5,RF,25
min_samples_split,0.0237363621285296,3,25,0.000571801306712906,breast_cancer,5,RF,25
max_features,0.017392338344391287,2,19,0.000370313204061903,breast_cancer,5,RF,25
n_neighbors,0.9667291449567497,8,25,0.0030754226869520365,breast_cancer,5,kNN,25
weights,0.008463645557214164,2,25,0.0030754226869520365,breast_cancer,5,kNN,25
p,0.0013227918901611443,2,25,0.0030754226869520365,breast_cancer,5,kNN,25
n_estimators,0.2755590108339444,3,25,0.0019770503672612147,breast_cancer,6,GBM,25
max_depth,0.21802284223003693,4,25,0.0019770503672612147,breast_cancer,6,GBM,25
learning_rate,0.19261584976448407,4,25,0.0019770503672612147,breast_cancer,6,GBM,25
subsample,0.04036827535267598,3,25,0.0019770503672612147,breast_cancer,6,GBM,25
C,0.9334062103893263,12,25,0.0017584766785499442,breast_cancer,6,LogReg,25
l1_ratio,0.08131553848936361,5,25,0.0017584766785499442,breast_cancer,6,LogReg,25
hidden_layer_sizes,0.1328396587300959,5,25,0.0033464243339782363,breast_cancer,6,MLP,25
alpha,0.07987052733302191,4,25,0.0033464243339782363,breast_cancer,6,MLP,25
activation,0.05553747497496973,2,25,0.0033464243339782363,breast_cancer,6,MLP,25
learning_rate_init,0.0004902580541624445,2,25,0.0033464243339782363,breast_cancer,6,MLP,25
n_estimators,0.8677651162505176,3,25,0.00018317862688492823,breast_cancer,6,RF,25
