family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums
GBM,learning_rate,hp_learning_rate,25,25,4,0.3190288548079073,0.32519955491644026,0.5985382378906395,0.32620243387949205
GBM,max_depth,hp_max_depth,25,25,4,0.2134897805745103,0.19065316528312157,0.39463663287565687,0.23500718802690934
GBM,subsample,hp_subsample,25,25,3,0.11496972909852368,0.0852426071400455,0.23806082659321298,0.08425807590376228
GBM,n_estimators,hp_n_estimators,25,25,3,0.06266082351872197,0.06079188046615859,0.11065896461286356,0.06019244546126801
LogReg,C,hp_C,25,25,10,0.8318453626962857,0.8745400725999124,0.9976119909549594,0.7381581460173464
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.08160777692822462,0.06598887261483984,0.1352094397566668,0.08051195388831876
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.24734649991353636,0.2318516788730048,0.48828000662097765,0.31486948394314934
MLP,alpha,hp_alpha,25,25,4,0.24571816276415942,0.22517789468639565,0.4495562439936885,0.2303908769575713
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.1499871217985634,0.1358158806302541,0.2939003697538434,0.15477341405779624
MLP,activation,hp_activation,25,25,2,0.06702805100619733,0.02699825979525305,0.13408751098426533,0.06663876296364218
RF,max_depth,hp_max_depth,25,24,4,0.4342134925381745,0.3830592501407124,0.869444100514259,0.4919856309289415
RF,min_samples_split,hp_min_samples_split,25,25,3,0.08574643680039055,0.07242276968581461,0.16901229131338016,0.09392050884249717
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.08208680222306607,0.07109336332773761,0.16179387935581616,0.07568223140632759
RF,max_features,hp_max_features,25,20,2,0.031037192675767496,0.025798042528879853,0.05529577252937123,0.026726798254606905
RF,n_estimators,hp_n_estimators,25,25,3,0.02885140749135671,0.0172035649584234,0.06303953064491308,0.02288404810923433
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.8387356078982569,0.8883806486444944,0.9890017384362748,0.8585382201131921
kNN,weights,hp_weights,25,25,2,0.08745461907180703,0.014833426376274907,0.2447201836374178,0.09840492394898367
kNN,p,hp_p,25,25,2,0.024308813971270625,0.004798351107906286,0.05489376716108384,0.022027233205018898
