family,hp,hp_col,n_models_total_family,n_models_used,n_groups,mean_ratio,median_ratio,p90_ratio,ratio_of_sums
GBM,learning_rate,hp_learning_rate,25,25,4,0.3322117829038277,0.3294883419160459,0.577682527601053,0.33733089951866296
GBM,max_depth,hp_max_depth,25,25,4,0.2722102808412861,0.22405170005191907,0.5759240455844679,0.25814358907128254
GBM,subsample,hp_subsample,25,25,3,0.10578616250967465,0.07921394213403897,0.2414183286190013,0.08882035070311653
GBM,n_estimators,hp_n_estimators,25,25,3,0.07147406847262502,0.06183085076169353,0.14082004195009434,0.06584938523216798
LogReg,C,hp_C,25,25,10,0.7682835636498998,0.8542873933593733,0.9940748906841854,0.8647793772248757
LogReg,l1_ratio,hp_l1_ratio,25,25,5,0.0939178142457572,0.0721485965468454,0.18879821691273405,0.04976719958760284
MLP,alpha,hp_alpha,25,25,4,0.23680871501986775,0.21940260256356223,0.4152698953173612,0.2503573856165756
MLP,learning_rate_init,hp_learning_rate_init,25,25,3,0.1412068466324404,0.11552541010013555,0.31314923207856726,0.18854445840590717
MLP,hidden_layer_sizes,hp_hidden_layer_sizes,25,25,5,0.1368558469248814,0.1195886641207787,0.26795645363274245,0.1402044874560796
MLP,activation,hp_activation,25,25,2,0.054975971927716104,0.02343673359029126,0.12954619950280155,0.057733384300118984
RF,max_depth,hp_max_depth,25,24,4,0.589222264816536,0.6567491235156568,0.9453463275847478,0.6674135780015169
RF,min_samples_split,hp_min_samples_split,25,25,3,0.10703717327990975,0.1075518581887579,0.1956572154490991,0.12174423985234788
RF,min_samples_leaf,hp_min_samples_leaf,25,25,3,0.07240488318718544,0.05586130445716548,0.14890439859026028,0.060662825943217064
RF,max_features,hp_max_features,25,20,2,0.03133103634268088,0.027039559604119797,0.0602644491829264,0.0300116420397984
RF,n_estimators,hp_n_estimators,25,25,3,0.03489415719754583,0.021478331944114814,0.08713550884499778,0.02561000693217424
kNN,n_neighbors,hp_n_neighbors,25,25,13,0.8362650109624233,0.87789854670687,0.9830130021046769,0.8355936787522003
kNN,weights,hp_weights,25,25,2,0.13908006018154206,0.042479132115040716,0.49800141391892877,0.17532078974651102
kNN,p,hp_p,25,25,2,0.015990441366784406,0.0053731529096878216,0.03762778261419215,0.015030546465991073
