family,hp_name,group_label,hp_value_min,hp_value_max,n_models_in_group,hv_count,hh_count,overlap_count,mean_var
GBM,learning_rate,0.01,0.01,0.01,7,48,101,31,0.0005380691406689602
GBM,learning_rate,0.05,0.05,0.05,9,144,29,24,0.0010551507221295746
GBM,learning_rate,0.1,0.1,0.1,6,82,41,23,0.000673185559063507
GBM,learning_rate,0.2,0.2,0.2,3,136,13,9,0.0010379354296277995
GBM,max_depth,2.0,2.0,2.0,8,60,11,9,0.0006995455607312428
GBM,max_depth,3.0,3.0,3.0,9,176,65,57,0.0011138808543212449
GBM,max_depth,4.0,4.0,4.0,4,64,77,36,0.0005755786364174681
GBM,max_depth,5.0,5.0,5.0,4,206,60,50,0.001207196559929262
GBM,n_estimators,100.0,100.0,100.0,7,137,33,22,0.0009874516937266149
GBM,n_estimators,200.0,200.0,200.0,13,188,52,47,0.0012527068012772777
GBM,n_estimators,500.0,500.0,500.0,5,79,13,11,0.0007911035124528718
GBM,subsample,0.6,0.6,0.6,7,109,44,29,0.0009345459975472944
GBM,subsample,0.8,0.8,0.8,7,266,78,73,0.0013981825434877444
GBM,subsample,1.0,1.0,1.0,11,117,7,6,0.0009532079081727843
