family,hp_name,group_label,hp_value_min,hp_value_max,n_models_in_group,hv_count,hh_count,overlap_count,mean_var
LogReg,C,"(0.161, 1.833]",0.161,1.833,7,431,4,4,7.622459111345515e-06
LogReg,C,"(1.833, 20.691]",1.833,20.691,6,7,4,4,2.2733643768605947e-08
LogReg,C,"(20.691, 784.76]",20.691,784.76,7,0,4,0,5.609609217976687e-10
LogReg,C,"(784.76, 29763.514]",784.76,29763.514,5,0,4,0,8.061191040960741e-13
LogReg,l1_ratio,0.0,0.0,0.0,7,106,4,4,4.333737077996832e-06
LogReg,l1_ratio,0.25,0.25,0.25,6,526,4,4,1.1145347086564651e-05
LogReg,l1_ratio,0.5,0.5,0.5,3,7,4,4,1.2955820855656356e-08
LogReg,l1_ratio,0.75,0.75,0.75,7,90,4,4,7.644162015829428e-06
LogReg,l1_ratio,1.0,1.0,1.0,2,84,4,4,4.339229864098813e-06
LogReg,max_iter,2000.0,2000.0,2000.0,25,145,4,4,5.786269403504819e-06
LogReg,penalty,elasticnet,elasticnet,elasticnet,25,145,4,4,5.786269403504819e-06
LogReg,solver,saga,saga,saga,25,145,4,4,5.786269403504819e-06
LogReg,tol,0.0001,0.0001,0.0001,25,145,4,4,5.786269403504819e-06
