family,hp_name,group_label,hp_value_min,hp_value_max,n_models_in_group,hv_count,hh_count,overlap_count,mean_var
MLP,activation,relu,relu,relu,14,155,212,115,0.0010951888241177799
MLP,activation,tanh,tanh,tanh,11,154,167,113,0.0010882167482611134
MLP,alpha,1e-05,1e-05,1e-05,7,108,229,95,0.0008323511671466982
MLP,alpha,0.0001,0.0001,0.0001,4,65,129,48,0.0006241913670021566
MLP,alpha,0.001,0.001,0.001,7,68,166,54,0.000745361385524842
MLP,alpha,0.01,0.01,0.01,7,294,176,174,0.001440943899455365
MLP,early_stopping,True,True,True,25,145,181,105,0.0011107800142763707
MLP,hidden_layer_sizes,"[100, 50]","[100, 50]","[100, 50]",7,218,219,167,0.0010135614765242672
MLP,hidden_layer_sizes,[100],[100],[100],4,45,103,42,0.0004940846203426032
MLP,hidden_layer_sizes,"[200, 100]","[200, 100]","[200, 100]",5,425,261,259,0.0017161409955685181
MLP,hidden_layer_sizes,[200],[200],[200],3,248,225,178,0.0010151686475234083
MLP,hidden_layer_sizes,[50],[50],[50],6,302,239,196,0.0012925048246529571
MLP,learning_rate_init,0.0001,0.0001,0.0001,3,59,257,55,0.0006164186911260486
MLP,learning_rate_init,0.001,0.001,0.001,11,55,227,47,0.0006727697409440958
MLP,learning_rate_init,0.01,0.01,0.01,11,263,280,227,0.0013671831562143582
MLP,max_iter,1000.0,1000.0,1000.0,25,145,181,105,0.0011107800142763707
MLP,n_iter_no_change,10.0,10.0,10.0,25,145,181,105,0.0011107800142763707
MLP,solver,adam,adam,adam,25,145,181,105,0.0011107800142763707
