family,hp_name,group_label,hp_value_min,hp_value_max,n_models_in_group,hv_count,hh_count,overlap_count,mean_var
RF,bootstrap,True,True,True,25,145,71,48,0.003180469346637499
RF,max_depth,5.0,5.0,5.0,14,70,132,45,0.0016976029760440953
RF,max_depth,10.0,10.0,10.0,6,0,62,0,0.00034832705310293324
RF,max_depth,20.0,20.0,20.0,2,0,25,0,0.0002475327462429031
RF,max_depth,40.0,40.0,40.0,2,0,34,0,0.00013342693624636136
RF,max_features,log2,log2,log2,7,187,32,23,0.0033534765583152996
RF,max_features,sqrt,sqrt,sqrt,13,157,44,31,0.0030220334340960177
RF,min_samples_leaf,1.0,1.0,1.0,8,143,75,53,0.003177367960186323
RF,min_samples_leaf,2.0,2.0,2.0,5,163,63,41,0.003005424468164393
RF,min_samples_leaf,4.0,4.0,4.0,12,178,59,43,0.0034034109567191587
RF,min_samples_split,2.0,2.0,2.0,8,150,90,63,0.003109288358230556
RF,min_samples_split,5.0,5.0,5.0,10,117,56,31,0.002907650861106984
RF,min_samples_split,10.0,10.0,10.0,7,159,86,61,0.0031840827183669007
RF,n_estimators,100.0,100.0,100.0,8,167,60,46,0.003497728555931802
RF,n_estimators,200.0,200.0,200.0,10,149,68,44,0.0031797964465400718
RF,n_estimators,500.0,500.0,500.0,7,192,61,44,0.003545692033426302
RF,n_jobs,-1.0,-1.0,-1.0,25,145,71,48,0.003180469346637499
