seed,moran_full,moran_excl_prot,n_hh_full,n_hh_excl_prot,jaccard_hh
0,0.14050277401062752,0.1476339951010033,47,61,0.6363636363636364
1,0.21142516494519878,0.34586114043880795,135,166,0.5435897435897435
2,0.20579980860843525,0.22626840529117043,52,86,0.4838709677419355
3,0.3604996255687607,0.34568129305268924,169,249,0.3354632587859425
4,0.11009710577604725,0.13431085860161196,20,65,0.2878787878787879
5,0.14054512271984654,0.1936040987224275,49,70,0.43373493975903615
6,0.17500495208159222,0.2424335711847376,97,160,0.3891891891891892
7,0.21507824941931467,0.3061497225449831,129,131,0.4772727272727273
8,0.29166873546932315,0.3738743764423116,146,183,0.48868778280542985
9,0.14216891995910616,0.1396597923932789,23,25,0.7142857142857143
