label,type,name,frequency
HV_q,feature,num__age,10.6
HV_q,feature,num__priors_count,10.02
HH,feature,num__priors_count,8.36
HH,feature,num__age,8.06
HV_q,feature,cat__race_African-American,2.84
HV_q,feature,cat__race_Other,2.32
HV_q,feature,cat__race_Caucasian,1.5
HV_q,feature,cat__sex_Female,1.36
HV_q,feature,cat__race_Asian,1.24
HV_q,feature,cat__sex_Male,0.98
HH,feature,cat__race_Other,0.64
HH,feature,cat__race_Asian,0.46
HV_q,feature,cat__c_charge_degree_F,0.42
HV_q,feature,cat__c_charge_degree_M,0.32
HH,feature,cat__race_Caucasian,0.2
HH,feature,cat__c_charge_degree_M,0.18
HH,feature,cat__race_African-American,0.12
HV_q,feature,cat__race_Hispanic,0.08
HH,feature,cat__sex_Male,0.08
HH,feature,cat__c_charge_degree_F,0.06
HH,feature_set,num__age & num__priors_count,6.78
HV_q,feature_set,num__age & num__priors_count,3.88
HV_q,feature_set,cat__race_African-American & num__age & num__priors_count,1.9
HV_q,feature_set,cat__race_Caucasian & num__age & num__priors_count,0.8
HV_q,feature_set,cat__race_Other & num__age & num__priors_count,0.6
HV_q,feature_set,cat__race_Other & num__priors_count,0.5
HV_q,feature_set,cat__race_Other & cat__sex_Female,0.42
HH,feature_set,cat__race_Asian & num__age & num__priors_count,0.4
HV_q,feature_set,cat__sex_Female & num__age & num__priors_count,0.34
HV_q,feature_set,cat__race_Other & num__age,0.34
HV_q,feature_set,cat__sex_Male & num__age & num__priors_count,0.34
HV_q,feature_set,cat__race_Asian,0.3
HH,feature_set,cat__race_Other & num__priors_count,0.3
HV_q,feature_set,cat__race_African-American & cat__race_Caucasian & num__age & num__priors_count,0.28
HV_q,feature_set,cat__race_Other,0.28
HV_q,feature_set,cat__race_Asian & num__age & num__priors_count,0.26
HH,feature_set,cat__race_Other & num__age & num__priors_count,0.26
HV_q,feature_set,cat__race_Asian & cat__sex_Female,0.22
HV_q,feature_set,cat__race_African-American & cat__sex_Male & num__age,0.18
HV_q,feature_set,cat__race_Asian & cat__sex_Male,0.18
HV_q,feature_set,cat__c_charge_degree_F & num__age & num__priors_count,0.18
HH,feature_set,cat__race_Caucasian & num__age & num__priors_count,0.18
HV_q,feature_set,cat__race_African-American & cat__race_Caucasian & num__age,0.16
HH,feature_set,cat__c_charge_degree_M & num__age & num__priors_count,0.14
HV_q,feature_set,cat__c_charge_degree_M & num__age & num__priors_count,0.12
HV_q,feature_set,cat__race_African-American & cat__sex_Female & num__age & num__priors_count,0.12
HV_q,feature_set,cat__sex_Female & num__age,0.12
HV_q,feature_set,cat__race_Asian & num__priors_count,0.1
HV_q,feature_set,cat__race_Asian & num__age,0.1
HV_q,feature_set,cat__c_charge_degree_F & cat__sex_Male & num__age,0.08
HV_q,feature_set,cat__race_Asian & cat__race_Other & num__age & num__priors_count,0.08
HV_q,feature_set,cat__c_charge_degree_M & cat__race_Caucasian & num__age & num__priors_count,0.08
HH,feature_set,cat__race_African-American & num__age & num__priors_count,0.08
HV_q,feature_set,num__priors_count,0.06
HV_q,feature_set,cat__race_Caucasian & num__age,0.06
HV_q,feature_set,cat__race_African-American & cat__sex_Male & num__age & num__priors_count,0.06
HH,feature_set,cat__race_Other & num__age,0.06
HH,feature_set,cat__sex_Male & num__age & num__priors_count,0.06
HV_q,feature_set,cat__race_Hispanic & cat__sex_Male & num__age & num__priors_count,0.04
HV_q,feature_set,cat__race_Caucasian & cat__sex_Male & num__age,0.04
HV_q,feature_set,cat__race_Other & cat__sex_Female & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_F & cat__race_Caucasian & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_M & cat__sex_Male & num__age,0.04
HV_q,feature_set,cat__race_Hispanic & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_F & cat__race_African-American & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_M & cat__sex_Female & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_F & cat__race_Other & num__age & num__priors_count,0.04
HV_q,feature_set,cat__c_charge_degree_M & cat__race_African-American & num__age & num__priors_count,0.04
HV_q,feature_set,cat__race_Caucasian & cat__sex_Female & num__age,0.04
HH,feature_set,cat__race_Asian & num__priors_count,0.04
