rule,frequency,label
num__area error > -0.3459 AND num__worst perimeter <= 0.2002 AND num__mean concavity > -0.5555,0.02,HV_q
num__worst symmetry <= 0.5142 AND num__mean fractal dimension <= -0.582 AND num__mean radius > 0.226,0.02,HV_q
num__worst symmetry > 0.5142 AND num__worst smoothness <= 0.9597 AND num__mean fractal dimension <= 0.4054,0.02,HV_q
num__worst symmetry > 0.5142 AND num__worst smoothness <= 0.9597 AND num__mean fractal dimension > 0.4054,0.02,HV_q
num__area error > -0.2059 AND num__worst radius <= 0.2826 AND num__mean texture <= 0.4286,0.02,HV_q
num__area error > -0.2059 AND num__worst radius <= 0.2826 AND num__mean texture > 0.4286,0.02,HV_q
num__mean compactness <= 0.6889 AND num__worst perimeter > -0.007212 AND num__worst perimeter <= 0.2002,0.02,HV_q
num__mean compactness > 0.6889 AND num__worst perimeter <= 0.409,0.02,HV_q
num__compactness error > -0.252 AND num__mean texture <= 0.3278 AND num__worst perimeter > -0.3805 AND num__perimeter error <= 0.3102,0.02,HV_q
num__compactness error > -0.252 AND num__mean texture <= 0.3278 AND num__worst perimeter > -0.3805 AND num__perimeter error > 0.3102,0.02,HV_q
num__area error > -0.3498 AND num__worst area <= 0.3693 AND num__worst concavity > -0.5759 AND num__mean smoothness <= 0.5457,0.02,HV_q
num__area error > -0.3498 AND num__worst area <= 0.3693 AND num__worst concavity > -0.5759 AND num__mean smoothness > 0.5457,0.02,HV_q
num__worst fractal dimension <= 0.8846 AND num__symmetry error > 1.183,0.02,HV_q
num__worst fractal dimension > 0.8846 AND num__mean compactness <= 1.32,0.02,HV_q
num__radius error > -0.4283 AND num__worst perimeter <= 0.2002 AND num__mean concavity > -0.5555 AND num__worst smoothness <= 1.255,0.02,HV_q
num__mean symmetry > 0.1136 AND num__worst concave points <= 0.7266 AND num__area error > -0.3679 AND num__mean texture <= 0.3243,0.02,HV_q
num__mean symmetry > 0.1136 AND num__worst concave points <= 0.7266 AND num__area error > -0.3679 AND num__mean texture > 0.3243,0.02,HV_q
num__mean concave points > -0.5483 AND num__worst perimeter <= 0.2248 AND num__worst perimeter <= -0.3277 AND num__worst radius <= -0.7725,0.02,HV_q
num__mean concave points > -0.5483 AND num__worst perimeter <= 0.2248 AND num__worst perimeter > -0.3277 AND num__mean smoothness <= 0.8298,0.02,HV_q
num__texture error <= 0.3521 AND num__concave points error > 0.008458 AND num__mean fractal dimension <= -0.3348,0.02,HV_q
num__texture error > 0.3521 AND num__worst smoothness <= 0.3628 AND num__symmetry error <= 1.183,0.02,HV_q
num__texture error > 0.3521 AND num__worst smoothness <= 0.3628 AND num__symmetry error > 1.183,0.02,HV_q
num__mean fractal dimension <= 1.453 AND num__worst perimeter > 0.01309 AND num__worst perimeter <= 0.19,0.02,HV_q
num__mean fractal dimension > 1.453,0.02,HV_q
num__worst smoothness <= -0.04085 AND num__area error > -0.3442 AND num__compactness error > -0.6544 AND num__perimeter error <= 0.6908,0.02,HV_q
num__worst smoothness <= -0.04085 AND num__area error > -0.3442 AND num__compactness error > -0.6544 AND num__perimeter error > 0.6908,0.02,HV_q
num__worst smoothness > -0.04085 AND num__mean fractal dimension > 1.365,0.02,HV_q
num__concave points error > 0.01257 AND num__mean texture <= 0.3278 AND num__smoothness error <= 0.2676 AND num__worst fractal dimension <= -0.1335,0.02,HV_q
num__concave points error > 0.01257 AND num__mean texture <= 0.3278 AND num__smoothness error <= 0.2676 AND num__worst fractal dimension > -0.1335,0.02,HV_q
num__area error > -0.3459 AND num__worst perimeter <= 0.19 AND num__worst concavity > -0.6636,0.02,HV_q
num__area error > -0.3483 AND num__worst area <= 0.3693 AND num__worst compactness > -0.5489 AND num__mean texture <= 0.4867,0.02,HV_q
num__area error > -0.2154 AND num__worst area <= 0.3777 AND num__smoothness error <= 0.1468 AND num__perimeter error <= 0.1421,0.02,HV_q
