rule,frequency,label
num__age <= -1.192 AND num__priors_count > -0.4011,0.16,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011,0.08,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.4011,0.08,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age > -1.192 AND cat__sex_Male <= 0.5,0.06,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.6081,0.06,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.6081,0.06,HV_q
num__priors_count > 1.256 AND num__age <= -0.2748 AND cat__sex_Male <= 0.5,0.06,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5,0.06,HV_q
num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_Caucasian <= 0.5,0.06,HV_q
num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age <= -1.192 AND cat__race_Caucasian > 0.5,0.06,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__race_Caucasian > 0.5 AND num__priors_count <= -0.6081,0.06,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_M > 0.5,0.06,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.1914 AND num__age <= 1.394,0.04,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.1914 AND num__age > 1.394,0.04,HV_q
num__priors_count <= 1.256 AND num__age <= -1.026 AND num__age > -1.192 AND cat__sex_Female > 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__race_African-American <= 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age <= -1.192 AND num__priors_count <= -0.6081 AND cat__race_African-American > 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age <= -1.192 AND num__priors_count > -0.6081 AND cat__race_Caucasian <= 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age <= -1.192 AND num__priors_count > -0.6081 AND cat__race_Caucasian > 0.5,0.04,HV_q
num__priors_count > 1.049 AND num__age <= -0.108 AND cat__race_African-American <= 0.5 AND cat__race_Caucasian <= 0.5,0.04,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5,0.04,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.644,0.04,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.644,0.04,HV_q
num__age <= -1.192 AND num__priors_count > -0.4011 AND num__age <= -1.276,0.04,HV_q
num__age <= -1.192 AND num__priors_count > -0.4011 AND num__age > -1.276,0.04,HV_q
num__age > -1.192 AND num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__sex_Male <= 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age > -0.8588 AND num__age > 1.978 AND num__priors_count > -0.6081,0.04,HV_q
num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.4011,0.04,HV_q
num__priors_count <= 1.256 AND num__age > -1.026 AND num__age <= 2.395 AND cat__race_Asian > 0.5,0.04,HV_q
num__priors_count > 1.256 AND num__age > -0.2748 AND num__age <= 1.06 AND cat__race_African-American <= 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5,0.04,HV_q
num__priors_count <= 1.049 AND num__age > -1.026 AND num__age <= 2.395 AND cat__race_Other > 0.5,0.04,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American > 0.5 AND cat__c_charge_degree_F <= 0.5,0.04,HV_q
num__age > -1.192 AND num__priors_count <= 1.256 AND cat__race_Asian > 0.5,0.04,HV_q
num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5 AND num__priors_count <= -0.194,0.04,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_M <= 0.5 AND cat__race_African-American <= 0.5,0.04,HV_q
num__age <= -1.192 AND num__priors_count <= -0.4011 AND cat__c_charge_degree_M <= 0.5 AND cat__race_African-American > 0.5,0.04,HV_q
num__age <= -1.109 AND num__age > -1.192 AND cat__sex_Male > 0.5 AND cat__race_African-American <= 0.5,0.04,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Other > 0.5 AND num__priors_count <= -0.194,0.04,HV_q
num__age > -1.192 AND num__priors_count <= 1.049 AND cat__race_Other > 0.5 AND num__priors_count > -0.194,0.04,HV_q
num__age > -1.109 AND num__priors_count <= 1.049 AND cat__race_African-American <= 0.5 AND num__age <= -0.8588,0.04,HV_q
