rule,frequency,label
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND num__credit_amount <= -0.9289,0.04,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND num__credit_amount <= -0.9289 AND cat__job_unskilled resident <= 0.5,0.04,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.063 AND num__credit_amount <= -0.9289 AND cat__employment_>=7 <= 0.5,0.04,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__existing_credits <= 0.2003 AND cat__job_unemp/unskilled non res > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__existing_credits > 0.2003 AND cat__personal_status_male single <= 0.5 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__existing_credits > 0.2003 AND cat__personal_status_male single > 0.5 AND num__credit_amount > 1.542,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__duration <= 0.4994 AND num__credit_amount <= -0.6025,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND num__duration > 0.4994,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.063 AND cat__savings_status_<100 > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__property_magnitude_car <= 0.5 AND cat__job_skilled <= 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__property_magnitude_car <= 0.5 AND cat__job_skilled > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND cat__purpose_radio/tv <= 0.5 AND cat__property_magnitude_car > 0.5,0.02,HV_q
num__credit_amount <= 1.029 AND cat__property_magnitude_no known property <= 0.5 AND num__age <= -1.182,0.02,HV_q
num__credit_amount <= 1.029 AND cat__property_magnitude_no known property > 0.5 AND cat__other_payment_plans_bank > 0.5,0.02,HV_q
num__credit_amount > 1.029 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND cat__credit_history_existing paid <= 0.5,0.02,HV_q
num__credit_amount > 1.029 AND num__age <= 0.7174 AND cat__employment_4<=X<7 <= 0.5 AND cat__credit_history_existing paid > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.858 AND num__credit_amount <= -0.9289 AND cat__job_unskilled resident <= 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount <= 1.858 AND num__credit_amount > -0.9289 AND cat__checking_status_>=200 > 0.5,0.02,HV_q
cat__other_payment_plans_bank <= 0.5 AND num__credit_amount > 1.858 AND cat__other_payment_plans_none > 0.5,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND num__age > -0.4051 AND num__residence_since > -1.243 AND num__duration <= -0.005327,0.02,HV_q
cat__other_payment_plans_bank > 0.5 AND num__age > -0.4051 AND num__residence_since > -1.243 AND num__duration > -0.005327,0.02,HV_q
