method,label,rule_rank,oob_purity_mean,oob_purity_median,oob_purity_iqr,oob_lift_mean,oob_lift_median,oob_lift_iqr,oob_support_mean,oob_support_median,oob_support_iqr
beam_search,HH,0,0.41233465511824186,0.45794930875576034,0.11989044448721864,12.659551219906875,14.06001813903324,3.680891731809714,26.8,30.0,5.75
beam_search,HH,1,0.29144901918433413,0.2982456140350877,0.06554945054945055,8.948104993255194,9.156774916013438,2.012507598784195,43.92,48.0,11.75
beam_search,HH,2,0.22966864384909844,0.23993558776167473,0.07065015335997771,7.051316022856364,7.366533045533972,2.169110027626549,50.84,54.0,11.0
beam_search,HV_q,0,0.5301892736892736,0.4,0.6666666666666667,5.204511033562054,3.926530612244898,6.544217687074829,8.66,5.0,7.75
beam_search,HV_q,1,0.4536830339065633,0.42857142857142855,0.3125,4.453500802225651,4.206997084548105,3.0676020408163263,8.68,7.0,6.0
beam_search,HV_q,2,0.49592348508601636,0.4342857142857143,0.28174603174603174,4.868146863803548,4.263090379008746,2.7657110463232906,19.82,23.0,25.0
l1_logreg,HH,0,0.45894400561582843,0.43832153690596565,0.18018419489007725,14.090557449013627,13.45740378202784,5.532038153752797,37.72,36.5,14.75
l1_logreg,HV_q,0,0.2545383292110772,0.2517123287671233,0.04595211988304099,2.498631354092411,2.470890410958904,0.45108101354576924,137.62,135.0,22.5
tree,HH,0,0.09666666666666666,0.0,0.0,2.967872340425532,0.0,0.0,4.52,2.0,3.75
tree,HH,1,0.4236666666666667,0.3333333333333333,0.48214285714285715,13.007468085106384,10.23404255319149,14.802811550151976,3.68,3.0,3.0
tree,HH,2,0.4467301587301587,0.4,0.6763888888888889,13.7155663627153,12.28085106382979,20.7665780141844,3.26,2.0,4.0
tree,HH,3,0.4241653804378894,0.3333333333333333,0.8,13.022779658976054,10.23404255319149,24.56170212765958,4.979591836734694,3.0,7.0
tree,HH,4,0.5732145711810784,0.625,0.5097840755735492,17.598906940729705,19.188829787234045,15.651455767077266,8.340909090909092,6.5,6.75
tree,HH,5,0.763133278002559,0.8,0.30147058823529405,23.4298153225041,24.56170212765958,9.25578848560701,8.703703703703704,8.0,8.0
tree,HH,6,0.7258974358974359,0.8666666666666667,0.07051282051282048,22.286595744680852,26.608510638297876,2.164893617021278,10.2,12.0,6.0
tree,HH,7,0.8666666666666667,0.8666666666666667,0.0,26.608510638297876,26.608510638297876,0.0,15.0,15.0,0.0
tree,HV_q,0,0.6972913197913198,0.7386363636363636,0.27976190476190477,6.84483928203316,7.25069573283859,2.746234207968902,7.26,7.0,5.0
tree,HV_q,1,0.6361716149647184,0.6666666666666666,0.5,6.244868302000603,6.54421768707483,4.908163265306122,6.64,5.0,4.0
tree,HV_q,2,0.61798334998335,0.6333333333333333,0.6666666666666667,6.06632635391819,6.217006802721087,6.544217687074829,7.52,4.0,6.25
tree,HV_q,3,0.5838918052453521,0.625,0.8303571428571428,5.7316726188370275,6.1352040816326525,8.151056851311953,8.68,4.0,13.25
tree,HV_q,4,0.37297402363513127,0.21089696071163824,0.5229166666666666,3.6612348034387376,2.070233430659143,5.133120748299319,11.88,5.0,10.5
tree,HV_q,5,0.3428083474496518,0.25396825396825395,0.4125,3.3651186759853573,2.4930353093618396,4.04923469387755,7.12,4.0,5.0
tree,HV_q,6,0.3194135794707877,0.2361111111111111,0.40750805152979064,3.135467994396916,2.3177437641723353,4.000232097669985,8.58,5.0,7.0
tree,HV_q,7,0.3332070146642385,0.2727272727272727,0.35,3.2708688582346674,2.677179962894248,3.4357142857142855,11.918367346938776,11.0,15.0
tree,HV_q,8,0.4709057809756874,0.4121212121212121,0.4314516129032258,4.622564911210319,4.045516388373532,4.23526991441738,13.083333333333334,8.0,16.25
tree,HV_q,9,0.5406151646292775,0.5277777777777778,0.5772849462365592,5.306854983401683,5.180839002267573,5.666817533464999,10.7,9.0,9.25
tree,HV_q,10,0.6137521457655729,0.55,0.5645481969011381,6.024791471698786,5.398979591836734,5.541789443049947,12.1,10.5,7.25
tree,HV_q,11,0.7879760168530222,0.8,0.21590909090909094,7.735029879720483,7.853061224489796,2.119434137291279,9.636363636363637,10.0,5.5
tree,HV_q,12,0.5625,0.5625,0.0625,5.521683673469387,5.521683673469387,0.6135204081632661,9.0,9.0,7.0
