method,label,rule,support,purity,recall,lift
tree,HV_q,num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count <= -0.4011,31,0.6129032258064516,0.1292517006802721,6.0164581961816985
tree,HV_q,num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age <= -1.192 AND num__priors_count > -0.4011,12,1.0,0.08163265306122448,9.816326530612244
tree,HV_q,num__priors_count <= 1.049 AND num__age <= -1.026 AND num__age > -1.192 AND cat__race_African-American <= 0.5,37,0.32432432432432434,0.08163265306122448,3.183673469387755
tree,HV_q,num__priors_count <= 1.049 AND num__age > -1.026 AND num__age <= 2.645 AND cat__race_Other > 0.5,66,0.16666666666666666,0.07482993197278912,1.6360544217687074
tree,HV_q,num__priors_count <= 1.049 AND num__age > -1.026 AND num__age > 2.645 AND num__age <= 2.728,5,0.2,0.006802721088435374,1.963265306122449
tree,HV_q,num__priors_count <= 1.049 AND num__age > -1.026 AND num__age > 2.645 AND num__age > 2.728,11,0.7272727272727273,0.05442176870748299,7.139146567717996
tree,HV_q,num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5 AND num__priors_count <= 1.463,9,0.1111111111111111,0.006802721088435374,1.0907029478458048
tree,HV_q,num__priors_count > 1.049 AND num__age <= -0.2748 AND cat__race_African-American <= 0.5 AND num__priors_count > 1.463,5,0.4,0.013605442176870748,3.926530612244898
tree,HV_q,num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.394 AND cat__race_African-American <= 0.5,33,0.48484848484848486,0.10884353741496598,4.75943104514533
tree,HV_q,num__priors_count > 1.049 AND num__age > -0.2748 AND num__age <= 1.394 AND cat__race_African-American > 0.5,67,0.1791044776119403,0.08163265306122448,1.7581480353335361
tree,HV_q,num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.394 AND num__priors_count <= 2.084,13,0.6153846153846154,0.05442176870748299,6.040816326530612
tree,HV_q,num__priors_count > 1.049 AND num__age > -0.2748 AND num__age > 1.394 AND num__priors_count > 2.084,18,1.0,0.12244897959183673,9.816326530612244
l1_logreg,HV_q,num__priors_count=+0.7464 | cat__race_Other=+0.3728 | cat__race_Asian=+0.3526 | cat__sex_Male=-0.185 | cat__sex_Female=+0.185 | cat__race_African-American=-0.1704 | cat__race_Native American=+0.1542 | cat__race_Hispanic=+0.1215 | cat__c_charge_degree_M=+0 | cat__c_charge_degree_F=+0 | cat__race_Cauc,382,0.2591623036649215,0.673469387755102,2.5440217972005557
cluster_describe,HV_q,Cluster0: num__priors_count <= 0.8414 AND num__age > 1.978 AND num__age > 2.728,11,0.7272727272727273,0.05442176870748299,7.139146567717996
cluster_describe,HV_q,Cluster0: num__priors_count > 0.8414 AND num__age <= -0.2748 AND cat__sex_Female > 0.5,9,0.2222222222222222,0.013605442176870748,2.1814058956916096
cluster_describe,HV_q,Cluster0: num__priors_count > 0.8414 AND num__age > -0.2748 AND num__age <= 1.227,107,0.22429906542056074,0.16326530612244897,2.201792866679382
cluster_describe,HV_q,Cluster0: num__priors_count > 0.8414 AND num__age > -0.2748 AND num__age > 1.227,44,0.7272727272727273,0.21768707482993196,7.139146567717996
cluster_describe,HV_q,Cluster1: num__age <= -0.8588 AND num__age <= -1.192 AND num__priors_count <= -0.4011,31,0.6129032258064516,0.1292517006802721,6.0164581961816985
cluster_describe,HV_q,Cluster1: num__age <= -0.8588 AND num__age <= -1.192 AND num__priors_count > -0.4011,12,1.0,0.08163265306122448,9.816326530612244
cluster_describe,HV_q,Cluster1: num__age <= -0.8588 AND num__age > -1.192 AND cat__race_African-American <= 0.5,88,0.26136363636363635,0.1564625850340136,2.5656307977736548
cluster_describe,HV_q,Cluster1: num__age > -0.8588 AND cat__race_Asian <= 0.5 AND cat__race_Other > 0.5,62,0.1935483870967742,0.08163265306122448,1.899934167215273
cluster_describe,HV_q,Cluster1: num__age > -0.8588 AND cat__race_Asian > 0.5,5,1.0,0.034013605442176874,9.816326530612244
beam_search,HV_q,cat__race_Other > 0 AND cat__sex_Female > 0 AND num__age <= -0.2331,11,0.6363636363636364,0.047619047619047616,6.246753246753246
beam_search,HV_q,cat__race_Other > 0 AND cat__sex_Female > 0 AND num__age <= 0.6846,13,0.5384615384615384,0.047619047619047616,5.285714285714286
beam_search,HV_q,cat__race_Other > 0 AND cat__sex_Female > 0,14,0.5,0.047619047619047616,4.908163265306122
beam_search,HV_q,num__priors_count > 0.3237 AND num__age > 0.6846,83,0.4819277108433735,0.272108843537415,4.730759773789034
beam_search,HV_q,cat__race_Other > 0,83,0.27710843373493976,0.1564625850340136,2.7201868699286944
tree,HH,num__priors_count <= 1.256 AND num__age <= 2.395 AND cat__race_Asian > 0.5,8,0.125,0.02127659574468085,3.837765957446809
tree,HH,num__priors_count <= 1.256 AND num__age > 2.395 AND num__priors_count > -0.6081 AND num__priors_count <= 0.1167,11,0.18181818181818182,0.0425531914893617,5.58220502901354
tree,HH,num__priors_count <= 1.256 AND num__age > 2.395 AND num__priors_count > -0.6081 AND num__priors_count > 0.1167,5,0.8,0.0851063829787234,24.56170212765958
tree,HH,num__priors_count > 1.256 AND num__age > -0.108 AND num__age <= 0.9766 AND num__priors_count > 3.534,9,0.4444444444444444,0.0851063829787234,13.645390070921986
tree,HH,num__priors_count > 1.256 AND num__age > -0.108 AND num__age > 0.9766 AND num__priors_count <= 1.67,12,0.25,0.06382978723404255,7.675531914893618
tree,HH,num__priors_count > 1.256 AND num__age > -0.108 AND num__age > 0.9766 AND num__priors_count > 1.67,37,0.8648648648648649,0.6808510638297872,26.553191489361705
