dataset,pool_type,family,hp,mean_delta,std_delta,n_seeds
adult,Rashomon,GBM,learning_rate,0.00018656426592498777,0.0087558957509651,10
adult,Rashomon,GBM,max_depth,0.03358135570855701,0.014696324103876732,10
adult,Rashomon,GBM,n_estimators,-0.0023883273910350515,0.007425275416728285,10
adult,Rashomon,GBM,subsample,0.010867674869082564,0.011862995629310757,10
adult,Rashomon,LogReg,C,-0.0005265831803171305,0.0066925224090275265,10
adult,Rashomon,LogReg,l1_ratio,0.001699586408377779,0.004748323793963691,10
adult,Rashomon,MLP,activation,0.02711991360981845,0.009782786145418465,10
adult,Rashomon,MLP,alpha,0.002638038823219467,0.010153627783932645,10
adult,Rashomon,MLP,hidden_layer_sizes,-0.0016520780775962488,0.007808916822028747,10
adult,Rashomon,MLP,learning_rate_init,0.02480334142389548,0.013339482958046375,10
adult,Rashomon,RF,max_depth,-0.017119572646154206,0.026848902303275062,10
adult,Rashomon,RF,max_features,0.06729496930521016,0.020250807190244427,9
adult,Rashomon,RF,min_samples_leaf,-0.020716895705081388,0.016462746493736698,10
adult,Rashomon,RF,min_samples_split,-0.0021054354006633,0.01314040413411562,10
adult,Rashomon,RF,n_estimators,0.009613806695945387,0.01890424755832022,10
adult,Rashomon,kNN,n_neighbors,-0.10508977004552762,0.015298226370879539,10
adult,Rashomon,kNN,p,0.19594404934756998,0.02405819675449007,10
adult,Rashomon,kNN,weights,-0.043464004576764484,0.016267994285283898,10
adult,full_pool,GBM,learning_rate,0.02697892947972072,0.006972542976142257,10
adult,full_pool,GBM,max_depth,-8.979794358330434e-06,0.005500040340866245,10
adult,full_pool,GBM,n_estimators,0.004092980683403448,0.002418950643207069,10
adult,full_pool,GBM,subsample,-0.0007826806993788732,0.0012514048729553836,10
adult,full_pool,LogReg,C,0.002457415620160619,0.0012284658979129159,10
adult,full_pool,LogReg,l1_ratio,-0.0004972527599875907,0.0007994022771414312,10
adult,full_pool,MLP,activation,0.0015278506212245788,0.0031433677785513846,10
adult,full_pool,MLP,alpha,0.0003446534552217828,0.0021919868987191203,10
adult,full_pool,MLP,hidden_layer_sizes,0.0008396445956004139,0.004015248585518908,10
adult,full_pool,MLP,learning_rate_init,0.010722928319251882,0.00495707875607191,10
adult,full_pool,RF,max_depth,-0.015332388932480834,0.013274772519465636,10
adult,full_pool,RF,max_features,0.011753374046115858,0.0057201087197459735,10
adult,full_pool,RF,min_samples_leaf,-0.004078681365831624,0.004366904193936703,10
adult,full_pool,RF,min_samples_split,-0.00012260244383535332,0.004218557963105975,10
adult,full_pool,RF,n_estimators,-0.0007263041979229199,0.0023221972863585742,10
adult,full_pool,kNN,n_neighbors,-0.0188771779072228,0.009814385558711378,10
adult,full_pool,kNN,p,0.0384542773483754,0.007877760708805049,10
adult,full_pool,kNN,weights,-0.014855382743891771,0.004862336084364897,10
compas,Rashomon,GBM,learning_rate,0.00034338604419757447,0.04373605904716408,10
compas,Rashomon,GBM,max_depth,-0.013970537883712783,0.027741447019412648,10
compas,Rashomon,GBM,n_estimators,-0.008506782169307189,0.012874018853384385,10
compas,Rashomon,GBM,subsample,0.0204545640404991,0.03472785956191785,10
compas,Rashomon,LogReg,C,-0.0014675017379228938,0.032846728728133615,10
compas,Rashomon,LogReg,l1_ratio,-0.0035035324619879793,0.015072246908917557,10
compas,Rashomon,MLP,activation,0.0029301475757995262,0.03226993217471384,10
compas,Rashomon,MLP,alpha,0.0049269229533969155,0.03692152737794661,10
compas,Rashomon,MLP,hidden_layer_sizes,-0.0018630376807665812,0.024572129432044863,10
compas,Rashomon,MLP,learning_rate_init,0.042112432957183,0.054987575645846956,10
compas,Rashomon,RF,max_depth,-0.045425763756093064,0.03443022304422553,10
compas,Rashomon,RF,max_features,0.0057393559568943014,0.012258458110406049,10
compas,Rashomon,RF,min_samples_leaf,-0.00017197598586057988,0.017351615937356693,10
compas,Rashomon,RF,min_samples_split,0.006832665938154847,0.012368761746232429,10
compas,Rashomon,RF,n_estimators,-0.0009731386763443524,0.005513983671824649,10
compas,Rashomon,kNN,n_neighbors,0.0012275153488895073,0.033748421341902826,10
compas,Rashomon,kNN,p,0.006228900486322645,0.008491436800341208,10
compas,Rashomon,kNN,weights,-0.04823532274427306,0.022507016070241043,6
compas,full_pool,GBM,learning_rate,0.044645803446615936,0.04902740084171285,10
compas,full_pool,GBM,max_depth,-0.0012685308101765963,0.052336710138723125,10
compas,full_pool,GBM,n_estimators,0.017608549580124155,0.025762971489992757,10
compas,full_pool,GBM,subsample,0.004286516141910358,0.01691230957733965,10
compas,full_pool,LogReg,C,0.0034280669881455728,0.002357892666411626,10
compas,full_pool,LogReg,l1_ratio,0.0008589926446059285,0.0029024378206958077,10
compas,full_pool,MLP,activation,0.02315258953251801,0.02310110844350793,10
compas,full_pool,MLP,alpha,0.004801932000495684,0.02513043833284201,10
compas,full_pool,MLP,hidden_layer_sizes,0.012208336455488364,0.021455749221289733,10
compas,full_pool,MLP,learning_rate_init,-0.02228463292134037,0.08991561450117519,10
compas,full_pool,RF,max_depth,0.024915973718520446,0.08280440335194586,10
compas,full_pool,RF,max_features,0.0014716405959099637,0.007421371751815528,10
compas,full_pool,RF,min_samples_leaf,-0.0059416575006285095,0.01694599709910912,10
compas,full_pool,RF,min_samples_split,0.002643269347297506,0.009647517988797275,10
compas,full_pool,RF,n_estimators,-0.002467981510426748,0.006276863486399886,10
compas,full_pool,kNN,n_neighbors,-0.08899293198343507,0.05596407220251902,10
compas,full_pool,kNN,p,-0.0007624278397498078,0.00173645949909653,10
compas,full_pool,kNN,weights,0.09958427596891009,0.07551077177915357,10
german,Rashomon,GBM,learning_rate,0.0451575511997435,0.09051411039761076,6
german,Rashomon,GBM,max_depth,0.0018990192285631886,0.056158348895850446,6
german,Rashomon,GBM,n_estimators,0.002178019209131588,0.0308451411044155,6
german,Rashomon,GBM,subsample,-0.0012947880378422448,0.03512233677671537,6
german,Rashomon,LogReg,C,-0.0007884517641837211,0.011572970401379975,6
german,Rashomon,LogReg,l1_ratio,-0.004033076183248679,0.009479664641516377,6
german,Rashomon,MLP,activation,0.01616096564148474,0.04719789718017809,6
