dataset,pool_type,subset,family,hp,mean_importance,std_importance,n_seeds,mean_rank,rank_freq_top1,rank_freq_top3
german,Rashomon,HH,GBM,learning_rate,0.32885460008731277,0.1335378925005001,3,1.3333333333333333,0.6666666666666666,1.0
german,Rashomon,HH,GBM,max_depth,0.24176141461564601,0.19919505812206909,3,2.0,0.3333333333333333,1.0
german,Rashomon,HH,GBM,subsample,0.11051417758583032,0.033578086427294616,3,3.0,0.0,0.6666666666666666
german,Rashomon,HH,GBM,n_estimators,0.053213148205009365,0.017481193430007504,3,3.6666666666666665,0.0,0.3333333333333333
german,Rashomon,HH,LogReg,C,0.980995295650148,0.008035575440519992,3,1.0,1.0,1.0
german,Rashomon,HH,LogReg,l1_ratio,0.08580528637877938,0.07987525394879955,3,2.0,0.0,1.0
german,Rashomon,HH,MLP,learning_rate_init,0.29010017219921896,0.19419020174001067,3,1.3333333333333333,0.6666666666666666,1.0
german,Rashomon,HH,MLP,hidden_layer_sizes,0.15658845292777476,0.058504084987432044,3,1.6666666666666667,0.3333333333333333,1.0
german,Rashomon,HH,MLP,activation,0.07354501527825287,0.009667668125084563,3,3.3333333333333335,0.0,0.6666666666666666
german,Rashomon,HH,MLP,alpha,0.06684500806583464,0.009881210377709204,3,3.6666666666666665,0.0,0.3333333333333333
german,Rashomon,HH,RF,max_features,0.20836892938464444,0.03361514160700417,3,1.6666666666666667,0.3333333333333333,1.0
german,Rashomon,HH,RF,min_samples_leaf,0.1719157617583117,0.14081543380135036,3,3.0,0.3333333333333333,0.3333333333333333
german,Rashomon,HH,RF,max_depth,0.12489480073573996,0.052356212231137365,3,2.6666666666666665,0.3333333333333333,0.6666666666666666
german,Rashomon,HH,RF,min_samples_split,0.12304164120402368,0.04153173550917852,3,4.0,0.0,0.3333333333333333
german,Rashomon,HH,RF,n_estimators,0.08749948332757179,0.06615249665516326,3,3.6666666666666665,0.0,0.6666666666666666
german,Rashomon,HH,kNN,n_neighbors,0.7647032674073037,0.0857138181336403,3,1.0,1.0,1.0
german,Rashomon,HH,kNN,p,0.2110618427939701,0.04540714809668919,3,2.0,0.0,1.0
german,Rashomon,HH,kNN,weights,0.006497297658849964,0.004102305956103468,3,3.0,0.0,1.0
german,Rashomon,all,GBM,learning_rate,0.31881833115040314,0.09441053815718867,10,1.4,0.7,1.0
german,Rashomon,all,GBM,max_depth,0.2288722057751252,0.06522624356714163,10,1.7,0.3,1.0
german,Rashomon,all,GBM,subsample,0.12368256210194373,0.041014668790162516,10,3.2,0.0,0.7
german,Rashomon,all,GBM,n_estimators,0.09139274184376174,0.04258436262435994,10,3.7,0.0,0.3
german,Rashomon,all,LogReg,C,0.9667220446813412,0.027264564806148334,10,1.0,1.0,1.0
german,Rashomon,all,LogReg,l1_ratio,0.09634398792899358,0.06080731806304412,10,2.0,0.0,1.0
german,Rashomon,all,MLP,learning_rate_init,0.19921647737261267,0.11022700016118213,10,1.5,0.6,1.0
german,Rashomon,all,MLP,hidden_layer_sizes,0.16002078089721772,0.041736877894932814,10,1.7,0.4,1.0
german,Rashomon,all,MLP,alpha,0.09680192514648116,0.0314392394061623,10,2.9,0.0,0.9
german,Rashomon,all,MLP,activation,0.0656707516156678,0.014001547164027508,10,3.9,0.0,0.1
german,Rashomon,all,RF,max_depth,0.15220885001674636,0.07452513553765303,10,2.7,0.3,0.6
german,Rashomon,all,RF,min_samples_leaf,0.14350422598436616,0.07164773774354559,10,2.5,0.3,0.7
german,Rashomon,all,RF,max_features,0.1175173696021707,0.021367073909091965,10,3.1,0.0,0.7
german,Rashomon,all,RF,min_samples_split,0.11729356195319118,0.05244657186027612,10,3.1,0.3,0.5
german,Rashomon,all,RF,n_estimators,0.10141438028948453,0.05836878657410447,10,3.6,0.1,0.5
german,Rashomon,all,kNN,n_neighbors,0.7053505834809213,0.08354746856278285,10,1.0,1.0,1.0
german,Rashomon,all,kNN,p,0.22411101336603445,0.033445189822237174,10,2.0,0.0,1.0
german,Rashomon,all,kNN,weights,0.025832377839856292,0.01715041619433455,10,3.0,0.0,1.0
german,Rashomon,non_HH,GBM,learning_rate,0.3185916139177203,0.09584745427165194,10,1.4,0.7,1.0
german,Rashomon,non_HH,GBM,max_depth,0.22890299130476155,0.06214430769585665,10,1.7,0.3,1.0
german,Rashomon,non_HH,GBM,subsample,0.1229130523008353,0.04146182600118146,10,3.2,0.0,0.7
german,Rashomon,non_HH,GBM,n_estimators,0.0915906618477926,0.04222403562692288,10,3.7,0.0,0.3
german,Rashomon,non_HH,LogReg,C,0.9665185279798345,0.027221395986802212,10,1.0,1.0,1.0
german,Rashomon,non_HH,LogReg,l1_ratio,0.09658677569294077,0.06069572258243804,10,2.0,0.0,1.0
german,Rashomon,non_HH,MLP,learning_rate_init,0.19784447712488878,0.10877544324491187,10,1.5,0.6,1.0
german,Rashomon,non_HH,MLP,hidden_layer_sizes,0.16003119992881681,0.0420215904410789,10,1.7,0.4,1.0
german,Rashomon,non_HH,MLP,alpha,0.09657082857067019,0.030701725875592684,10,2.8,0.0,1.0
german,Rashomon,non_HH,MLP,activation,0.06479693054961984,0.013525176363311197,10,4.0,0.0,0.0
german,Rashomon,non_HH,RF,max_depth,0.153081245126421,0.07446007676636635,10,2.7,0.3,0.6
german,Rashomon,non_HH,RF,min_samples_leaf,0.14235560973829445,0.06984102521519406,10,2.5,0.3,0.7
german,Rashomon,non_HH,RF,min_samples_split,0.11751234126043937,0.05258217208522242,10,3.1,0.3,0.5
german,Rashomon,non_HH,RF,max_features,0.11475672386185114,0.020592404978407572,10,3.1,0.0,0.7
german,Rashomon,non_HH,RF,n_estimators,0.10115413797801605,0.05783234369881483,10,3.6,0.1,0.5
german,Rashomon,non_HH,kNN,n_neighbors,0.7059222143969586,0.0825685658882499,10,1.0,1.0,1.0
german,Rashomon,non_HH,kNN,p,0.2235651846791244,0.035282688620029486,10,2.0,0.0,1.0
german,Rashomon,non_HH,kNN,weights,0.026185864087136086,0.01756509318637335,10,3.0,0.0,1.0
