dataset,pool_type,subset,family,hp,mean_importance,std_importance,n_seeds,mean_rank,rank_freq_top1,rank_freq_top3
german,Rashomon,all,RF,max_depth,0.15220885001674636,0.07452513553765303,10,2.7,0.3,0.6
german,Rashomon,all,RF,min_samples_leaf,0.14350422598436616,0.07164773774354559,10,2.5,0.3,0.7
german,Rashomon,all,RF,max_features,0.1175173696021707,0.021367073909091965,10,3.1,0.0,0.7
german,Rashomon,all,RF,min_samples_split,0.11729356195319118,0.05244657186027612,10,3.1,0.3,0.5
german,Rashomon,all,RF,n_estimators,0.10141438028948453,0.05836878657410447,10,3.6,0.1,0.5
german,full_pool,all,RF,max_depth,0.17604590857854416,0.06335077340990786,10,1.2,0.8,1.0
german,full_pool,all,RF,max_features,0.10651517538124451,0.05597532893945976,10,2.3,0.2,0.9
german,full_pool,all,RF,min_samples_leaf,0.06813062658221097,0.018105745860583115,10,3.0,0.0,0.6
german,full_pool,all,RF,min_samples_split,0.05574622466432181,0.022253789608559005,10,4.0,0.0,0.3
german,full_pool,all,RF,n_estimators,0.03724223299562336,0.02616285372462108,10,4.5,0.0,0.2
