dataset,pool_type,subset,family,hp,mean_importance,std_importance,n_seeds,mean_rank,rank_freq_top1,rank_freq_top3
adult,Rashomon,HH,GBM,max_depth,0.25743068679258874,0.048196266228107715,10,1.1,0.9,1.0
adult,Rashomon,HH,GBM,learning_rate,0.13815364678463632,0.06833907806212715,10,2.9,0.1,0.6
adult,Rashomon,HH,GBM,subsample,0.12732980779405612,0.026896142832840277,10,2.9,0.0,0.8
adult,Rashomon,HH,GBM,n_estimators,0.11235441035892897,0.027488929445166593,10,3.1,0.0,0.6
adult,Rashomon,HH,LogReg,C,0.9663888705160225,0.02660172688326664,10,1.0,1.0,1.0
adult,Rashomon,HH,LogReg,l1_ratio,0.10205160505613815,0.054172590748559554,10,2.0,0.0,1.0
adult,Rashomon,HH,MLP,learning_rate_init,0.18787695243946242,0.05010177397922717,10,1.8,0.4,1.0
adult,Rashomon,HH,MLP,hidden_layer_sizes,0.16178007162971603,0.02696299526750497,10,2.0,0.4,0.9
adult,Rashomon,HH,MLP,activation,0.14122923255167671,0.032788811749823295,10,2.9,0.1,0.7
adult,Rashomon,HH,MLP,alpha,0.12559481130383518,0.040701545955682567,10,3.3,0.1,0.4
adult,Rashomon,HH,RF,max_features,0.29128968394786914,0.1698930599321198,9,1.7777777777777777,0.3333333333333333,1.0
adult,Rashomon,HH,RF,max_depth,0.2665349397326773,0.10563058813330353,10,1.5,0.6,1.0
adult,Rashomon,HH,RF,n_estimators,0.09222867827322485,0.06939765515149246,10,3.7,0.1,0.5
adult,Rashomon,HH,RF,min_samples_leaf,0.08383734076693641,0.03167359985608459,10,3.7,0.0,0.2
adult,Rashomon,HH,RF,min_samples_split,0.07498113869901217,0.06139953563455247,10,4.0,0.0,0.4
adult,Rashomon,HH,kNN,p,0.4728731992027247,0.04564119917046936,10,1.4,0.6,1.0
adult,Rashomon,HH,kNN,n_neighbors,0.4356057153567662,0.058622190624205914,10,1.6,0.4,1.0
adult,Rashomon,HH,kNN,weights,0.09039833871916124,0.016334926229006577,10,3.0,0.0,1.0
adult,Rashomon,all,GBM,max_depth,0.22528314757592788,0.04323528137114132,10,1.1,0.9,1.0
adult,Rashomon,all,GBM,learning_rate,0.13794416873773296,0.06286339181326973,10,2.9,0.1,0.6
adult,Rashomon,all,GBM,subsample,0.11610427728909496,0.017056391090190432,10,2.9,0.0,0.8
adult,Rashomon,all,GBM,n_estimators,0.11463457991242995,0.024364417468281434,10,3.1,0.0,0.6
adult,Rashomon,all,LogReg,C,0.9672703301157248,0.022546210337018844,10,1.0,1.0,1.0
adult,Rashomon,all,LogReg,l1_ratio,0.1005643614668641,0.05333003319648769,10,2.0,0.0,1.0
adult,Rashomon,all,MLP,hidden_layer_sizes,0.16382926744118603,0.023421413455998456,10,1.8,0.4,1.0
adult,Rashomon,all,MLP,learning_rate_init,0.16346442926178434,0.03744318985731273,10,1.6,0.5,1.0
adult,Rashomon,all,MLP,alpha,0.12329257417341041,0.03263733410846106,10,3.2,0.1,0.5
adult,Rashomon,all,MLP,activation,0.11413086790521847,0.025539399666485715,10,3.4,0.0,0.5
adult,Rashomon,all,RF,max_depth,0.2835259894493939,0.08862223500600379,10,1.4,0.6,1.0
adult,Rashomon,all,RF,max_features,0.22549168062046757,0.15757644478197338,9,2.0,0.3333333333333333,0.8888888888888888
adult,Rashomon,all,RF,min_samples_leaf,0.10417559335698434,0.038273022356702616,10,3.3,0.0,0.5
adult,Rashomon,all,RF,n_estimators,0.0830778998886869,0.05251438457683275,10,3.9,0.1,0.3
adult,Rashomon,all,RF,min_samples_split,0.07705488464639673,0.057418919069422744,10,4.1,0.0,0.4
adult,Rashomon,all,kNN,n_neighbors,0.5404208200651308,0.047687604620436974,10,1.0,1.0,1.0
adult,Rashomon,all,kNN,p,0.27961183579193105,0.02624330700434879,10,2.0,0.0,1.0
adult,Rashomon,all,kNN,weights,0.13207405686860868,0.011095624420163387,10,3.0,0.0,1.0
adult,Rashomon,non_HH,GBM,max_depth,0.20748089858592494,0.041407238784836285,10,1.1,0.9,1.0
adult,Rashomon,non_HH,GBM,learning_rate,0.1379099197124206,0.06022759124833306,10,2.8,0.1,0.6
adult,Rashomon,non_HH,GBM,n_estimators,0.11604355799876087,0.02341615748595895,10,2.9,0.0,0.7
adult,Rashomon,non_HH,GBM,subsample,0.10980350541101709,0.012748797571263648,10,3.2,0.0,0.7
adult,Rashomon,non_HH,LogReg,C,0.9671999679488058,0.021702376870725987,10,1.0,1.0,1.0
adult,Rashomon,non_HH,LogReg,l1_ratio,0.09988645213873618,0.0525989423308233,10,2.0,0.0,1.0
adult,Rashomon,non_HH,MLP,hidden_layer_sizes,0.16504295718852932,0.022484957200613966,10,1.6,0.6,1.0
adult,Rashomon,non_HH,MLP,learning_rate_init,0.14807864416439562,0.030375292460201795,10,1.8,0.3,1.0
adult,Rashomon,non_HH,MLP,alpha,0.12173482101568203,0.027716178167917885,10,2.9,0.1,0.8
adult,Rashomon,non_HH,MLP,activation,0.09686447230414084,0.021463380288550434,10,3.7,0.0,0.2
adult,Rashomon,non_HH,RF,max_depth,0.2955137880617808,0.07847510244904542,10,1.3,0.7,1.0
adult,Rashomon,non_HH,RF,max_features,0.19348388909743658,0.1497136878541011,9,2.3333333333333335,0.3333333333333333,0.8888888888888888
adult,Rashomon,non_HH,RF,min_samples_leaf,0.11815488989013172,0.04559073735181952,10,3.0,0.0,0.7
adult,Rashomon,non_HH,RF,min_samples_split,0.0781773390575314,0.05627598522128906,10,4.2,0.0,0.2
adult,Rashomon,non_HH,RF,n_estimators,0.07622852916627265,0.04094047868798478,10,3.9,0.0,0.3
adult,Rashomon,non_HH,kNN,n_neighbors,0.610496033670431,0.04012027259467039,10,1.0,1.0,1.0
adult,Rashomon,non_HH,kNN,weights,0.1599319338151129,0.017533381620460423,10,2.2,0.0,1.0
adult,Rashomon,non_HH,kNN,p,0.1502741429819578,0.01155381315275728,10,2.8,0.0,1.0
adult,full_pool,HH,GBM,learning_rate,0.5364024002328189,0.06655835472238324,10,1.0,1.0,1.0
adult,full_pool,HH,GBM,n_estimators,0.16459615087604806,0.05707934261729396,10,2.4,0.0,1.0
adult,full_pool,HH,GBM,max_depth,0.13553246166195523,0.06658868176487996,10,2.6,0.0,1.0
adult,full_pool,HH,GBM,subsample,0.039814071966505674,0.02227784630262836,10,4.0,0.0,0.0
adult,full_pool,HH,LogReg,C,0.9778216516705573,0.011654738272119948,10,1.0,1.0,1.0
adult,full_pool,HH,LogReg,l1_ratio,0.05171931113573801,0.02165653920864552,10,2.0,0.0,1.0
adult,full_pool,HH,MLP,learning_rate_init,0.23325084801470403,0.04013466438981844,10,1.0,1.0,1.0
adult,full_pool,HH,MLP,hidden_layer_sizes,0.08427078343828684,0.018385461615466343,10,2.3,0.0,0.9
adult,full_pool,HH,MLP,activation,0.06125198669302081,0.011404767953019038,10,3.3,0.0,0.7
adult,full_pool,HH,MLP,alpha,0.060166086211859336,0.025669214653865943,10,3.4,0.0,0.4
adult,full_pool,HH,RF,max_depth,0.38238344627435594,0.08250826992185083,10,1.0,1.0,1.0
adult,full_pool,HH,RF,max_features,0.10393689718713699,0.06316553736491909,10,2.5,0.0,0.9
adult,full_pool,HH,RF,min_samples_leaf,0.056818156564224356,0.0283417546270837,10,3.4,0.0,0.5
adult,full_pool,HH,RF,min_samples_split,0.04915842320747365,0.026093718821002403,10,3.4,0.0,0.6
adult,full_pool,HH,RF,n_estimators,0.03184967430153719,0.018619813821316066,10,4.7,0.0,0.0
adult,full_pool,HH,kNN,n_neighbors,0.7102315928451598,0.016177103406622352,10,1.0,1.0,1.0
adult,full_pool,HH,kNN,p,0.12017371948846174,0.012420782401340936,10,2.0,0.0,1.0
adult,full_pool,HH,kNN,weights,0.04422223386055772,0.00662916528278498,10,3.0,0.0,1.0
adult,full_pool,all,GBM,learning_rate,0.5092613708357545,0.0664672829545253,10,1.0,1.0,1.0
adult,full_pool,all,GBM,n_estimators,0.16041118025422887,0.05493835094438352,10,2.4,0.0,1.0
adult,full_pool,all,GBM,max_depth,0.1355445953517139,0.06152730650424824,10,2.6,0.0,1.0
adult,full_pool,all,GBM,subsample,0.04059201934360074,0.021577115944839804,10,4.0,0.0,0.0
adult,full_pool,all,LogReg,C,0.9753689607035817,0.012758954442056894,10,1.0,1.0,1.0
adult,full_pool,all,LogReg,l1_ratio,0.052215327273106696,0.021162993042514275,10,2.0,0.0,1.0
adult,full_pool,all,MLP,learning_rate_init,0.22230290386893353,0.03602967932482797,10,1.0,1.0,1.0
adult,full_pool,all,MLP,hidden_layer_sizes,0.08342366565145592,0.01727289155538629,10,2.3,0.0,0.9
adult,full_pool,all,MLP,activation,0.05993144621139673,0.010103071995611734,10,3.3,0.0,0.7
adult,full_pool,all,MLP,alpha,0.05987389876622362,0.024244483106936766,10,3.4,0.0,0.4
adult,full_pool,all,RF,max_depth,0.39746312965356434,0.07161751063203027,10,1.0,1.0,1.0
adult,full_pool,all,RF,max_features,0.09232650024255507,0.058097832248975884,10,2.5,0.0,0.9
adult,full_pool,all,RF,min_samples_leaf,0.060825992601839296,0.025647147379361232,10,3.4,0.0,0.5
adult,full_pool,all,RF,min_samples_split,0.04932386592399687,0.024294348293214144,10,3.5,0.0,0.6
adult,full_pool,all,RF,n_estimators,0.03254324968630852,0.017406650664138348,10,4.6,0.0,0.0
adult,full_pool,all,kNN,n_neighbors,0.7291224619095888,0.007213135539195017,10,1.0,1.0,1.0
adult,full_pool,all,kNN,p,0.08212322574112951,0.006121630460456391,10,2.0,0.0,1.0
adult,full_pool,all,kNN,weights,0.05852266900240723,0.005626952113211166,10,3.0,0.0,1.0
adult,full_pool,non_HH,GBM,learning_rate,0.4636353472993114,0.06701018074603399,10,1.0,1.0,1.0
adult,full_pool,non_HH,GBM,n_estimators,0.15317589094073863,0.05125844962476998,10,2.4,0.0,1.0
adult,full_pool,non_HH,GBM,max_depth,0.1357066226612466,0.05298903578571387,10,2.6,0.0,1.0
adult,full_pool,non_HH,GBM,subsample,0.04189110913751194,0.020434337995561113,10,4.0,0.0,0.0
adult,full_pool,non_HH,LogReg,C,0.9704788990522936,0.01501085122178234,10,1.0,1.0,1.0
adult,full_pool,non_HH,LogReg,l1_ratio,0.05320507203760751,0.020238936641670598,10,2.0,0.0,1.0
adult,full_pool,non_HH,MLP,learning_rate_init,0.20853535649504695,0.03201270412396649,10,1.0,1.0,1.0
adult,full_pool,non_HH,MLP,hidden_layer_sizes,0.08261736622554357,0.01737498774751955,10,2.5,0.0,0.9
adult,full_pool,non_HH,MLP,alpha,0.05956339110514691,0.022686206277388214,10,3.3,0.0,0.5
adult,full_pool,non_HH,MLP,activation,0.05818037201370402,0.009650053861385649,10,3.2,0.0,0.6
adult,full_pool,non_HH,RF,max_depth,0.4237606176854184,0.05452746585687087,10,1.0,1.0,1.0
adult,full_pool,non_HH,RF,max_features,0.07309966867772719,0.048612000187583465,10,3.1,0.0,0.7
adult,full_pool,non_HH,RF,min_samples_leaf,0.06748007270821142,0.02238398452078903,10,2.9,0.0,0.7
adult,full_pool,non_HH,RF,min_samples_split,0.04965152515103151,0.02290111597076543,10,3.5,0.0,0.5
adult,full_pool,non_HH,RF,n_estimators,0.03358175292751382,0.015899847227267824,10,4.5,0.0,0.1
adult,full_pool,non_HH,kNN,n_neighbors,0.7472759496286394,0.00549364809786148,10,1.0,1.0,1.0
adult,full_pool,non_HH,kNN,weights,0.07221546197930481,0.007950277139259283,10,2.0,0.0,1.0
