dataset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,rank_freq_top1,rank_freq_top3
adult,GBM,learning_rate,0.24670918323724544,0.08655876640052142,10,0.0013830996661781075,0.7,1.0
adult,GBM,max_depth,0.11687022500406692,0.09105497931043835,10,0.0013830996661781075,0.1,0.9
adult,GBM,n_estimators,0.1125272951913198,0.09696323614993477,10,0.0013830996661781075,0.2,0.7
adult,GBM,subsample,0.04368257931022244,0.048021400505563513,10,0.0013830996661781075,0.0,0.4
adult,LogReg,C,0.921325687378056,0.06989507821701872,10,5.6473741242153336e-05,1.0,1.0
adult,LogReg,l1_ratio,0.11194120862276111,0.059018583139592795,10,5.6473741242153336e-05,0.0,1.0
adult,MLP,learning_rate_init,0.5129375452398811,0.1795730107624258,10,0.0015489658167271467,0.8,1.0
adult,MLP,hidden_layer_sizes,0.15880062483867077,0.1162645597047598,10,0.0015489658167271467,0.2,0.7
adult,MLP,alpha,0.1380601178930192,0.14231817727173512,10,0.0015489658167271467,0.0,0.6
adult,MLP,activation,0.11249104003768096,0.06845615972352401,10,0.0015489658167271467,0.0,0.7
adult,RF,max_features,0.6685160626425595,0.11078861744878951,9,0.0022025393356233094,1.0,1.0
adult,RF,max_depth,0.11287611544241416,0.09319582322682601,10,0.00244927230723135,0.0,0.6
adult,RF,min_samples_leaf,0.10651105341578351,0.05251623292914402,10,0.0025249638954843567,0.1,0.5
adult,RF,n_estimators,0.09449319588757436,0.07588465610824206,10,0.0025249638954843567,0.0,0.7
adult,RF,min_samples_split,0.08588901820542535,0.0712801286458281,10,0.0025249638954843567,0.0,0.3
adult,kNN,n_neighbors,0.8682881030046878,0.03979584062482689,10,0.001627530227563282,1.0,1.0
adult,kNN,weights,0.11336695248417201,0.04195923499572263,10,0.001627530227563282,0.0,1.0
adult,kNN,p,0.020820033475775584,0.018616427568199426,10,0.001627530227563282,0.0,1.0
