dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,Rashomon,all,GBM,learning_rate,0.2442111030971446,0.08785338119413162,10,0.0013761245910794443,1.3,0.7,1.0,numeric_exact,3.3,4.2
adult,Rashomon,all,GBM,max_depth,0.1166964902110067,0.0911429662137448,10,0.001383802612220297,2.5,0.1,0.9,numeric_exact,3.9,3.6
adult,Rashomon,all,GBM,n_estimators,0.1125272951913198,0.09696323614993477,10,0.0013830996661781075,2.7,0.2,0.7,numeric_exact,3.0,5.4
adult,Rashomon,all,GBM,subsample,0.04368257931022244,0.048021400505563513,10,0.0013830996661781075,3.5,0.0,0.4,numeric_exact,3.0,5.9
adult,Rashomon,all,LogReg,C,0.34357895205497463,0.17374296521038524,10,5.6473741242153336e-05,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,all,LogReg,l1_ratio,0.062408935156122024,0.055824936793082196,10,5.6473741242153336e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,all,MLP,learning_rate_init,0.5129375452398811,0.1795730107624258,10,0.0015489658167271467,1.2,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,all,MLP,hidden_layer_sizes,0.1587439623143393,0.11632670158795563,10,0.0015493237182419256,2.6,0.2,0.7,categorical_exact,4.9,3.3
adult,Rashomon,all,MLP,alpha,0.1380601178930192,0.14231817727173512,10,0.0015489658167271467,3.1,0.0,0.6,numeric_exact,4.0,4.5
adult,Rashomon,all,MLP,activation,0.11249104003768096,0.06845615972352401,10,0.0015489658167271467,3.1,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,all,RF,max_features,0.5404602982054647,0.16192815047941117,10,0.0025249638954843567,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,all,RF,max_depth,0.11287611544241416,0.09319582322682601,10,0.00244927230723135,3.4,0.0,0.5,numeric_exact,3.0,3.1
