dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,Rashomon,all,RF,max_features,0.5404602982054647,0.16192815047941117,10,0.0025249638954843567,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,all,RF,max_depth,0.11287611544241416,0.09319582322682601,10,0.00244927230723135,3.4,0.0,0.5,numeric_exact,3.0,3.1
adult,Rashomon,all,RF,min_samples_leaf,0.10651105341578351,0.05251623292914402,10,0.0025249638954843567,3.3,0.0,0.5,numeric_exact,3.0,5.1
adult,Rashomon,all,RF,n_estimators,0.09449319588757436,0.07588465610824206,10,0.0025249638954843567,3.2,0.0,0.7,numeric_exact,3.0,6.0
adult,Rashomon,all,RF,min_samples_split,0.08588901820542535,0.0712801286458281,10,0.0025249638954843567,4.1,0.0,0.3,numeric_exact,3.0,5.3
adult,full_pool,all,RF,max_depth,0.478888872215853,0.10401751166192039,10,0.005171784157461709,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,all,RF,max_features,0.1537515528248519,0.062485678345099736,10,0.00516709471749078,2.3,0.0,1.0,categorical_exact,3.0,13.0
adult,full_pool,all,RF,min_samples_leaf,0.06884437496640947,0.0565054819102998,10,0.00516709471749078,3.2,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,all,RF,min_samples_split,0.04718339151415725,0.044539079140332255,10,0.00516709471749078,3.9,0.0,0.3,numeric_exact,3.0,14.1
adult,full_pool,all,RF,n_estimators,0.02323240198546986,0.013977720998668706,10,0.00516709471749078,4.6,0.0,0.1,numeric_exact,3.0,13.7
