dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
compas,Rashomon,all,RF,max_depth,0.3028536949477415,0.23665477960462167,10,0.0032728536890428567,2.1,0.6,0.8,numeric_exact,3.3,3.8
compas,Rashomon,all,RF,max_features,0.14735921694524157,0.13813766511464765,10,0.0032385363885786686,2.9,0.3,0.7,categorical_exact,3.0,5.4
compas,Rashomon,all,RF,min_samples_leaf,0.11297918574321283,0.10704735187331241,10,0.0032385363885786686,3.0,0.0,0.7,numeric_exact,3.0,5.4
compas,Rashomon,all,RF,min_samples_split,0.10751794708636,0.1006678027709625,10,0.0032385363885786686,3.1,0.1,0.5,numeric_exact,3.0,6.3
compas,Rashomon,all,RF,n_estimators,0.0428676562311092,0.04399818352527694,10,0.0032385363885786686,3.9,0.0,0.3,numeric_exact,3.0,6.7
compas,full_pool,all,RF,max_depth,0.4205956801766333,0.10119672405408264,10,0.006390285386916203,1.1,0.9,1.0,numeric_exact,4.0,7.7
compas,full_pool,all,RF,min_samples_leaf,0.21088709457065868,0.13118044131180626,10,0.006490528441736381,2.4,0.1,0.9,numeric_exact,3.0,12.9
compas,full_pool,all,RF,min_samples_split,0.11916570658789405,0.05940859965049089,10,0.006490528441736381,2.8,0.0,0.8,numeric_exact,3.0,14.1
compas,full_pool,all,RF,max_features,0.037024576528808174,0.045403808002929216,10,0.006490528441736381,4.3,0.0,0.1,categorical_exact,3.0,13.0
compas,full_pool,all,RF,n_estimators,0.03699360596498539,0.027903772197882832,10,0.006490528441736381,4.4,0.0,0.2,numeric_exact,3.0,13.7
