hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
n_estimators,0.22148386387051613,3,25,0.0014609066872039932,numeric_exact,3,6,adult,0,GBM,Rashomon,all,25
learning_rate,0.18000268064398475,3,25,0.0014609066872039932,numeric_exact,3,3,adult,0,GBM,Rashomon,all,25
max_depth,0.06962896022181445,4,25,0.0014609066872039932,numeric_exact,4,2,adult,0,GBM,Rashomon,all,25
subsample,0.05670500899415925,3,25,0.0014609066872039932,numeric_exact,3,5,adult,0,GBM,Rashomon,all,25
C,0.1885344816062875,3,25,9.017711908000162e-05,numeric_tertile,3,5,adult,0,LogReg,Rashomon,all,25
l1_ratio,0.06889936507764739,3,25,9.017711908000162e-05,numeric_tertile,3,3,adult,0,LogReg,Rashomon,all,25
learning_rate_init,0.4651881813063604,3,25,0.0016128539276305926,numeric_exact,3,3,adult,0,MLP,Rashomon,all,25
hidden_layer_sizes,0.10060456407922164,5,25,0.0016128539276305926,categorical_exact,5,4,adult,0,MLP,Rashomon,all,25
alpha,0.09325461733907679,4,25,0.0016128539276305926,numeric_exact,4,4,adult,0,MLP,Rashomon,all,25
activation,0.07563131265143397,2,25,0.0016128539276305926,categorical_exact,2,12,adult,0,MLP,Rashomon,all,25
max_features,0.7781333730429192,3,25,0.0021169358454686386,categorical_exact,3,6,adult,0,RF,Rashomon,all,25
max_depth,0.18094286331116427,3,20,0.0019113176791349887,numeric_exact,3,3,adult,0,RF,Rashomon,all,25
n_estimators,0.08760310518395432,3,25,0.0021169358454686386,numeric_exact,3,8,adult,0,RF,Rashomon,all,25
min_samples_split,0.08144853392460523,3,25,0.0021169358454686386,numeric_exact,3,8,adult,0,RF,Rashomon,all,25
min_samples_leaf,0.003941948939568532,3,25,0.0021169358454686386,numeric_exact,3,7,adult,0,RF,Rashomon,all,25
n_neighbors,0.6086248186289279,3,25,0.0015757081273849252,numeric_tertile,3,6,adult,0,kNN,Rashomon,all,25
weights,0.20104048097998853,2,25,0.0015757081273849252,categorical_exact,2,11,adult,0,kNN,Rashomon,all,25
p,0.019404276836087916,2,25,0.0015757081273849252,numeric_exact,2,11,adult,0,kNN,Rashomon,all,25
learning_rate,0.24859760211690776,3,24,0.00128886759707214,numeric_exact,3,5,adult,1,GBM,Rashomon,all,25
max_depth,0.24522357657714947,4,25,0.0013062345471514846,numeric_exact,4,4,adult,1,GBM,Rashomon,all,25
n_estimators,0.07760104013888741,3,25,0.0013062345471514846,numeric_exact,3,5,adult,1,GBM,Rashomon,all,25
subsample,0.00867009238147976,3,25,0.0013062345471514846,numeric_exact,3,7,adult,1,GBM,Rashomon,all,25
C,0.17500315837302258,3,25,3.850872216819483e-05,numeric_tertile,3,7,adult,1,LogReg,Rashomon,all,25
l1_ratio,0.035649028484791706,3,25,3.850872216819483e-05,numeric_tertile,3,5,adult,1,LogReg,Rashomon,all,25
learning_rate_init,0.5047301399495244,3,25,0.0018045706604806094,numeric_exact,3,4,adult,1,MLP,Rashomon,all,25
alpha,0.09945350394172366,4,25,0.0018045706604806094,numeric_exact,4,5,adult,1,MLP,Rashomon,all,25
hidden_layer_sizes,0.09768011333279542,5,25,0.0018045706604806094,categorical_exact,5,3,adult,1,MLP,Rashomon,all,25
activation,0.007279958360276418,2,25,0.0018045706604806094,categorical_exact,2,9,adult,1,MLP,Rashomon,all,25
max_features,0.551116853914643,3,25,0.0025594585253504126,categorical_exact,3,5,adult,1,RF,Rashomon,all,25
n_estimators,0.26867352090001795,3,25,0.0025594585253504126,numeric_exact,3,6,adult,1,RF,Rashomon,all,25
max_depth,0.11185317747174849,3,19,0.002451515412210861,numeric_exact,3,2,adult,1,RF,Rashomon,all,25
min_samples_split,0.09567007885293276,3,25,0.0025594585253504126,numeric_exact,3,4,adult,1,RF,Rashomon,all,25
min_samples_leaf,0.08955442999012057,3,25,0.0025594585253504126,numeric_exact,3,5,adult,1,RF,Rashomon,all,25
n_neighbors,0.5240993534117142,3,25,0.0016846195998127254,numeric_tertile,3,6,adult,1,kNN,Rashomon,all,25
weights,0.11434821002583896,2,25,0.0016846195998127254,categorical_exact,2,12,adult,1,kNN,Rashomon,all,25
p,0.00019500793308241485,2,25,0.0016846195998127254,numeric_exact,2,8,adult,1,kNN,Rashomon,all,25
n_estimators,0.22043921289799187,3,25,0.00147443790209014,numeric_exact,3,7,adult,2,GBM,Rashomon,all,25
learning_rate,0.17938487623070082,4,25,0.00147443790209014,numeric_exact,4,2,adult,2,GBM,Rashomon,all,25
max_depth,0.025265640380658632,4,25,0.00147443790209014,numeric_exact,4,2,adult,2,GBM,Rashomon,all,25
subsample,0.01054355274580457,3,25,0.00147443790209014,numeric_exact,3,5,adult,2,GBM,Rashomon,all,25
C,0.47289894222392775,3,25,7.419709675643183e-05,numeric_tertile,3,6,adult,2,LogReg,Rashomon,all,25
l1_ratio,0.05649141466951148,3,25,7.419709675643183e-05,numeric_tertile,3,4,adult,2,LogReg,Rashomon,all,25
learning_rate_init,0.6936771215378034,3,25,0.0013708718264611364,numeric_exact,3,7,adult,2,MLP,Rashomon,all,25
hidden_layer_sizes,0.1849813379446815,5,25,0.0013708718264611364,categorical_exact,5,3,adult,2,MLP,Rashomon,all,25
activation,0.13547455356794086,2,25,0.0013708718264611364,categorical_exact,2,10,adult,2,MLP,Rashomon,all,25
alpha,0.11370623506490941,4,25,0.0013708718264611364,numeric_exact,4,2,adult,2,MLP,Rashomon,all,25
max_features,0.3943252593806798,3,25,0.002687442160174873,categorical_exact,3,3,adult,2,RF,Rashomon,all,25
min_samples_leaf,0.17999396695117603,3,25,0.002687442160174873,numeric_exact,3,7,adult,2,RF,Rashomon,all,25
n_estimators,0.03309270217780176,3,25,0.002687442160174873,numeric_exact,3,5,adult,2,RF,Rashomon,all,25
min_samples_split,0.012967290865299864,3,25,0.002687442160174873,numeric_exact,3,6,adult,2,RF,Rashomon,all,25
max_depth,0.00837712675340655,3,16,0.00242387611058914,numeric_exact,3,4,adult,2,RF,Rashomon,all,25
n_neighbors,0.7061153823096257,3,25,0.001785159007688738,numeric_tertile,3,5,adult,2,kNN,Rashomon,all,25
weights,0.046363490472042974,2,25,0.001785159007688738,categorical_exact,2,11,adult,2,kNN,Rashomon,all,25
p,0.03981475101998358,2,25,0.001785159007688738,numeric_exact,2,10,adult,2,kNN,Rashomon,all,25
learning_rate,0.23246076390263096,3,24,0.0015740519519390078,numeric_exact,3,7,adult,3,GBM,Rashomon,all,25
max_depth,0.09079792139846864,4,25,0.0015871351217670961,numeric_exact,4,4,adult,3,GBM,Rashomon,all,25
subsample,0.04443545610378322,3,25,0.0015871351217670961,numeric_exact,3,6,adult,3,GBM,Rashomon,all,25
n_estimators,0.03382954981290283,3,25,0.0015871351217670961,numeric_exact,3,4,adult,3,GBM,Rashomon,all,25
C,0.7015156659335373,3,25,1.1611382608552196e-05,numeric_tertile,3,4,adult,3,LogReg,Rashomon,all,25
l1_ratio,0.10403002424264075,3,25,1.1611382608552196e-05,numeric_tertile,3,5,adult,3,LogReg,Rashomon,all,25
learning_rate_init,0.5576377856504781,3,25,0.0014840243328268319,numeric_exact,3,6,adult,3,MLP,Rashomon,all,25
alpha,0.17690042462394504,4,25,0.0014840243328268319,numeric_exact,4,5,adult,3,MLP,Rashomon,all,25
activation,0.1603784499887996,2,25,0.0014840243328268319,categorical_exact,2,11,adult,3,MLP,Rashomon,all,25
hidden_layer_sizes,0.13361442129412973,5,25,0.0014840243328268319,categorical_exact,5,2,adult,3,MLP,Rashomon,all,25
max_features,0.5737051560925144,3,25,0.0031327855807862996,categorical_exact,3,6,adult,3,RF,Rashomon,all,25
min_samples_leaf,0.15036775766962127,3,25,0.0031327855807862996,numeric_exact,3,6,adult,3,RF,Rashomon,all,25
n_estimators,0.08756813893934288,3,25,0.0031327855807862996,numeric_exact,3,4,adult,3,RF,Rashomon,all,25
max_depth,0.0831193468927496,3,16,0.003352055494756829,numeric_exact,3,2,adult,3,RF,Rashomon,all,25
min_samples_split,0.038070507690379375,3,25,0.0031327855807862996,numeric_exact,3,8,adult,3,RF,Rashomon,all,25
n_neighbors,0.6083236055081254,3,25,0.0014905148749561955,numeric_tertile,3,4,adult,3,kNN,Rashomon,all,25
weights,0.11457625696031659,2,25,0.0014905148749561955,categorical_exact,2,11,adult,3,kNN,Rashomon,all,25
p,0.00010703705154723366,2,25,0.0014905148749561955,numeric_exact,2,10,adult,3,kNN,Rashomon,all,25
learning_rate,0.40986320948229343,4,25,0.0014332442868130338,numeric_exact,4,2,adult,4,GBM,Rashomon,all,25
subsample,0.16390048918320635,3,25,0.0014332442868130338,numeric_exact,3,6,adult,4,GBM,Rashomon,all,25
max_depth,0.11285130917650373,4,25,0.0014332442868130338,numeric_exact,4,4,adult,4,GBM,Rashomon,all,25
n_estimators,0.014550438418276562,3,25,0.0014332442868130338,numeric_exact,3,6,adult,4,GBM,Rashomon,all,25
C,0.48375895311069267,3,25,5.572606285704384e-05,numeric_tertile,3,6,adult,4,LogReg,Rashomon,all,25
l1_ratio,0.010304277542241497,3,25,5.572606285704384e-05,numeric_tertile,3,4,adult,4,LogReg,Rashomon,all,25
learning_rate_init,0.6699295958745408,3,25,0.0016598402728122503,numeric_exact,3,5,adult,4,MLP,Rashomon,all,25
alpha,0.521883077811593,4,25,0.0016598402728122503,numeric_exact,4,5,adult,4,MLP,Rashomon,all,25
activation,0.1833933772247649,2,25,0.0016598402728122503,categorical_exact,2,8,adult,4,MLP,Rashomon,all,25
hidden_layer_sizes,0.017686373939481526,5,25,0.0016598402728122503,categorical_exact,5,2,adult,4,MLP,Rashomon,all,25
max_features,0.5356891448326887,3,25,0.0025689218184480308,categorical_exact,3,3,adult,4,RF,Rashomon,all,25
min_samples_leaf,0.09013318002666715,3,25,0.0025689218184480308,numeric_exact,3,5,adult,4,RF,Rashomon,all,25
min_samples_split,0.07219086330986417,3,25,0.0025689218184480308,numeric_exact,3,4,adult,4,RF,Rashomon,all,25
n_estimators,0.04597281675696072,3,25,0.0025689218184480308,numeric_exact,3,7,adult,4,RF,Rashomon,all,25
max_depth,0.004847200620474945,3,18,0.0024389472957048975,numeric_exact,3,4,adult,4,RF,Rashomon,all,25
n_neighbors,0.557901186813677,3,25,0.0016379565853303702,numeric_tertile,3,5,adult,4,kNN,Rashomon,all,25
weights,0.12166669062947201,2,25,0.0016379565853303702,categorical_exact,2,12,adult,4,kNN,Rashomon,all,25
p,0.03335008675371646,2,25,0.0016379565853303702,numeric_exact,2,9,adult,4,kNN,Rashomon,all,25
learning_rate,0.2819246626780528,3,25,0.0014539079759795892,numeric_exact,3,3,adult,5,GBM,Rashomon,all,25
max_depth,0.13801240852273225,4,25,0.0014539079759795892,numeric_exact,4,2,adult,5,GBM,Rashomon,all,25
n_estimators,0.050181555459465,3,25,0.0014539079759795892,numeric_exact,3,6,adult,5,GBM,Rashomon,all,25
subsample,0.01658894941636204,3,25,0.0014539079759795892,numeric_exact,3,5,adult,5,GBM,Rashomon,all,25
