hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
max_depth,0.11791799088792751,4,25,0.0010328786577309503,numeric_exact,4,4,compas,0,GBM,Rashomon,all,25
n_estimators,0.10796378388297802,3,25,0.0010328786577309503,numeric_exact,3,5,compas,0,GBM,Rashomon,all,25
subsample,0.07994733926108116,3,25,0.0010328786577309503,numeric_exact,3,7,compas,0,GBM,Rashomon,all,25
learning_rate,0.04776313577495299,4,25,0.0010328786577309503,numeric_exact,4,3,compas,0,GBM,Rashomon,all,25
C,0.6037501202038291,3,25,5.554818627364627e-06,numeric_tertile,3,4,compas,0,LogReg,Rashomon,all,25
l1_ratio,0.016201585407034844,3,25,5.554818627364627e-06,numeric_tertile,3,3,compas,0,LogReg,Rashomon,all,25
hidden_layer_sizes,0.33419328573868645,5,25,0.0010663488137053157,categorical_exact,5,3,compas,0,MLP,Rashomon,all,25
learning_rate_init,0.3056920238505527,3,25,0.0010663488137053157,numeric_exact,3,3,compas,0,MLP,Rashomon,all,25
alpha,0.21664510807443538,4,25,0.0010663488137053157,numeric_exact,4,4,compas,0,MLP,Rashomon,all,25
activation,2.900580755580714e-06,2,25,0.0010663488137053157,categorical_exact,2,11,compas,0,MLP,Rashomon,all,25
max_depth,0.4041084799289725,4,24,0.0030367102066441386,numeric_exact,4,2,compas,0,RF,Rashomon,all,25
min_samples_leaf,0.2346670336296504,3,25,0.0030532505727719995,numeric_exact,3,5,compas,0,RF,Rashomon,all,25
n_estimators,0.09673904286438335,3,25,0.0030532505727719995,numeric_exact,3,7,compas,0,RF,Rashomon,all,25
min_samples_split,0.07208840902809663,3,25,0.0030532505727719995,numeric_exact,3,7,compas,0,RF,Rashomon,all,25
max_features,0.06180531938384309,3,25,0.0030532505727719995,categorical_exact,3,5,compas,0,RF,Rashomon,all,25
n_neighbors,0.23355987662638278,3,25,0.011417982531304143,numeric_tertile,3,8,compas,0,kNN,Rashomon,all,25
p,0.013739825968506716,2,25,0.011417982531304143,numeric_exact,2,12,compas,0,kNN,Rashomon,all,25
max_depth,0.2030833618705631,3,25,0.0009806558421971501,numeric_exact,3,6,compas,1,GBM,Rashomon,all,25
n_estimators,0.1454000044878641,3,25,0.0009806558421971501,numeric_exact,3,6,compas,1,GBM,Rashomon,all,25
learning_rate,0.02307875107915896,4,25,0.0009806558421971501,numeric_exact,4,3,compas,1,GBM,Rashomon,all,25
subsample,0.015414060473434982,3,25,0.0009806558421971501,numeric_exact,3,5,compas,1,GBM,Rashomon,all,25
C,0.6714866941120688,3,25,6.152639454437542e-07,numeric_tertile,3,2,compas,1,LogReg,Rashomon,all,25
l1_ratio,0.035317238848018115,3,25,6.152639454437542e-07,numeric_tertile,3,6,compas,1,LogReg,Rashomon,all,25
learning_rate_init,0.20846996544769772,3,25,0.0011249165332914781,numeric_exact,3,5,compas,1,MLP,Rashomon,all,25
hidden_layer_sizes,0.18708170831688453,5,25,0.0011249165332914781,categorical_exact,5,2,compas,1,MLP,Rashomon,all,25
activation,0.035962135385973724,2,25,0.0011249165332914781,categorical_exact,2,12,compas,1,MLP,Rashomon,all,25
alpha,0.03577140326425823,4,25,0.0011249165332914781,numeric_exact,4,4,compas,1,MLP,Rashomon,all,25
max_features,0.2591231362570889,3,25,0.0031306548972121926,categorical_exact,3,7,compas,1,RF,Rashomon,all,25
max_depth,0.1397484454332645,4,25,0.0031306548972121926,numeric_exact,4,2,compas,1,RF,Rashomon,all,25
min_samples_leaf,0.01975379773137718,3,25,0.0031306548972121926,numeric_exact,3,5,compas,1,RF,Rashomon,all,25
n_estimators,0.017716840091924833,3,25,0.0031306548972121926,numeric_exact,3,7,compas,1,RF,Rashomon,all,25
min_samples_split,0.017514202359432067,3,25,0.0031306548972121926,numeric_exact,3,6,compas,1,RF,Rashomon,all,25
n_neighbors,0.19816747218549913,3,25,0.010175105983992247,numeric_tertile,3,6,compas,1,kNN,Rashomon,all,25
p,0.040890229135079975,2,25,0.010175105983992247,numeric_exact,2,12,compas,1,kNN,Rashomon,all,25
n_estimators,0.21200320677944018,3,25,0.0010818740777511291,numeric_exact,3,5,compas,2,GBM,Rashomon,all,25
learning_rate,0.15933832266962447,4,25,0.0010818740777511291,numeric_exact,4,3,compas,2,GBM,Rashomon,all,25
max_depth,0.00903477393917901,4,25,0.0010818740777511291,numeric_exact,4,4,compas,2,GBM,Rashomon,all,25
subsample,0.00858347028037755,3,25,0.0010818740777511291,numeric_exact,3,5,compas,2,GBM,Rashomon,all,25
C,0.5606242864590735,3,25,5.697178628012968e-06,numeric_tertile,3,3,compas,2,LogReg,Rashomon,all,25
l1_ratio,0.03046672907734036,3,25,5.697178628012968e-06,numeric_tertile,3,4,compas,2,LogReg,Rashomon,all,25
alpha,0.3989202667505039,4,25,0.0014254935818501188,numeric_exact,4,5,compas,2,MLP,Rashomon,all,25
hidden_layer_sizes,0.2214210476470308,5,25,0.0014254935818501188,categorical_exact,5,3,compas,2,MLP,Rashomon,all,25
activation,0.09345908059272232,2,25,0.0014254935818501188,categorical_exact,2,8,compas,2,MLP,Rashomon,all,25
learning_rate_init,0.07469373372762568,3,25,0.0014254935818501188,numeric_exact,3,3,compas,2,MLP,Rashomon,all,25
max_features,0.015277977058723113,3,25,0.003198422611505389,categorical_exact,3,6,compas,2,RF,Rashomon,all,25
min_samples_leaf,0.014070726430838258,3,25,0.003198422611505389,numeric_exact,3,8,compas,2,RF,Rashomon,all,25
n_estimators,0.013581274943660503,3,25,0.003198422611505389,numeric_exact,3,7,compas,2,RF,Rashomon,all,25
min_samples_split,0.006746454960821496,3,25,0.003198422611505389,numeric_exact,3,7,compas,2,RF,Rashomon,all,25
max_depth,0.0002075677568314722,2,24,0.003186561318647467,numeric_exact,2,11,compas,2,RF,Rashomon,all,25
n_neighbors,0.429125878442255,3,25,0.010158020169326836,numeric_tertile,3,7,compas,2,kNN,Rashomon,all,25
p,0.0005069114239783336,2,25,0.010158020169326836,numeric_exact,2,12,compas,2,kNN,Rashomon,all,25
learning_rate,0.2330908332792641,4,25,0.0012906510664531085,numeric_exact,4,3,compas,3,GBM,Rashomon,all,25
max_depth,0.17504012696168086,3,24,0.0012701500461057722,numeric_exact,3,3,compas,3,GBM,Rashomon,all,25
subsample,0.026925869069488323,3,25,0.0012906510664531085,numeric_exact,3,6,compas,3,GBM,Rashomon,all,25
n_estimators,0.0005903096484863557,3,25,0.0012906510664531085,numeric_exact,3,6,compas,3,GBM,Rashomon,all,25
C,0.22303000476893856,2,25,1.1063185093419218e-07,numeric_tertile,2,9,compas,3,LogReg,Rashomon,all,25
l1_ratio,0.049869307412296046,3,25,1.1063185093419218e-07,numeric_tertile,3,5,compas,3,LogReg,Rashomon,all,25
learning_rate_init,0.22511437834562184,3,25,0.0011452230709241553,numeric_exact,3,2,compas,3,MLP,Rashomon,all,25
hidden_layer_sizes,0.20658621365696767,5,25,0.0011452230709241553,categorical_exact,5,3,compas,3,MLP,Rashomon,all,25
alpha,0.1508442450634521,4,25,0.0011452230709241553,numeric_exact,4,4,compas,3,MLP,Rashomon,all,25
activation,0.00719159373603648,2,25,0.0011452230709241553,categorical_exact,2,11,compas,3,MLP,Rashomon,all,25
min_samples_split,0.1338363404555874,3,25,0.003033081520152482,numeric_exact,3,8,compas,3,RF,Rashomon,all,25
n_estimators,0.12897817386294697,3,25,0.003033081520152482,numeric_exact,3,8,compas,3,RF,Rashomon,all,25
max_features,0.10482104845211056,3,25,0.003033081520152482,categorical_exact,3,3,compas,3,RF,Rashomon,all,25
min_samples_leaf,0.07680806286233886,3,25,0.003033081520152482,numeric_exact,3,3,compas,3,RF,Rashomon,all,25
max_depth,8.418261560679593e-05,2,22,0.0028122528893850364,numeric_exact,2,8,compas,3,RF,Rashomon,all,25
weights,0.8638463456193566,2,25,0.01176769288587695,categorical_exact,2,3,compas,3,kNN,Rashomon,all,25
n_neighbors,0.1455221105662455,3,25,0.01176769288587695,numeric_tertile,3,5,compas,3,kNN,Rashomon,all,25
p,0.10586669966495109,2,25,0.01176769288587695,numeric_exact,2,10,compas,3,kNN,Rashomon,all,25
learning_rate,0.24296987847804188,3,24,0.0016754959944511388,numeric_exact,3,6,compas,4,GBM,Rashomon,all,25
max_depth,0.1314159258859614,4,25,0.0016692519758697072,numeric_exact,4,3,compas,4,GBM,Rashomon,all,25
subsample,0.09595051672768158,3,25,0.0016692519758697072,numeric_exact,3,5,compas,4,GBM,Rashomon,all,25
n_estimators,0.06372474358550155,3,25,0.0016692519758697072,numeric_exact,3,5,compas,4,GBM,Rashomon,all,25
C,0.19938066516524394,3,25,0.00014083844048599944,numeric_tertile,3,7,compas,4,LogReg,Rashomon,all,25
l1_ratio,0.011014873758702585,3,25,0.00014083844048599944,numeric_tertile,3,4,compas,4,LogReg,Rashomon,all,25
alpha,0.1533656703874156,4,25,0.001165808258590412,numeric_exact,4,3,compas,4,MLP,Rashomon,all,25
hidden_layer_sizes,0.15198891148514565,5,25,0.001165808258590412,categorical_exact,5,3,compas,4,MLP,Rashomon,all,25
learning_rate_init,0.142144212711098,3,25,0.001165808258590412,numeric_exact,3,3,compas,4,MLP,Rashomon,all,25
activation,0.04532514722541901,2,25,0.001165808258590412,categorical_exact,2,8,compas,4,MLP,Rashomon,all,25
max_features,0.46484210295596295,3,25,0.003589644323416399,categorical_exact,3,6,compas,4,RF,Rashomon,all,25
min_samples_leaf,0.20230701052629965,3,25,0.003589644323416399,numeric_exact,3,5,compas,4,RF,Rashomon,all,25
max_depth,0.13171263965081587,3,23,0.0036340515279992915,numeric_exact,3,4,compas,4,RF,Rashomon,all,25
min_samples_split,0.09859424311607592,3,25,0.003589644323416399,numeric_exact,3,5,compas,4,RF,Rashomon,all,25
n_estimators,0.0023141217020914975,3,25,0.003589644323416399,numeric_exact,3,7,compas,4,RF,Rashomon,all,25
weights,0.8661420489129366,2,25,0.012508525215541699,categorical_exact,2,3,compas,4,kNN,Rashomon,all,25
n_neighbors,0.20251835027217943,3,25,0.012508525215541699,numeric_tertile,3,6,compas,4,kNN,Rashomon,all,25
p,0.008899035422255232,2,25,0.012508525215541699,numeric_exact,2,12,compas,4,kNN,Rashomon,all,25
learning_rate,0.3569729474180014,3,24,0.0014127432511906286,numeric_exact,3,6,compas,5,GBM,Rashomon,all,25
n_estimators,0.15901408731221203,3,25,0.0014116889392764705,numeric_exact,3,6,compas,5,GBM,Rashomon,all,25
max_depth,0.11694907285711105,4,25,0.0014116889392764705,numeric_exact,4,4,compas,5,GBM,Rashomon,all,25
subsample,0.0010913327889227737,3,25,0.0014116889392764705,numeric_exact,3,5,compas,5,GBM,Rashomon,all,25
C,0.1904638427421856,2,25,0.00040208268907684745,numeric_tertile,2,12,compas,5,LogReg,Rashomon,all,25
l1_ratio,0.045915981328573455,3,25,0.00040208268907684745,numeric_tertile,3,5,compas,5,LogReg,Rashomon,all,25
learning_rate_init,0.19027685724768592,3,25,0.00128990807266196,numeric_exact,3,2,compas,5,MLP,Rashomon,all,25
hidden_layer_sizes,0.08836766450449317,5,25,0.00128990807266196,categorical_exact,5,3,compas,5,MLP,Rashomon,all,25
activation,0.04362023412001879,2,25,0.00128990807266196,categorical_exact,2,7,compas,5,MLP,Rashomon,all,25
alpha,0.032801871573272884,4,25,0.00128990807266196,numeric_exact,4,5,compas,5,MLP,Rashomon,all,25
max_depth,0.3019704121039524,3,22,0.003286080675593065,numeric_exact,3,2,compas,5,RF,Rashomon,all,25
min_samples_split,0.06881913502469633,3,25,0.0031713477938509014,numeric_exact,3,6,compas,5,RF,Rashomon,all,25
min_samples_leaf,0.020681773034319246,3,25,0.0031713477938509014,numeric_exact,3,7,compas,5,RF,Rashomon,all,25
n_estimators,0.017000926024327286,3,25,0.0031713477938509014,numeric_exact,3,5,compas,5,RF,Rashomon,all,25
max_features,0.008657952373218761,3,25,0.0031713477938509014,categorical_exact,3,4,compas,5,RF,Rashomon,all,25
n_neighbors,0.4878124312058365,3,25,0.008175288136278613,numeric_tertile,3,7,compas,5,kNN,Rashomon,all,25
p,0.02682024196738179,2,25,0.008175288136278613,numeric_exact,2,12,compas,5,kNN,Rashomon,all,25
max_depth,0.1687973600832203,4,25,0.0012304530600731145,numeric_exact,4,4,compas,6,GBM,Rashomon,all,25
n_estimators,0.12158520823417406,3,25,0.0012304530600731145,numeric_exact,3,6,compas,6,GBM,Rashomon,all,25
learning_rate,0.08677470698031643,3,24,0.0012365710988409653,numeric_exact,3,5,compas,6,GBM,Rashomon,all,25
subsample,0.025154921901295476,3,25,0.0012304530600731145,numeric_exact,3,6,compas,6,GBM,Rashomon,all,25
