hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
learning_rate,0.3035804316638696,3,24,0.007928455180719158,numeric_exact,3,7,german,0,GBM,Rashomon,all,25
n_estimators,0.0964501079343602,3,25,0.008162053260984377,numeric_exact,3,3,german,0,GBM,Rashomon,all,25
subsample,0.08052740041545504,3,25,0.008162053260984377,numeric_exact,3,7,german,0,GBM,Rashomon,all,25
max_depth,0.05254275612508509,4,25,0.008162053260984377,numeric_exact,4,6,german,0,GBM,Rashomon,all,25
C,0.22093185816484606,3,25,0.003336879430949244,numeric_tertile,3,5,german,0,LogReg,Rashomon,all,25
l1_ratio,0.008126000324252569,3,25,0.003336879430949244,numeric_tertile,3,3,german,0,LogReg,Rashomon,all,25
learning_rate_init,0.3963493911841622,3,25,0.009703370044446416,numeric_exact,3,3,german,0,MLP,Rashomon,all,25
activation,0.15118332624893097,2,25,0.009703370044446416,categorical_exact,2,10,german,0,MLP,Rashomon,all,25
hidden_layer_sizes,0.07262279917998743,5,25,0.009703370044446416,categorical_exact,5,4,german,0,MLP,Rashomon,all,25
alpha,0.02022717665527032,4,25,0.009703370044446416,numeric_exact,4,5,german,0,MLP,Rashomon,all,25
max_features,0.8259654655697477,3,25,0.001937937554382412,categorical_exact,3,4,german,0,RF,Rashomon,all,25
n_estimators,0.1751011025662876,3,25,0.001937937554382412,numeric_exact,3,6,german,0,RF,Rashomon,all,25
max_depth,0.08874044121293993,3,20,0.0015298358610412166,numeric_exact,3,6,german,0,RF,Rashomon,all,25
min_samples_leaf,0.08334459701637857,3,25,0.001937937554382412,numeric_exact,3,3,german,0,RF,Rashomon,all,25
min_samples_split,0.03521462624531208,3,25,0.001937937554382412,numeric_exact,3,6,german,0,RF,Rashomon,all,25
n_neighbors,0.8335378654598181,3,25,0.004520903837583603,numeric_tertile,3,4,german,0,kNN,Rashomon,all,25
p,0.029726320553789008,2,25,0.004520903837583603,numeric_exact,2,8,german,0,kNN,Rashomon,all,25
weights,0.0029113622575459466,2,25,0.004520903837583603,categorical_exact,2,12,german,0,kNN,Rashomon,all,25
n_estimators,0.2587161561437317,3,25,0.005799220207139268,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
max_depth,0.15692201646176057,3,24,0.005779866677425707,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
learning_rate,0.10010935508719213,4,25,0.005799220207139268,numeric_exact,4,2,german,1,GBM,Rashomon,all,25
subsample,0.015073668548328907,3,25,0.005799220207139268,numeric_exact,3,6,german,1,GBM,Rashomon,all,25
C,0.12351503889094544,3,25,0.0029952091176716883,numeric_tertile,3,6,german,1,LogReg,Rashomon,all,25
l1_ratio,0.06695386565853528,3,25,0.0029952091176716883,numeric_tertile,3,5,german,1,LogReg,Rashomon,all,25
hidden_layer_sizes,0.22602440145057673,5,25,0.007205976405213568,categorical_exact,5,3,german,1,MLP,Rashomon,all,25
alpha,0.08934157193727557,4,25,0.007205976405213568,numeric_exact,4,3,german,1,MLP,Rashomon,all,25
learning_rate_init,0.06105889288687685,2,25,0.007205976405213568,numeric_exact,2,9,german,1,MLP,Rashomon,all,25
activation,0.0005461684762551622,2,25,0.007205976405213568,categorical_exact,2,8,german,1,MLP,Rashomon,all,25
max_features,0.5514256178428039,3,25,0.0025909744248875776,categorical_exact,3,7,german,1,RF,Rashomon,all,25
max_depth,0.06009698310519038,3,20,0.002498512971939151,numeric_exact,3,6,german,1,RF,Rashomon,all,25
min_samples_split,0.05626588160558694,3,25,0.0025909744248875776,numeric_exact,3,8,german,1,RF,Rashomon,all,25
min_samples_leaf,0.015106504778469504,3,25,0.0025909744248875776,numeric_exact,3,7,german,1,RF,Rashomon,all,25
n_estimators,0.004138050547285073,3,25,0.0025909744248875776,numeric_exact,3,5,german,1,RF,Rashomon,all,25
n_neighbors,0.618395750219917,3,25,0.004708071599197841,numeric_tertile,3,5,german,1,kNN,Rashomon,all,25
p,0.04959132787033885,2,25,0.004708071599197841,numeric_exact,2,9,german,1,kNN,Rashomon,all,25
weights,0.012699827365820125,2,25,0.004708071599197841,categorical_exact,2,12,german,1,kNN,Rashomon,all,25
learning_rate,0.384095418675672,4,25,0.006847484265196174,numeric_exact,4,2,german,2,GBM,Rashomon,all,25
max_depth,0.14902926670479122,4,25,0.006847484265196174,numeric_exact,4,5,german,2,GBM,Rashomon,all,25
n_estimators,0.12819478838286288,3,25,0.006847484265196174,numeric_exact,3,5,german,2,GBM,Rashomon,all,25
subsample,0.009616119774297516,3,25,0.006847484265196174,numeric_exact,3,6,german,2,GBM,Rashomon,all,25
C,0.38778018952035725,3,25,0.0020529387728574957,numeric_tertile,3,5,german,2,LogReg,Rashomon,all,25
l1_ratio,0.02135099170573616,3,25,0.0020529387728574957,numeric_tertile,3,4,german,2,LogReg,Rashomon,all,25
learning_rate_init,0.11770000185333132,2,25,0.011993879050131438,numeric_exact,2,10,german,2,MLP,Rashomon,all,25
hidden_layer_sizes,0.05125358148527241,5,25,0.011993879050131438,categorical_exact,5,2,german,2,MLP,Rashomon,all,25
alpha,0.03666219389471453,4,25,0.011993879050131438,numeric_exact,4,4,german,2,MLP,Rashomon,all,25
activation,0.012300332496950705,2,25,0.011993879050131438,categorical_exact,2,12,german,2,MLP,Rashomon,all,25
max_features,0.7062018924549052,3,25,0.0018686852696565143,categorical_exact,3,4,german,2,RF,Rashomon,all,25
n_estimators,0.23592539437112484,3,25,0.0018686852696565143,numeric_exact,3,6,german,2,RF,Rashomon,all,25
min_samples_leaf,0.1997403324173118,3,25,0.0018686852696565143,numeric_exact,3,6,german,2,RF,Rashomon,all,25
min_samples_split,0.09833686138210505,3,25,0.0018686852696565143,numeric_exact,3,8,german,2,RF,Rashomon,all,25
max_depth,0.07248404697285556,4,19,0.0016221969604424992,numeric_exact,4,3,german,2,RF,Rashomon,all,25
