feature,grid_value,predicted_V_m,n_background_rows
hp_n_neighbors,3.0,0.018499125219763997,100
hp_n_neighbors,5.0,0.011549362422065002,100
hp_n_neighbors,7.0,0.007384494336738608,100
hp_n_neighbors,10.0,0.004856679627735512,100
hp_n_neighbors,15.0,0.0033276172618736306,100
hp_n_neighbors,20.0,0.002811101387055737,100
hp_n_neighbors,25.0,0.0026749038781629848,100
hp_n_neighbors,30.0,0.0026883458801687217,100
hp_n_neighbors,50.0,0.003135352647963905,100
hp_n_neighbors,70.0,0.003565699408721397,100
hp_n_neighbors,90.0,0.00395293801088438,100
hp_n_neighbors,100.0,0.004099768952861386,100
hp_n_neighbors,150.0,0.004922426725441178,100
