feature,grid_value,predicted_V_m,n_background_rows
hp_n_neighbors,3.0,0.04200336516955961,100
hp_n_neighbors,5.0,0.019681383514050375,100
hp_n_neighbors,7.0,0.01236380864658553,100
hp_n_neighbors,10.0,0.007410385106151201,100
hp_n_neighbors,15.0,0.005041435941369837,100
hp_n_neighbors,20.0,0.004162317798860846,100
hp_n_neighbors,25.0,0.003849080979469462,100
hp_n_neighbors,30.0,0.0037920097506146722,100
hp_n_neighbors,50.0,0.00403747061169201,100
hp_n_neighbors,70.0,0.004684727052144986,100
hp_n_neighbors,90.0,0.005325264926532574,100
hp_n_neighbors,100.0,0.005528167504815003,100
hp_n_neighbors,150.0,0.006750217474426108,100
