feature_1,feature_2,grid_value_1,grid_value_2,predicted_V_m,n_background_rows
hp_n_neighbors,hp_weights,15.0,"""'distance'""",0.004177175013183826,100
hp_n_neighbors,hp_weights,15.0,"""'uniform'""",0.004177175013183826,100
hp_n_neighbors,hp_weights,20.0,"""'distance'""",0.0029692163471099838,100
hp_n_neighbors,hp_weights,20.0,"""'uniform'""",0.0029692163471099838,100
hp_n_neighbors,hp_weights,25.0,"""'distance'""",0.002224434361531763,100
hp_n_neighbors,hp_weights,25.0,"""'uniform'""",0.002224434361531763,100
hp_n_neighbors,hp_weights,30.0,"""'distance'""",0.0017613567346965282,100
hp_n_neighbors,hp_weights,30.0,"""'uniform'""",0.0017613567346965282,100
hp_n_neighbors,hp_weights,50.0,"""'distance'""",0.0011306960189603242,100
hp_n_neighbors,hp_weights,50.0,"""'uniform'""",0.0011306960189603242,100
hp_n_neighbors,hp_weights,70.0,"""'distance'""",0.0011071333942779698,100
hp_n_neighbors,hp_weights,70.0,"""'uniform'""",0.0011071333942779698,100
hp_n_neighbors,hp_weights,90.0,"""'distance'""",0.0012296940132184573,100
hp_n_neighbors,hp_weights,90.0,"""'uniform'""",0.0012296940132184573,100
hp_n_neighbors,hp_weights,100.0,"""'distance'""",0.0013060706510622066,100
hp_n_neighbors,hp_weights,100.0,"""'uniform'""",0.0013060706510622066,100
hp_n_neighbors,hp_weights,150.0,"""'distance'""",0.0018278634990132074,100
hp_n_neighbors,hp_weights,150.0,"""'uniform'""",0.0018278634990132074,100
