feature_1,feature_2,grid_value_1,grid_value_2,predicted_V_m,n_background_rows
hp_n_neighbors,hp_weights,3.0,"""'distance'""",0.023696246810865317,100
hp_n_neighbors,hp_weights,3.0,"""'uniform'""",0.023696246810865317,100
hp_n_neighbors,hp_weights,5.0,"""'distance'""",0.023215657629483806,100
hp_n_neighbors,hp_weights,5.0,"""'uniform'""",0.023215657629483806,100
hp_n_neighbors,hp_weights,10.0,"""'distance'""",0.011600710871734855,100
hp_n_neighbors,hp_weights,10.0,"""'uniform'""",0.011600710871734855,100
hp_n_neighbors,hp_weights,15.0,"""'distance'""",0.009232001599447506,100
hp_n_neighbors,hp_weights,15.0,"""'uniform'""",0.009232001599447506,100
hp_n_neighbors,hp_weights,25.0,"""'distance'""",0.008421713226938996,100
hp_n_neighbors,hp_weights,25.0,"""'uniform'""",0.008421713226938996,100
hp_n_neighbors,hp_weights,30.0,"""'distance'""",0.008627463963956979,100
hp_n_neighbors,hp_weights,30.0,"""'uniform'""",0.008627463963956979,100
hp_n_neighbors,hp_weights,70.0,"""'distance'""",0.009936865218005506,100
hp_n_neighbors,hp_weights,70.0,"""'uniform'""",0.009936865218005506,100
hp_n_neighbors,hp_weights,90.0,"""'distance'""",0.010470087215899228,100
hp_n_neighbors,hp_weights,90.0,"""'uniform'""",0.010470087215899228,100
hp_n_neighbors,hp_weights,100.0,"""'distance'""",0.010649677892856379,100
hp_n_neighbors,hp_weights,100.0,"""'uniform'""",0.010649677892856379,100
hp_n_neighbors,hp_weights,150.0,"""'distance'""",0.01197193111349092,100
hp_n_neighbors,hp_weights,150.0,"""'uniform'""",0.01197193111349092,100
