feature_1,feature_2,grid_value_1,grid_value_2,predicted_V_m,n_background_rows
hp_learning_rate_init,hp_hidden_layer_sizes,0.0001,"'[100, 50]'",0.008203696956158524,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.0001,'[100]',0.008203696956158524,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.0001,"'[200, 100]'",0.008203696956158524,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.0001,'[200]',0.008203696956158524,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.0001,'[50]',0.008203696956158524,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.001,"'[100, 50]'",0.005916493472655579,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.001,'[100]',0.005916493472655579,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.001,"'[200, 100]'",0.005916493472655579,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.001,'[200]',0.005916493472655579,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.001,'[50]',0.005916493472655579,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.01,"'[100, 50]'",0.010572711558225365,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.01,'[100]',0.010572711558225365,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.01,"'[200, 100]'",0.010572711558225365,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.01,'[200]',0.010572711558225365,100
hp_learning_rate_init,hp_hidden_layer_sizes,0.01,'[50]',0.010572711558225365,100
