feature_1,feature_2,grid_value_1,grid_value_2,predicted_V_m,n_background_rows
hp_n_neighbors,hp_p,3.0,1.0,0.02893924752598537,100
hp_n_neighbors,hp_p,3.0,2.0,0.02895521505636275,100
hp_n_neighbors,hp_p,7.0,1.0,0.010943149721854823,100
hp_n_neighbors,hp_p,7.0,2.0,0.010725433561779227,100
hp_n_neighbors,hp_p,10.0,1.0,0.006206226783613047,100
hp_n_neighbors,hp_p,10.0,2.0,0.006306693473892793,100
hp_n_neighbors,hp_p,15.0,1.0,0.0038191174307137758,100
hp_n_neighbors,hp_p,15.0,2.0,0.004361528119331678,100
hp_n_neighbors,hp_p,20.0,1.0,0.002622424648802042,100
hp_n_neighbors,hp_p,20.0,2.0,0.0036271938977218148,100
hp_n_neighbors,hp_p,20.0,1.0,0.002622424648802042,100
hp_n_neighbors,hp_p,20.0,2.0,0.0036271938977218148,100
hp_n_neighbors,hp_p,25.0,1.0,0.002377164232898535,100
hp_n_neighbors,hp_p,25.0,2.0,0.003367546211595905,100
hp_n_neighbors,hp_p,30.0,1.0,0.002683770955697383,100
hp_n_neighbors,hp_p,30.0,2.0,0.0036844640335483934,100
hp_n_neighbors,hp_p,50.0,1.0,0.004343956750865039,100
hp_n_neighbors,hp_p,50.0,2.0,0.0043751774690750775,100
hp_n_neighbors,hp_p,100.0,1.0,0.005015706241358813,100
hp_n_neighbors,hp_p,100.0,2.0,0.004995462100943151,100
