dataset,family,pool_type,target_vm,n_models,n_seeds,validation_scheme,n_oos_folds_used,r2_oos_mean,r2_oos_std,rmse_oos_mean,mae_oos_mean,r2_in_sample,n_predictors_raw,top_feature_1,top_feature_1_importance,top_feature_2,top_feature_2_importance,top_feature_3,top_feature_3_importance
adult,GBM,Rashomon,V_m,250,10,leave_one_seed_out,10,0.7223469472033605,0.11887753864264436,0.0004538135406924666,0.0003194391419336585,0.9244639603379239,5,validation_brier,0.30657196548415727,hp_learning_rate,0.27004136387825095,hp_max_depth,0.2520450261356576
adult,GBM,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.6381934719473159,0.17132114176354515,0.0012321239840452451,0.0009280831735441082,0.8985741371017331,5,validation_brier,0.39593044374372266,hp_learning_rate,0.21997262269325352,hp_max_depth,0.20990895033290513
adult,GBM,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.7305694441188825,0.1262456342317544,0.00036953915587740484,0.00025635781426889057,0.9209468240961844,5,validation_brier,0.28192829851003953,hp_learning_rate,0.27966857913524923,hp_max_depth,0.25743866964024337
adult,GBM,full_pool,V_m,500,10,leave_one_seed_out,10,0.9536106833058634,0.036426322814796665,0.0009396404547428634,0.0006646048380236811,0.9895077110418521,5,validation_brier,0.8657301220616893,hp_learning_rate,0.05373461705655872,hp_max_depth,0.04543178616930247
adult,GBM,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.9615071076932656,0.039393382675521,0.00223055014409244,0.0016657060670802564,0.9915408643082868,5,validation_brier,0.909289076824871,hp_max_depth,0.03202797086415583,hp_learning_rate,0.031718663227705536
adult,GBM,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.9312409209465781,0.04217306452661462,0.0005499476480104782,0.00035975664773135166,0.9831407718350098,5,validation_brier,0.7493613192578076,hp_learning_rate,0.12005444824851597,hp_max_depth,0.07488100151025885
adult,LogReg,Rashomon,V_m,250,10,leave_one_seed_out,10,0.7761421936333994,0.23314832950595185,3.6376285249801636e-05,2.7830831492268186e-05,0.9722908587881637,3,hp_C,0.8823595203399884,hp_l1_ratio,0.08181498945166604,validation_brier,0.03582549020834557
adult,LogReg,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.6638204234285412,0.28849596619975376,9.615771871706917e-05,6.63981538843718e-05,0.9482899674461688,3,hp_C,0.896364454355444,hp_l1_ratio,0.059027126388216715,validation_brier,0.044608419256339266
adult,LogReg,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.7723362407298195,0.23738415496379475,3.128121847465479e-05,2.4286260159057174e-05,0.9757987521738016,3,hp_C,0.8642375849038241,hp_l1_ratio,0.09751008324474623,validation_brier,0.03825233185142962
adult,LogReg,full_pool,V_m,500,10,leave_one_seed_out,10,0.9401326635702082,0.06902552964813527,0.0029795287301514007,0.0020485181648308252,0.9864932038916238,3,validation_brier,0.9957449183789053,hp_C,0.002157079167861503,hp_l1_ratio,0.0020980024532332646
adult,LogReg,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.9513372168386323,0.058305587496932605,0.007223409922239655,0.0052735213719153256,0.9905366715723712,3,validation_brier,0.9966627975137242,hp_l1_ratio,0.0017007333047447384,hp_C,0.0016364691815310773
adult,LogReg,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.9365948669583719,0.0712908267106038,0.0013737262084199424,0.0008858740947364491,0.9833909802313916,3,validation_brier,0.9952787914535137,hp_l1_ratio,0.0032656116971527946,hp_C,0.0014555968493334642
adult,MLP,Rashomon,V_m,250,10,leave_one_seed_out,10,0.43398248344447377,0.20860649669042106,0.0006563824682360055,0.0004817737849936005,0.8151432290968551,5,hp_learning_rate_init,0.5492641718440213,validation_brier,0.24331204139792478,hp_hidden_layer_sizes,0.10151148852204901
adult,MLP,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.32918212679719216,0.30601885096459597,0.002366049268122796,0.0017008924803752223,0.7951865678723271,5,hp_learning_rate_init,0.4663686035947032,validation_brier,0.2781587311950749,hp_hidden_layer_sizes,0.12624168421427395
adult,MLP,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.45929585412405444,0.17356212756106795,0.00044389772481952087,0.0003256767335401439,0.8208654201535962,5,hp_learning_rate_init,0.5782442054460584,validation_brier,0.22881860938221033,hp_hidden_layer_sizes,0.09678225241560724
adult,MLP,full_pool,V_m,500,10,leave_one_seed_out,10,0.41478710547458286,0.2767169835928874,0.0010663688690482176,0.0007998224285694323,0.8406354309042798,5,validation_brier,0.4891849884725173,hp_learning_rate_init,0.3485493733493986,hp_hidden_layer_sizes,0.07969716226589238
adult,MLP,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.33946223299125305,0.28002039827769476,0.0026474963377754795,0.0019798204877336384,0.8171959878850705,5,validation_brier,0.5188358379382789,hp_learning_rate_init,0.28352954268408964,hp_hidden_layer_sizes,0.09812118345268396
adult,MLP,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.4455191751938802,0.21941206739302252,0.0006341854382266968,0.00046044684696020704,0.8575282980775529,5,validation_brier,0.46240166474804556,hp_learning_rate_init,0.38895813683729125,hp_hidden_layer_sizes,0.07243235516233572
adult,RF,Rashomon,V_m,250,10,leave_one_seed_out,10,0.49009607053122856,0.3444728485013965,0.0006547564960413193,0.0005425875874358374,0.8910471692207034,6,hp_max_features,0.4462149988281109,validation_brier,0.3806009123009485,hp_min_samples_leaf,0.06843050406054109
adult,RF,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.3203144932169754,0.39958845983051433,0.002326732005366966,0.0019931573485673223,0.8656549866498832,6,hp_max_features,0.41485864669895667,validation_brier,0.3848751384645554,hp_min_samples_leaf,0.09288630318075654
adult,RF,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.5444452860594826,0.2819454305894249,0.000478223736854198,0.00038239987984200466,0.9062061099072544,6,hp_max_features,0.41317967618818957,validation_brier,0.38505134127180096,hp_min_samples_leaf,0.09963541123927164
adult,RF,full_pool,V_m,500,10,leave_one_seed_out,10,0.8735696302169448,0.08694174682622123,0.0012876511019970435,0.0009603611101284759,0.9717936818210732,6,validation_brier,0.6960472767189979,hp_max_features,0.20156227783174144,hp_min_samples_leaf,0.04037921986717943
adult,RF,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.8881932520150626,0.09372042035874134,0.0032046672805830976,0.0024834088966534363,0.976675201960454,6,validation_brier,0.7650118738696992,hp_max_features,0.1691871411179283,hp_min_samples_leaf,0.026390719443802797
adult,RF,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.8457036066919799,0.07204471183291593,0.0006925143002670814,0.0005042604583661033,0.961298183878553,6,validation_brier,0.5684985976970862,hp_max_features,0.24356300416798782,hp_min_samples_leaf,0.07927970952208842
adult,kNN,Rashomon,V_m,250,10,leave_one_seed_out,10,0.9068307815372962,0.062232358882760186,0.00019563575593081178,0.00016075424372098685,0.973222077975631,4,hp_n_neighbors,0.8745134534657478,hp_weights,0.06609154573749565,hp_p,0.0308659097748873
adult,kNN,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.7258521265841489,0.20253875713055666,0.0008676404287650579,0.0007216921242661843,0.9456027929807532,4,hp_n_neighbors,0.7066540054154834,hp_p,0.1360602933047217,validation_brier,0.09380474130829668
adult,kNN,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.9336303513149851,0.05447016451452525,0.0001340171496649319,0.00010638402169828682,0.9779508642811927,4,hp_n_neighbors,0.9024859176125584,hp_weights,0.06900713138604153,validation_brier,0.017941019466600632
adult,kNN,full_pool,V_m,500,10,leave_one_seed_out,10,0.9976343777737485,0.0013053412722063464,0.0002601183108007427,0.00018581958022886917,0.9990728343463046,4,hp_n_neighbors,0.7347950156518192,validation_brier,0.25030424444705335,hp_weights,0.014381977528397673
adult,kNN,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.9925582531417163,0.005288813419386594,0.0008711825888179159,0.0005764602570278857,0.9972736930159483,4,hp_n_neighbors,0.7123522566430968,validation_brier,0.2737433905682768,hp_weights,0.013370948537350963
adult,kNN,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.9908606881472147,0.011067027897155371,0.00032207161805095254,0.00021917327702828545,0.9968081613970957,4,hp_n_neighbors,0.6307012263864226,validation_brier,0.35401969586102877,hp_weights,0.013867287522862828
compas,GBM,Rashomon,V_m,250,10,leave_one_seed_out,10,0.44377448229845884,0.23212401114928824,0.0006296773051068889,0.00046553899127802666,0.9060502414485034,5,validation_brier,0.4256395997866257,hp_n_estimators,0.2024940798739181,hp_max_depth,0.20223953801417932
compas,GBM,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,0.22140138863651676,0.35075694616061787,0.0017925929202654918,0.001362056560416452,0.8521647409250889,5,validation_brier,0.5457877857979334,hp_max_depth,0.2081078415060038,hp_learning_rate,0.12205492858348661
compas,GBM,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.4326372823580165,0.2211034654913623,0.0005549731377123342,0.0004045233375780742,0.9114324420343003,5,validation_brier,0.4359282849482195,hp_n_estimators,0.1988400016741513,hp_max_depth,0.17012622929530136
compas,GBM,full_pool,V_m,500,10,leave_one_seed_out,10,0.7818769999706803,0.33197065568426853,0.0020912202760941393,0.0012416298741001488,0.9476960589612888,5,validation_brier,0.8147013646019449,hp_n_estimators,0.061483392009046435,hp_learning_rate,0.06118170714203794
compas,GBM,full_pool,V_m_HH,500,10,leave_one_seed_out,10,0.591072906039825,0.20243564176338302,0.005417520385560978,0.00360665674982492,0.8907669930285351,5,validation_brier,0.7215549923926393,hp_learning_rate,0.1214260270974625,hp_n_estimators,0.07604918127040798
compas,GBM,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.7799354409158161,0.33944186834963064,0.0020402876408542538,0.0012258901004042195,0.9484859102309555,5,validation_brier,0.8209039923158385,hp_n_estimators,0.060369615121455965,hp_learning_rate,0.05678426017415399
compas,LogReg,Rashomon,V_m,250,10,leave_one_seed_out,10,-9.89799396369612,18.678032668778773,0.00011192212050228235,5.663629035113379e-05,0.8853588462510221,3,hp_C,0.8997907677284159,hp_l1_ratio,0.05388332923938072,validation_brier,0.046325903032203436
compas,LogReg,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,-17.692914466312338,22.82060163867385,0.00013860184944010308,6.674163455179019e-05,0.872226828715486,3,hp_C,0.9078988422998807,validation_brier,0.04955841241482414,hp_l1_ratio,0.04254274528529519
compas,LogReg,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,-9.3865189761261,18.03135823880399,0.00010956874172276657,5.563246824953126e-05,0.8840736159519699,3,hp_C,0.896142597762523,hp_l1_ratio,0.05316465328281615,validation_brier,0.050692748954660846
compas,LogReg,full_pool,V_m,500,10,leave_one_seed_out,10,0.925972558215139,0.0923527647877019,0.0014610474404680059,0.0011356138911196737,0.9888420152924802,3,validation_brier,0.982711639554871,hp_C,0.01399103547129559,hp_l1_ratio,0.0032973249738335623
compas,LogReg,full_pool,V_m_HH,500,10,leave_one_seed_out,10,-0.6520489159777452,2.5216118818869036,0.011622609200147736,0.008326778098692507,0.9160223664473286,3,validation_brier,0.9526460183166469,hp_l1_ratio,0.026120141178453182,hp_C,0.021233840504900015
compas,LogReg,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.8817244395486323,0.16638476165906688,0.0016135280083759938,0.0011589838920627632,0.9796673928813673,3,validation_brier,0.9825217195737421,hp_C,0.010582745171708296,hp_l1_ratio,0.006895535254549589
compas,MLP,Rashomon,V_m,250,10,leave_one_seed_out,10,0.19447550397516628,0.24456001268084443,0.0006763259828105816,0.0005434845902541196,0.7825129013729005,5,validation_brier,0.2780352671531372,hp_learning_rate_init,0.26618499571432647,hp_hidden_layer_sizes,0.2373844544278127
compas,MLP,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,-0.2629735000612803,0.8135952615692655,0.0017814753604319,0.0013072786383944409,0.7312551042086873,5,validation_brier,0.3917431344006617,hp_hidden_layer_sizes,0.24899389975690636,hp_learning_rate_init,0.16503518430101782
compas,MLP,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,0.24123381388357074,0.256401135647271,0.0005962983377713791,0.00048090348666918767,0.790250963552696,5,validation_brier,0.2821228136654919,hp_learning_rate_init,0.2779147372343673,hp_hidden_layer_sizes,0.2213570485350848
compas,MLP,full_pool,V_m,500,10,leave_one_seed_out,10,0.1262694066058409,1.4144936841630231,0.0020555379427130652,0.0013579460191149614,0.7768839461639596,5,validation_brier,0.8356769945255655,hp_learning_rate_init,0.0639413484036091,hp_hidden_layer_sizes,0.048275231328599136
compas,MLP,full_pool,V_m_HH,500,10,leave_one_seed_out,10,-0.5071986360114543,1.560884890734072,0.006252866375052128,0.0029130017819593702,0.5568558451762793,5,validation_brier,0.8580882301842245,hp_hidden_layer_sizes,0.05124267533471816,hp_learning_rate_init,0.033815399543731424
compas,MLP,full_pool,V_m_nonHH,500,10,leave_one_seed_out,10,0.10791661238643153,1.5134127490410094,0.0018861917348542748,0.0013187554776321066,0.8170680094930476,5,validation_brier,0.8159517156914426,hp_learning_rate_init,0.07082234544474043,hp_hidden_layer_sizes,0.053821293741479585
compas,RF,Rashomon,V_m,250,10,leave_one_seed_out,10,-2.8534978561732536,8.71184653988716,0.0012025052366419645,0.0009641581453837625,0.9126240279179623,6,validation_brier,0.36159227969276947,hp_max_features,0.31540570394513456,hp_max_depth,0.23049585718559332
compas,RF,Rashomon,V_m_HH,250,10,leave_one_seed_out,10,-2.1174761421556383,5.408592335423622,0.0031119324864388146,0.0024191852242601746,0.9265347808681621,6,hp_max_features,0.372618514533972,validation_brier,0.3243420454851371,hp_max_depth,0.22114945446918421
compas,RF,Rashomon,V_m_nonHH,250,10,leave_one_seed_out,10,-2.2020547419651466,6.541503076758573,0.0010969299099100886,0.0009058920878842079,0.9034064999798878,6,validation_brier,0.41540690255009016,hp_max_features,0.2704291781339168,hp_max_depth,0.2166689333654059
compas,RF,full_pool,V_m,500,10,leave_one_seed_out,10,0.7561588766151967,0.3483908191783085,0.002327199957298896,0.001777812950194814,0.974496431857238,6,validation_brier,0.5650322422751836,hp_max_depth,0.31739289809593824,hp_min_samples_split,0.049489346916425335
