dataset,family,pool_type,target_vm,feature_group,mean_importance,std_importance,top1_frequency,top3_frequency,mean_rank,n_reps_used,group_key
adult,GBM,Rashomon,V_m,validation_brier,0.36094663059315146,0.11365501016499747,0.6666666666666666,1.0,1.3333333333333333,12,adult|GBM|Rashomon|V_m
adult,GBM,Rashomon,V_m,hp_learning_rate,0.24925282694293824,0.05805908857397468,0.3333333333333333,1.0,1.75,12,adult|GBM|Rashomon|V_m
adult,GBM,Rashomon,V_m,hp_max_depth,0.21132210592370762,0.04965394046372925,0.0,0.9166666666666666,3.0,12,adult|GBM|Rashomon|V_m
adult,GBM,Rashomon,V_m,hp_n_estimators,0.13581022847819932,0.022199946814606464,0.0,0.08333333333333333,3.9166666666666665,12,adult|GBM|Rashomon|V_m
adult,GBM,Rashomon,V_m,hp_subsample,0.04266820806200341,0.009600157372275006,0.0,0.0,5.0,12,adult|GBM|Rashomon|V_m
adult,GBM,Rashomon,V_m_HH,validation_brier,0.4093165262879596,0.09300129704530208,1.0,1.0,1.0,12,adult|GBM|Rashomon|V_m_HH
adult,GBM,Rashomon,V_m_HH,hp_learning_rate,0.23890832531234726,0.0526462206333829,0.0,1.0,2.0833333333333335,12,adult|GBM|Rashomon|V_m_HH
adult,GBM,Rashomon,V_m_HH,hp_max_depth,0.17493556266125246,0.04433202245649807,0.0,0.6666666666666666,3.3333333333333335,12,adult|GBM|Rashomon|V_m_HH
adult,GBM,Rashomon,V_m_HH,hp_n_estimators,0.13880767142763278,0.017898074418112444,0.0,0.3333333333333333,3.5833333333333335,12,adult|GBM|Rashomon|V_m_HH
adult,GBM,Rashomon,V_m_HH,hp_subsample,0.03803191431080788,0.00555342413797818,0.0,0.0,5.0,12,adult|GBM|Rashomon|V_m_HH
adult,GBM,Rashomon,V_m_nonHH,validation_brier,0.35936684493139565,0.1167897635890916,0.75,1.0,1.3333333333333333,12,adult|GBM|Rashomon|V_m_nonHH
adult,GBM,Rashomon,V_m_nonHH,hp_learning_rate,0.24357732034886237,0.056015196877423665,0.25,1.0,1.8333333333333333,12,adult|GBM|Rashomon|V_m_nonHH
adult,GBM,Rashomon,V_m_nonHH,hp_max_depth,0.21342673937601195,0.054535364134675794,0.0,0.9166666666666666,2.9166666666666665,12,adult|GBM|Rashomon|V_m_nonHH
adult,GBM,Rashomon,V_m_nonHH,hp_n_estimators,0.13537144575792207,0.02319295129699735,0.0,0.08333333333333333,3.9166666666666665,12,adult|GBM|Rashomon|V_m_nonHH
adult,GBM,Rashomon,V_m_nonHH,hp_subsample,0.048257649585807964,0.012649488818027563,0.0,0.0,5.0,12,adult|GBM|Rashomon|V_m_nonHH
adult,GBM,full_pool,V_m,validation_brier,0.8731931710074375,0.01082087768034382,1.0,1.0,1.0,12,adult|GBM|full_pool|V_m
adult,GBM,full_pool,V_m,hp_learning_rate,0.05506568861039706,0.00862285877799468,0.0,1.0,2.0833333333333335,12,adult|GBM|full_pool|V_m
adult,GBM,full_pool,V_m,hp_max_depth,0.0401310049059445,0.006234652979079682,0.0,0.9166666666666666,3.0,12,adult|GBM|full_pool|V_m
adult,GBM,full_pool,V_m,hp_n_estimators,0.028809185593037908,0.006456178881141347,0.0,0.08333333333333333,3.9166666666666665,12,adult|GBM|full_pool|V_m
adult,GBM,full_pool,V_m,hp_subsample,0.0028009498831829418,0.0006282552901832118,0.0,0.0,5.0,12,adult|GBM|full_pool|V_m
adult,GBM,full_pool,V_m_HH,validation_brier,0.9256631668736693,0.00816538751732086,1.0,1.0,1.0,12,adult|GBM|full_pool|V_m_HH
adult,GBM,full_pool,V_m_HH,hp_learning_rate,0.027353570304314,0.003703612567804811,0.0,0.9166666666666666,2.4166666666666665,12,adult|GBM|full_pool|V_m_HH
adult,GBM,full_pool,V_m_HH,hp_max_depth,0.02606319252528742,0.0034659262083624547,0.0,0.9166666666666666,2.75,12,adult|GBM|full_pool|V_m_HH
adult,GBM,full_pool,V_m_HH,hp_n_estimators,0.018750602145635745,0.004371779785871697,0.0,0.16666666666666666,3.8333333333333335,12,adult|GBM|full_pool|V_m_HH
adult,GBM,full_pool,V_m_HH,hp_subsample,0.0021694681510933535,0.0005768072064789875,0.0,0.0,5.0,12,adult|GBM|full_pool|V_m_HH
adult,GBM,full_pool,V_m_nonHH,validation_brier,0.7558191837838074,0.014126468888436773,1.0,1.0,1.0,12,adult|GBM|full_pool|V_m_nonHH
adult,GBM,full_pool,V_m_nonHH,hp_learning_rate,0.1223206276319172,0.019562894145738433,0.0,1.0,2.0,12,adult|GBM|full_pool|V_m_nonHH
adult,GBM,full_pool,V_m_nonHH,hp_max_depth,0.06817289120427429,0.011489823969415829,0.0,1.0,3.0,12,adult|GBM|full_pool|V_m_nonHH
adult,GBM,full_pool,V_m_nonHH,hp_n_estimators,0.04862072566576104,0.009826598340225114,0.0,0.0,4.0,12,adult|GBM|full_pool|V_m_nonHH
adult,GBM,full_pool,V_m_nonHH,hp_subsample,0.005066571714240107,0.0008289423265411175,0.0,0.0,5.0,12,adult|GBM|full_pool|V_m_nonHH
adult,LogReg,Rashomon,V_m,hp_C,0.8868331394072619,0.013623240894595032,1.0,1.0,1.0,12,adult|LogReg|Rashomon|V_m
adult,LogReg,Rashomon,V_m,hp_l1_ratio,0.06658645198333711,0.028291969035379626,0.0,1.0,2.1666666666666665,12,adult|LogReg|Rashomon|V_m
adult,LogReg,Rashomon,V_m,validation_brier,0.04658040860940091,0.023373272077757103,0.0,1.0,2.8333333333333335,12,adult|LogReg|Rashomon|V_m
adult,LogReg,Rashomon,V_m_HH,hp_C,0.8805422614235611,0.03197256619676449,1.0,1.0,1.0,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_HH,validation_brier,0.061760336148424834,0.041296700438911864,0.0,1.0,2.6666666666666665,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_HH,hp_l1_ratio,0.057697402428014084,0.028679456126794886,0.0,1.0,2.3333333333333335,12,adult|LogReg|Rashomon|V_m_HH
adult,LogReg,Rashomon,V_m_nonHH,hp_C,0.8822033613738135,0.01564610263151136,1.0,1.0,1.0,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,Rashomon,V_m_nonHH,hp_l1_ratio,0.0720499607524921,0.03152168402660902,0.0,1.0,2.25,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,Rashomon,V_m_nonHH,validation_brier,0.04574667787369432,0.019293024460887927,0.0,1.0,2.75,12,adult|LogReg|Rashomon|V_m_nonHH
adult,LogReg,full_pool,V_m,validation_brier,0.9953285745841821,0.0018032936478310866,1.0,1.0,1.0,12,adult|LogReg|full_pool|V_m
adult,LogReg,full_pool,V_m,hp_l1_ratio,0.0027319834998826044,0.0010724034304134917,0.0,1.0,2.3333333333333335,12,adult|LogReg|full_pool|V_m
adult,LogReg,full_pool,V_m,hp_C,0.001939441915935317,0.0013073488947348431,0.0,1.0,2.6666666666666665,12,adult|LogReg|full_pool|V_m
