dataset,family,pool_type,top_meta_feature,top_meta_feature_importance,validation_brier_importance,validation_brier_rank
adult,GBM,Rashomon,validation_brier,0.30657196548415727,0.30657196548415727,1
adult,GBM,full_pool,validation_brier,0.8657301220616893,0.8657301220616893,1
adult,LogReg,Rashomon,hp_C,0.8823595203399884,0.03582549020834557,3
adult,LogReg,full_pool,validation_brier,0.9957449183789053,0.9957449183789053,1
adult,MLP,Rashomon,hp_learning_rate_init,0.5492641718440213,0.24331204139792478,2
adult,MLP,full_pool,validation_brier,0.4891849884725173,0.4891849884725173,1
adult,RF,Rashomon,hp_max_features,0.4462149988281109,0.3806009123009485,2
adult,RF,full_pool,validation_brier,0.6960472767189979,0.6960472767189979,1
adult,kNN,Rashomon,hp_n_neighbors,0.8745134534657478,0.028529091021869193,4
adult,kNN,full_pool,hp_n_neighbors,0.7347950156518192,0.25030424444705335,2
compas,GBM,Rashomon,validation_brier,0.4256395997866257,0.4256395997866257,1
compas,GBM,full_pool,validation_brier,0.8147013646019449,0.8147013646019449,1
compas,LogReg,Rashomon,hp_C,0.8997907677284159,0.046325903032203436,3
compas,LogReg,full_pool,validation_brier,0.982711639554871,0.982711639554871,1
compas,MLP,Rashomon,validation_brier,0.2780352671531372,0.2780352671531372,1
compas,MLP,full_pool,validation_brier,0.8356769945255655,0.8356769945255655,1
compas,RF,Rashomon,validation_brier,0.36159227969276947,0.36159227969276947,1
compas,RF,full_pool,validation_brier,0.5650322422751836,0.5650322422751836,1
compas,kNN,Rashomon,validation_brier,0.8579172446091794,0.8579172446091794,1
compas,kNN,full_pool,hp_n_neighbors,0.5874340730282331,0.05749358016830585,3
german,GBM,Rashomon,validation_brier,0.5044654431334089,0.5044654431334089,1
german,GBM,full_pool,validation_brier,0.69329573164816,0.69329573164816,1
german,LogReg,Rashomon,hp_C,0.816212198800736,0.08206735048168895,3
german,LogReg,full_pool,validation_brier,0.8599565054677342,0.8599565054677342,1
german,MLP,Rashomon,validation_brier,0.5079880546630495,0.5079880546630495,1
german,MLP,full_pool,validation_brier,0.7436467014866947,0.7436467014866947,1
german,RF,Rashomon,hp_max_features,0.5180632024727836,0.2406113211455651,2
german,RF,full_pool,hp_max_features,0.49878495063782025,0.07811133960565221,3
german,kNN,Rashomon,hp_n_neighbors,0.9424178190111342,0.045635933660265415,2
german,kNN,full_pool,hp_n_neighbors,0.9851896668507761,0.011105204453916188,2
