dataset,family,pool_type,V_m_mean,V_m_std,V_m_count,validation_brier_mean,validation_brier_std
adult,GBM,Rashomon,0.0013830996661781077,0.0009164624930998466,250,0.09041145355773922,0.001559938543656702
adult,GBM,full_pool,0.004559721595958373,0.0048791170477969865,500,0.09627644763096532,0.009331621342234928
adult,LogReg,Rashomon,5.647374124215335e-05,0.0001137809179684709,250,0.10346636398139841,0.0015736258451936847
adult,LogReg,full_pool,0.010262640397329045,0.015224093974863396,500,0.11685390636556833,0.026115166225070156
adult,MLP,Rashomon,0.0015489658167271464,0.0009071483184819817,250,0.09952559173301323,0.0012427468668639071
adult,MLP,full_pool,0.0021995211849421513,0.001444249384956513,500,0.10064399876594284,0.0019140739077102887
adult,RF,Rashomon,0.0025249638954843567,0.0010557242266302955,250,0.09728571056794524,0.0017995381015483705
adult,RF,full_pool,0.00516709471749078,0.0039082980761053964,500,0.10283989777312456,0.008355360552950587
adult,kNN,Rashomon,0.0016275302275632819,0.000724562409909302,250,0.10830363672453011,0.001038446412193703
adult,kNN,full_pool,0.005675655384339841,0.0055043033563110634,500,0.1128573048356382,0.007789133858803633
compas,GBM,Rashomon,0.0012454725594118574,0.0010007773388642307,250,0.21078775301819458,0.0032337138889559297
compas,GBM,full_pool,0.004819236299196504,0.005521626608300784,500,0.21666810114688556,0.01017493458551705
compas,LogReg,Rashomon,5.9822238580970434e-05,0.00026629835345900576,250,0.2134628760870323,0.004147202056730251
compas,LogReg,full_pool,0.005934612332792319,0.00659332673431348,500,0.2216088842952537,0.014358803297796185
compas,MLP,Rashomon,0.0012558569401979604,0.0007900222652483118,250,0.21115691183011542,0.003547082396509123
compas,MLP,full_pool,0.002535694574477473,0.0032199347275164185,500,0.21345336123192785,0.005506862628698964
compas,RF,Rashomon,0.003238536388578669,0.0014139668910257792,250,0.21546791361814355,0.004986518663350119
compas,RF,full_pool,0.006490528441736381,0.005398911860096745,500,0.22535709619031125,0.014378901669321209
compas,kNN,Rashomon,0.010692453277963337,0.01197579336497925,250,0.22698049303526383,0.01791500846797272
compas,kNN,full_pool,0.019836212621340454,0.006342058149241735,500,0.25379130501420266,0.030656858080875763
german,GBM,Rashomon,0.007108161467769321,0.004571086342250569,250,0.16240908436651336,0.007810064597478697
german,GBM,full_pool,0.015415145648605941,0.010544169061553775,500,0.17426421304769596,0.017877145034968584
german,LogReg,Rashomon,0.002121059847830263,0.004235090757216608,250,0.1625757194137576,0.010983739246542461
german,LogReg,full_pool,0.015857948929159503,0.007653354764445489,500,0.1801893937018256,0.023597417093582634
german,MLP,Rashomon,0.009316574662684962,0.007189151510311345,250,0.16529085074983313,0.010257805547644286
german,MLP,full_pool,0.019344050391170365,0.015286889232277289,500,0.18779257536641406,0.029231422541834185
german,RF,Rashomon,0.0021229445025067,0.0014205952301413437,250,0.16073377262731214,0.004280893102922957
german,RF,full_pool,0.002978520382779861,0.0018846824642033612,500,0.16408763995176504,0.005614582022804342
german,kNN,Rashomon,0.005646433320364327,0.005007449189455281,250,0.17299591987603583,0.005212763271871611
german,kNN,full_pool,0.009545931442289778,0.010329397803687216,500,0.17935195799062412,0.01003959186959642
