dataset,family,Top-1 driver,Top-2 driver
adult,GBM,validation_brier (grouped imp=0.3066; OOS R² mean=0.7223),hp_learning_rate (grouped imp=0.2700)
adult,LogReg,hp_C (grouped imp=0.8824; OOS R² mean=0.7761),hp_l1_ratio (grouped imp=0.0818)
adult,MLP,hp_learning_rate_init (grouped imp=0.5493; OOS R² mean=0.4340),validation_brier (grouped imp=0.2433)
adult,RF,hp_max_features (grouped imp=0.4462; OOS R² mean=0.4901),validation_brier (grouped imp=0.3806)
adult,kNN,hp_n_neighbors (grouped imp=0.8745; OOS R² mean=0.9068),hp_weights (grouped imp=0.0661)
compas,GBM,validation_brier (grouped imp=0.4256; OOS R² mean=0.4438),hp_n_estimators (grouped imp=0.2025)
compas,LogReg,hp_C (grouped imp=0.8998; OOS R² mean=-9.8980),hp_l1_ratio (grouped imp=0.0539)
compas,MLP,validation_brier (grouped imp=0.2780; OOS R² mean=0.1945),hp_learning_rate_init (grouped imp=0.2662)
compas,RF,validation_brier (grouped imp=0.3616; OOS R² mean=-2.8535),hp_max_features (grouped imp=0.3154)
compas,kNN,validation_brier (grouped imp=0.8579; OOS R² mean=0.9275),hp_n_neighbors (grouped imp=0.1368)
german,GBM,validation_brier (grouped imp=0.5045; OOS R² mean=0.3900),hp_learning_rate (grouped imp=0.1639)
german,LogReg,hp_C (grouped imp=0.8162; OOS R² mean=0.8737),hp_l1_ratio (grouped imp=0.1017)
german,MLP,validation_brier (grouped imp=0.5080; OOS R² mean=-0.4205),hp_learning_rate_init (grouped imp=0.1877)
german,RF,hp_max_features (grouped imp=0.5181; OOS R² mean=-0.9264),validation_brier (grouped imp=0.2406)
german,kNN,hp_n_neighbors (grouped imp=0.9424; OOS R² mean=0.8702),validation_brier (grouped imp=0.0456)
