dataset,pool_type,subset,family,hp_name,mean_importance,std_importance,n_seeds,mean_V_m,mean_rank,rank_freq_top1,rank_freq_top3,grouping_type,n_groups,min_group_size
adult,Rashomon,HH,GBM,learning_rate,0.24882956438301954,0.09811427585880686,10,0.0038990737802785244,1.4,0.6,1.0,numeric_exact,3.3,4.2
adult,Rashomon,HH,GBM,max_depth,0.14658837068640398,0.12052061501206983,10,0.003923302537924966,2.7,0.1,0.8,numeric_exact,3.9,3.6
adult,Rashomon,HH,GBM,n_estimators,0.1320535166964927,0.1271312580181227,10,0.003925243740222814,2.5,0.3,0.7,numeric_exact,3.0,5.4
adult,Rashomon,HH,GBM,subsample,0.05048988097496149,0.0732243253454021,10,0.003925243740222814,3.4,0.0,0.5,numeric_exact,3.0,5.9
adult,Rashomon,HH,LogReg,C,0.3388784751400572,0.18094986216471765,10,0.00011425671758369397,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,HH,LogReg,l1_ratio,0.06131986626089787,0.050966557598471456,10,0.00011425671758369397,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,HH,MLP,learning_rate_init,0.42683042316877806,0.17288935005961337,10,0.004789460685573621,1.3,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,HH,MLP,hidden_layer_sizes,0.1625526353877505,0.10671323448866359,10,0.004792599746024152,2.4,0.2,0.8,categorical_exact,4.9,3.3
adult,Rashomon,HH,MLP,activation,0.1289817164166158,0.08153173074721214,10,0.004789460685573621,2.9,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,HH,MLP,alpha,0.12870719445812343,0.13445318463851466,10,0.004789460685573621,3.4,0.0,0.5,numeric_exact,4.0,4.5
adult,Rashomon,HH,RF,max_features,0.69407133791872,0.13965380557341853,10,0.00831350023748656,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,HH,RF,min_samples_leaf,0.09989853842357779,0.0790381915622503,10,0.00831350023748656,3.4,0.0,0.5,numeric_exact,3.0,5.1
adult,Rashomon,HH,RF,min_samples_split,0.08630932228394608,0.066852714697408,10,0.00831350023748656,3.3,0.0,0.8,numeric_exact,3.0,5.3
adult,Rashomon,HH,RF,max_depth,0.08212025198927883,0.10167115507792454,10,0.008136161830948084,3.6,0.0,0.3,numeric_exact,3.0,3.1
adult,Rashomon,HH,RF,n_estimators,0.06863088941676777,0.07998157750989086,10,0.00831350023748656,3.7,0.0,0.4,numeric_exact,3.0,6.0
adult,Rashomon,HH,kNN,n_neighbors,0.45310159018502283,0.13413440865093074,10,0.005218265211348786,1.1,0.9,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,HH,kNN,weights,0.07818833709261323,0.039213897095831916,10,0.005218265211348786,2.4,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,HH,kNN,p,0.0715678591653341,0.08790800479830212,10,0.005218265211348786,2.5,0.1,1.0,numeric_exact,2.0,9.7
adult,Rashomon,all,GBM,learning_rate,0.2442111030971446,0.08785338119413162,10,0.0013761245910794443,1.3,0.7,1.0,numeric_exact,3.3,4.2
adult,Rashomon,all,GBM,max_depth,0.1166964902110067,0.0911429662137448,10,0.001383802612220297,2.5,0.1,0.9,numeric_exact,3.9,3.6
adult,Rashomon,all,GBM,n_estimators,0.1125272951913198,0.09696323614993477,10,0.0013830996661781075,2.7,0.2,0.7,numeric_exact,3.0,5.4
adult,Rashomon,all,GBM,subsample,0.04368257931022244,0.048021400505563513,10,0.0013830996661781075,3.5,0.0,0.4,numeric_exact,3.0,5.9
adult,Rashomon,all,LogReg,C,0.34357895205497463,0.17374296521038524,10,5.6473741242153336e-05,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,all,LogReg,l1_ratio,0.062408935156122024,0.055824936793082196,10,5.6473741242153336e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,all,MLP,learning_rate_init,0.5129375452398811,0.1795730107624258,10,0.0015489658167271467,1.2,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,all,MLP,hidden_layer_sizes,0.1587439623143393,0.11632670158795563,10,0.0015493237182419256,2.6,0.2,0.7,categorical_exact,4.9,3.3
adult,Rashomon,all,MLP,alpha,0.1380601178930192,0.14231817727173512,10,0.0015489658167271467,3.1,0.0,0.6,numeric_exact,4.0,4.5
adult,Rashomon,all,MLP,activation,0.11249104003768096,0.06845615972352401,10,0.0015489658167271467,3.1,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,all,RF,max_features,0.5404602982054647,0.16192815047941117,10,0.0025249638954843567,1.0,1.0,1.0,categorical_exact,2.9,5.3
adult,Rashomon,all,RF,max_depth,0.11287611544241416,0.09319582322682601,10,0.00244927230723135,3.4,0.0,0.5,numeric_exact,3.0,3.1
adult,Rashomon,all,RF,min_samples_leaf,0.10651105341578351,0.05251623292914402,10,0.0025249638954843567,3.3,0.0,0.5,numeric_exact,3.0,5.1
adult,Rashomon,all,RF,n_estimators,0.09449319588757436,0.07588465610824206,10,0.0025249638954843567,3.2,0.0,0.7,numeric_exact,3.0,6.0
adult,Rashomon,all,RF,min_samples_split,0.08588901820542535,0.0712801286458281,10,0.0025249638954843567,4.1,0.0,0.3,numeric_exact,3.0,5.3
adult,Rashomon,all,kNN,n_neighbors,0.5904884764811508,0.076171327945638,10,0.001627530227563282,1.0,1.0,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,all,kNN,weights,0.11336695248417201,0.04195923499572263,10,0.001627530227563282,2.0,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,all,kNN,p,0.020820033475775584,0.018616427568199426,10,0.001627530227563282,3.0,0.0,1.0,numeric_exact,2.0,9.7
adult,Rashomon,non_HH,GBM,learning_rate,0.23125486126602227,0.09009693317503387,10,0.0010142734660528873,1.4,0.6,1.0,numeric_exact,3.3,4.2
adult,Rashomon,non_HH,GBM,max_depth,0.11525150639931092,0.07869812818773513,10,0.001019734053459077,2.5,0.2,0.8,numeric_exact,3.9,3.6
adult,Rashomon,non_HH,GBM,n_estimators,0.1009026292268889,0.0786903922148526,10,0.0010186399226037141,2.7,0.2,0.7,numeric_exact,3.0,5.4
adult,Rashomon,non_HH,GBM,subsample,0.052729411780335154,0.03944439003664441,10,0.0010186399226037141,3.4,0.0,0.5,numeric_exact,3.0,5.9
adult,Rashomon,non_HH,LogReg,C,0.34382068227651774,0.1717889837150852,10,4.841635770279618e-05,1.0,1.0,1.0,numeric_tertile,3.0,5.4
adult,Rashomon,non_HH,LogReg,l1_ratio,0.06269733744873876,0.056868942029830165,10,4.841635770279618e-05,2.0,0.0,1.0,numeric_tertile,3.0,4.3
adult,Rashomon,non_HH,MLP,learning_rate_init,0.5409693289938347,0.1793131983289198,10,0.0010864122453857997,1.2,0.8,1.0,numeric_exact,3.0,4.8
adult,Rashomon,non_HH,MLP,hidden_layer_sizes,0.15802148844640604,0.1193031156726985,10,0.0010863586922472165,2.7,0.2,0.6,categorical_exact,4.9,3.3
adult,Rashomon,non_HH,MLP,alpha,0.14258992829766445,0.14797940673369087,10,0.0010864122453857997,3.0,0.0,0.7,numeric_exact,4.0,4.5
adult,Rashomon,non_HH,MLP,activation,0.09613372532041246,0.05774250482514182,10,0.0010864122453857997,3.1,0.0,0.7,categorical_exact,2.0,10.5
adult,Rashomon,non_HH,RF,max_features,0.42822095387819603,0.1870879462607846,10,0.00170107105501121,1.5,0.8,0.9,categorical_exact,2.9,5.3
adult,Rashomon,non_HH,RF,max_depth,0.16862513962163464,0.09897967483483829,10,0.0016395029738465107,3.0,0.0,0.8,numeric_exact,3.0,3.1
adult,Rashomon,non_HH,RF,min_samples_leaf,0.12557335430872946,0.0758594027734414,10,0.00170107105501121,3.1,0.1,0.5,numeric_exact,3.0,5.1
adult,Rashomon,non_HH,RF,n_estimators,0.12055912194959131,0.11257165834234857,10,0.00170107105501121,3.2,0.1,0.6,numeric_exact,3.0,6.0
adult,Rashomon,non_HH,RF,min_samples_split,0.09353417833960631,0.08725416982512214,10,0.00170107105501121,4.2,0.0,0.2,numeric_exact,3.0,5.3
adult,Rashomon,non_HH,kNN,n_neighbors,0.6144107477206209,0.05551595206597235,10,0.0011147745891387805,1.0,1.0,1.0,numeric_tertile,3.0,5.0
adult,Rashomon,non_HH,kNN,weights,0.12213685887911548,0.04507979196135127,10,0.0011147745891387805,2.1,0.0,1.0,categorical_exact,2.0,11.6
adult,Rashomon,non_HH,kNN,p,0.06275903086580427,0.02817574728286301,10,0.0011147745891387805,2.9,0.0,1.0,numeric_exact,2.0,9.7
adult,full_pool,HH,GBM,learning_rate,0.34883773819616076,0.08078415046916579,10,0.011837403263860593,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,HH,GBM,n_estimators,0.09181190952636795,0.06004038723770505,10,0.011837403263860593,2.3,0.0,0.9,numeric_exact,3.0,14.2
adult,full_pool,HH,GBM,max_depth,0.03254334551304426,0.021364115934853253,10,0.011837403263860593,3.1,0.0,0.7,numeric_exact,4.0,9.7
adult,full_pool,HH,GBM,subsample,0.019676893116907474,0.014284686459379489,10,0.011837403263860593,3.6,0.0,0.4,numeric_exact,3.0,13.9
adult,full_pool,HH,LogReg,C,0.3101671485102666,0.05675177873970633,10,0.028323154690754953,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,HH,LogReg,l1_ratio,0.02758858359391734,0.018394912835491075,10,0.028323154690754953,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,HH,MLP,learning_rate_init,0.24449566845585746,0.06626829434886605,10,0.005013359503511951,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,HH,MLP,hidden_layer_sizes,0.09485277797302377,0.04301109631414848,10,0.005013359503511951,2.5,0.0,0.9,categorical_exact,5.0,7.9
adult,full_pool,HH,MLP,alpha,0.05295810904722842,0.04666162316570557,10,0.005013359503511951,3.4,0.0,0.4,numeric_exact,4.0,10.1
adult,full_pool,HH,MLP,activation,0.048682740719019194,0.037458348973971614,10,0.005013359503511951,3.1,0.0,0.7,categorical_exact,2.0,22.3
adult,full_pool,HH,RF,max_depth,0.48054923933193444,0.11492366995894217,10,0.013541510345324206,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,HH,RF,max_features,0.14330553234359233,0.06051136704337281,10,0.013216177734177117,2.4,0.0,0.9,categorical_exact,3.0,13.0
adult,full_pool,HH,RF,min_samples_leaf,0.05234404335776692,0.04264247476513153,10,0.013216177734177117,3.6,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,HH,RF,min_samples_split,0.04555868449135253,0.03554424106909283,10,0.013216177734177117,3.7,0.0,0.4,numeric_exact,3.0,14.1
adult,full_pool,HH,RF,n_estimators,0.020602822413968665,0.014213616064078144,10,0.013216177734177117,4.3,0.0,0.1,numeric_exact,3.0,13.7
adult,full_pool,HH,kNN,n_neighbors,0.4907297127307399,0.017647150718069063,10,0.011494297795832208,1.0,1.0,1.0,numeric_tertile,3.0,15.1
adult,full_pool,HH,kNN,weights,0.005116389279227937,0.0023326100140780423,10,0.011494297795832208,2.0,0.0,1.0,categorical_exact,2.0,24.3
adult,full_pool,HH,kNN,p,0.0007841740556533188,0.0006712297160060076,10,0.011494297795832208,3.0,0.0,1.0,numeric_exact,2.0,24.6
adult,full_pool,all,GBM,learning_rate,0.32678060729489056,0.07606119639924248,10,0.004559721595958373,1.0,1.0,1.0,numeric_exact,4.0,9.9
adult,full_pool,all,GBM,n_estimators,0.07700082769029058,0.05667390951533656,10,0.004559721595958373,2.4,0.0,0.9,numeric_exact,3.0,14.2
adult,full_pool,all,GBM,max_depth,0.031149219220253647,0.02067393842511188,10,0.004559721595958373,3.0,0.0,0.7,numeric_exact,4.0,9.7
adult,full_pool,all,GBM,subsample,0.0165362192034799,0.011826681367011555,10,0.004559721595958373,3.6,0.0,0.4,numeric_exact,3.0,13.9
adult,full_pool,all,LogReg,C,0.3133334033395442,0.05701426241073457,10,0.010262640397329045,1.0,1.0,1.0,numeric_tertile,3.0,13.3
adult,full_pool,all,LogReg,l1_ratio,0.028550611842445707,0.019135296482046996,10,0.010262640397329045,2.0,0.0,1.0,numeric_tertile,3.0,10.5
adult,full_pool,all,MLP,learning_rate_init,0.2988585930871606,0.06103893332654423,10,0.002199521184942151,1.0,1.0,1.0,numeric_exact,3.0,14.4
adult,full_pool,all,MLP,hidden_layer_sizes,0.09038035413171115,0.039837611624829176,10,0.002199521184942151,2.3,0.0,1.0,categorical_exact,5.0,7.9
adult,full_pool,all,MLP,alpha,0.05445953147012239,0.0454837238170139,10,0.002199521184942151,3.0,0.0,0.7,numeric_exact,4.0,10.1
adult,full_pool,all,MLP,activation,0.030734474616484257,0.026460045847873793,10,0.002199521184942151,3.7,0.0,0.3,categorical_exact,2.0,22.3
adult,full_pool,all,RF,max_depth,0.478888872215853,0.10401751166192039,10,0.005171784157461709,1.0,1.0,1.0,numeric_exact,4.0,7.7
adult,full_pool,all,RF,max_features,0.1537515528248519,0.062485678345099736,10,0.00516709471749078,2.3,0.0,1.0,categorical_exact,3.0,13.0
adult,full_pool,all,RF,min_samples_leaf,0.06884437496640947,0.0565054819102998,10,0.00516709471749078,3.2,0.0,0.6,numeric_exact,3.0,12.9
adult,full_pool,all,RF,min_samples_split,0.04718339151415725,0.044539079140332255,10,0.00516709471749078,3.9,0.0,0.3,numeric_exact,3.0,14.1
