dataset,family,pool_type,n_models,pearson_corr_validation_brier_vs_Vm,spearman_corr_validation_brier_vs_Vm,mean_validation_brier,std_validation_brier,mean_Vm,std_Vm,pearson_corr_validation_brier_vs_Vm_HH,pearson_corr_validation_brier_vs_Vm_nonHH
adult,GBM,Rashomon,250,0.33273954435585595,0.34081582105313685,0.09041145355773922,0.0015599385436566916,0.0013830996661781075,0.0009164624930998465,0.36404965774791087,0.3202838031990139
adult,GBM,full_pool,500,0.832279181875564,0.32591218364873453,0.09627644763096532,0.009331621342234928,0.004559721595958372,0.0048791170477969865,0.8784305089160105,0.7226463837749663
adult,LogReg,Rashomon,250,0.15147890019023577,0.34280266884270144,0.10346636398139841,0.001573625845193677,5.647374124215335e-05,0.00011378091796847089,0.1390908269005753,0.1551919678324742
adult,LogReg,full_pool,500,0.9733895126062523,0.5488380353521414,0.11685390636556835,0.026115166225070152,0.010262640397329045,0.015224093974863392,0.9745957517286008,0.9724366549352927
adult,MLP,Rashomon,250,-0.008688706977685878,0.015708539336629385,0.09952559173301323,0.0012427468668639236,0.0015489658167271464,0.0009071483184819818,-0.017028060566696444,0.008954226181722726
adult,MLP,full_pool,500,0.27922879929060646,0.24947072588290353,0.10064399876594284,0.0019140739077102937,0.0021995211849421513,0.0014442493849565127,0.2952110201412344,0.26459127443641756
adult,RF,Rashomon,250,0.47927373828257147,0.39258983343733495,0.09728571056794524,0.0017995381015483679,0.0025249638954843567,0.0010557242266302951,0.45173376952997274,0.44672700751578187
adult,RF,full_pool,500,0.6670014702695665,0.384941571766287,0.10283989777312456,0.008355360552950584,0.00516709471749078,0.003908298076105396,0.7380940539608061,0.5147880839985151
adult,kNN,Rashomon,250,0.25440042208193614,0.2764602313637018,0.10830363672453011,0.0010384464121936938,0.0016275302275632817,0.0007245624099093022,0.43818303282009113,0.20153464430746876
adult,kNN,full_pool,500,0.9547362748225042,0.5794914316891114,0.11285730483563819,0.007789133858803637,0.005675655384339841,0.005504303356311064,0.9475369345479036,0.9576509565406711
compas,GBM,Rashomon,250,0.41369187319742806,0.4356768588297413,0.21078775301819463,0.0032337138889559323,0.0012454725594118576,0.0010007773388642307,0.3717353543972988,0.4342954775137015
compas,GBM,full_pool,500,0.8242472505031985,0.5932709490837963,0.21666810114688556,0.010174934585517043,0.004819236299196504,0.005521626608300785,0.6926407675778063,0.8273139488735567
compas,LogReg,Rashomon,250,0.13464850494368444,0.40136053376854025,0.2134628760870323,0.00414720205673025,5.982223858097043e-05,0.0002662983534590059,0.11513879513542845,0.13667755285812988
compas,LogReg,full_pool,500,0.952431467818733,0.6948639314557258,0.2216088842952537,0.014358803297796178,0.005934612332792319,0.006593326734313479,0.8312197509627636,0.9444212182030514
compas,MLP,Rashomon,250,0.03440396185763129,0.03894321509144146,0.2111569118301154,0.003547082396509122,0.0012558569401979606,0.0007900222652483116,0.0033143698630545364,0.06229283652413702
compas,MLP,full_pool,500,0.6631512350719536,0.28785167940671763,0.21345336123192785,0.005506862628698963,0.002535694574477473,0.0032199347275164206,0.5797460454495864,0.6593107869231821
compas,RF,Rashomon,250,0.08300962230279245,0.008388614217827484,0.21546791361814355,0.004986518663350121,0.003238536388578669,0.0014139668910257794,0.025283021393277896,0.12557575448419148
compas,RF,full_pool,500,0.43738519638143325,0.15901350005400022,0.22535709619031125,0.014378901669321202,0.00649052844173638,0.005398911860096745,0.3530374610367843,0.43992945771583186
compas,kNN,Rashomon,250,0.9175191781517227,0.6003778620457927,0.22698049303526385,0.017915008467972716,0.010692453277963337,0.01197579336497925,0.8629775439911506,0.9203679306763995
compas,kNN,full_pool,500,-0.30871636689472876,-0.4446783867135468,0.2537913050142027,0.030656858080875767,0.019836212621340457,0.006342058149241738,-0.38157780135530533,-0.2911842054635361
german,GBM,Rashomon,75,0.3742766729718468,0.44725462304409674,0.16221197242997298,0.009332155787802405,0.007036931483807209,0.004676381788499423,0.5140492502033734,0.3457465140268196
german,GBM,full_pool,300,0.7175548759276472,0.687684974277492,0.17629759902440761,0.018780761410044224,0.015989180283401797,0.010639988811516208,0.4262061559421782,0.7246218205313821
german,LogReg,Rashomon,75,0.21708990218762297,0.3666571834992887,0.1676466781129062,0.017141581106715053,0.0027780238735219723,0.004813279736992212,0.3394030328630723,0.2050210385737907
german,LogReg,full_pool,300,0.7801377830873957,0.7789095434393716,0.18056260143563754,0.023448543952382845,0.015635723260448788,0.00848394788058517,0.7464637893589252,0.7695017713117445
german,MLP,Rashomon,75,0.09787243425145675,0.14233285917496444,0.16958213346143247,0.014092819978455842,0.009626754805430519,0.006131979588352796,-0.022617804264650487,0.10369304811635127
german,MLP,full_pool,300,0.45986039618514446,0.32477827531417014,0.1885566666147465,0.027833965574584014,0.018290913842983817,0.013598541978482027,0.14997305917877682,0.46445128209176123
german,RF,Rashomon,75,-0.32353355507566356,-0.3740825035561878,0.1622547181424408,0.005591763166309234,0.0019722097887161,0.0019087292728758613,-0.3396886684481588,-0.3197230377372814
german,RF,full_pool,300,0.12504116167111845,0.17749530550339448,0.16489864815020694,0.005760093413284351,0.002986663317881233,0.001990872883568818,0.16284776774317436,0.11829277571823787
german,kNN,Rashomon,75,-0.10932698612284034,-0.1539118065433855,0.1740739016335849,0.0060148819182281295,0.006158541710918672,0.005428147705357694,-0.13560633338321296,-0.10782074608692005
german,kNN,full_pool,300,0.5820094354538551,0.4429577852900072,0.18013985341281735,0.009372287901822141,0.009575396384092886,0.010402557660640927,0.42774700625868295,0.588286582799414
