dataset,seed,pool_type,subset,family,hyperparameter,value_or_group,metric_name,metric_value
compas,0,Rashomon,all,__global__,__family__,model_name,ratio_of_sums,0.3885535703253738
compas,0,Rashomon,all,__global__,__family__,model_name,mean_ratio,0.3359707559102341
compas,0,Rashomon,HH,__global__,__family__,model_name,ratio_of_sums,0.5348592881262836
compas,0,Rashomon,HH,__global__,__family__,model_name,mean_ratio,0.5288289700883031
compas,0,Rashomon,non_HH,__global__,__family__,model_name,ratio_of_sums,0.3567564754782498
compas,0,Rashomon,non_HH,__global__,__family__,model_name,mean_ratio,0.3173590589492807
compas,0,Rashomon,all,GBM,learning_rate,,decomp_ratio_of_sums,0.33733089951866296
compas,0,Rashomon,all,GBM,max_depth,,decomp_ratio_of_sums,0.25814358907128254
compas,0,Rashomon,all,GBM,subsample,,decomp_ratio_of_sums,0.08882035070311653
compas,0,Rashomon,all,GBM,n_estimators,,decomp_ratio_of_sums,0.06584938523216798
compas,0,Rashomon,all,LogReg,C,,decomp_ratio_of_sums,0.8647793772248757
compas,0,Rashomon,all,LogReg,l1_ratio,,decomp_ratio_of_sums,0.04976719958760284
compas,0,Rashomon,all,MLP,alpha,,decomp_ratio_of_sums,0.2503573856165756
compas,0,Rashomon,all,MLP,learning_rate_init,,decomp_ratio_of_sums,0.18854445840590717
compas,0,Rashomon,all,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1402044874560796
compas,0,Rashomon,all,MLP,activation,,decomp_ratio_of_sums,0.057733384300118984
compas,0,Rashomon,all,RF,max_depth,,decomp_ratio_of_sums,0.6674135780015169
compas,0,Rashomon,all,RF,min_samples_split,,decomp_ratio_of_sums,0.12174423985234788
compas,0,Rashomon,all,RF,min_samples_leaf,,decomp_ratio_of_sums,0.060662825943217064
compas,0,Rashomon,all,RF,max_features,,decomp_ratio_of_sums,0.0300116420397984
compas,0,Rashomon,all,RF,n_estimators,,decomp_ratio_of_sums,0.02561000693217424
compas,0,Rashomon,all,kNN,n_neighbors,,decomp_ratio_of_sums,0.8355936787522003
compas,0,Rashomon,all,kNN,weights,,decomp_ratio_of_sums,0.17532078974651102
compas,0,Rashomon,all,kNN,p,,decomp_ratio_of_sums,0.015030546465991073
compas,0,Rashomon,HH,GBM,learning_rate,,decomp_ratio_of_sums,0.30673903185666596
compas,0,Rashomon,HH,GBM,max_depth,,decomp_ratio_of_sums,0.23856144868392967
compas,0,Rashomon,HH,GBM,subsample,,decomp_ratio_of_sums,0.09000625743152194
compas,0,Rashomon,HH,GBM,n_estimators,,decomp_ratio_of_sums,0.058123131290472724
compas,0,Rashomon,HH,LogReg,C,,decomp_ratio_of_sums,0.8492717419662963
compas,0,Rashomon,HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.05083045583006698
compas,0,Rashomon,HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.3383655132108966
compas,0,Rashomon,HH,MLP,alpha,,decomp_ratio_of_sums,0.2116210906652226
compas,0,Rashomon,HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.17618474484405583
compas,0,Rashomon,HH,MLP,activation,,decomp_ratio_of_sums,0.0574551046584528
compas,0,Rashomon,HH,RF,max_depth,,decomp_ratio_of_sums,0.6369624021028837
compas,0,Rashomon,HH,RF,min_samples_split,,decomp_ratio_of_sums,0.11799622290587067
compas,0,Rashomon,HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.051558251242828444
compas,0,Rashomon,HH,RF,max_features,,decomp_ratio_of_sums,0.034922889348849136
compas,0,Rashomon,HH,RF,n_estimators,,decomp_ratio_of_sums,0.019985826398542635
compas,0,Rashomon,HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.8533678053118352
compas,0,Rashomon,HH,kNN,weights,,decomp_ratio_of_sums,0.1178106103866161
compas,0,Rashomon,HH,kNN,p,,decomp_ratio_of_sums,0.015968480553088586
compas,0,Rashomon,non_HH,GBM,learning_rate,,decomp_ratio_of_sums,0.34372537065523684
compas,0,Rashomon,non_HH,GBM,max_depth,,decomp_ratio_of_sums,0.26223674980546097
compas,0,Rashomon,non_HH,GBM,subsample,,decomp_ratio_of_sums,0.08857246631667624
compas,0,Rashomon,non_HH,GBM,n_estimators,,decomp_ratio_of_sums,0.06746436697731277
compas,0,Rashomon,non_HH,LogReg,C,,decomp_ratio_of_sums,0.8665199832484547
compas,0,Rashomon,non_HH,LogReg,l1_ratio,,decomp_ratio_of_sums,0.049647857715719626
compas,0,Rashomon,non_HH,MLP,alpha,,decomp_ratio_of_sums,0.25702598353247497
compas,0,Rashomon,non_HH,MLP,learning_rate_init,,decomp_ratio_of_sums,0.1627522040076716
compas,0,Rashomon,non_HH,MLP,hidden_layer_sizes,,decomp_ratio_of_sums,0.1340103517047822
compas,0,Rashomon,non_HH,MLP,activation,,decomp_ratio_of_sums,0.05778129118023707
compas,0,Rashomon,non_HH,RF,max_depth,,decomp_ratio_of_sums,0.6746299870115657
compas,0,Rashomon,non_HH,RF,min_samples_split,,decomp_ratio_of_sums,0.12262669382564978
compas,0,Rashomon,non_HH,RF,min_samples_leaf,,decomp_ratio_of_sums,0.06280645769150289
compas,0,Rashomon,non_HH,RF,max_features,,decomp_ratio_of_sums,0.029012715580639756
compas,0,Rashomon,non_HH,RF,n_estimators,,decomp_ratio_of_sums,0.026934195304143906
compas,0,Rashomon,non_HH,kNN,n_neighbors,,decomp_ratio_of_sums,0.8332431077931802
compas,0,Rashomon,non_HH,kNN,weights,,decomp_ratio_of_sums,0.1829263256358751
compas,0,Rashomon,non_HH,kNN,p,,decomp_ratio_of_sums,0.014906507705537258
compas,0,Rashomon,all,GBM,max_depth,,vm_between_group_ratio,0.11791799088792751
compas,0,Rashomon,all,GBM,n_estimators,,vm_between_group_ratio,0.10796378388297802
compas,0,Rashomon,all,GBM,subsample,,vm_between_group_ratio,0.07994733926108116
compas,0,Rashomon,all,GBM,learning_rate,,vm_between_group_ratio,0.04776313577495299
compas,0,Rashomon,all,LogReg,C,,vm_between_group_ratio,0.6630458871401885
compas,0,Rashomon,all,LogReg,l1_ratio,,vm_between_group_ratio,0.05378172318018818
