model_name,candidate_id,candidate_seed,val_brier,outer_seed,hp_C,hp_activation,hp_alpha,hp_bootstrap,hp_early_stopping,hp_hidden_layer_sizes,hp_l1_ratio,hp_learning_rate,hp_learning_rate_init,hp_max_depth,hp_max_features,hp_max_iter,hp_min_samples_leaf,hp_min_samples_split,hp_n_estimators,hp_n_iter_no_change,hp_n_jobs,hp_n_neighbors,hp_p,hp_penalty,hp_solver,hp_subsample,hp_tol,hp_weights,family,dataset,seed,pool_type,global_row_idx,V_m,V_m_HH,V_m_nonHH
GBM,13,13,0.0891103276897969,0,,,,,,,,0.1,,4.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,163,0.0013194701226146017,0.0041147060561130214,0.0011007259419467895
GBM,35,35,0.0893315747341596,0,,,,,,,,0.1,,4.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,185,0.0005515453028854565,0.0015125593261050819,0.0004763401215981811
GBM,18,18,0.0893457333381919,0,,,,,,,,0.1,,5.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,168,0.0007918983602905979,0.002917687894249147,0.0006255424243549897
GBM,16,16,0.0897552412329092,0,,,,,,,,0.2,,3.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,166,0.0009078431199144366,0.0023241818607623037,0.0007970060153602271
GBM,34,34,0.0897663650316267,0,,,,,,,,0.05,,5.0,,,,,200.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,184,0.0008623130264785964,0.0031133421786603763,0.0006861563301323624
GBM,5,5,0.0898830665745206,0,,,,,,,,0.2,,4.0,,,,,100.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,155,0.0009962668496842106,0.0022730939087819697,0.0008963473811521674
GBM,27,27,0.0899078604832518,0,,,,,,,,0.2,,5.0,,,,,100.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,177,0.0015934866768098409,0.005127328994015284,0.0013169420628033667
GBM,38,38,0.0899236346723751,0,,,,,,,,0.05,,4.0,,,,,500.0,,,,,,,0.8,,,GBM,adult,0,Rashomon,188,0.00034469572820352933,0.0007529063996482001,0.0003127507650628812
GBM,48,48,0.0901473831044317,0,,,,,,,,0.1,,4.0,,,,,200.0,,,,,,,0.8,,,GBM,adult,0,Rashomon,198,0.0007047944433443364,0.001492426322295467,0.0006431574673866817
GBM,28,28,0.0906133921025042,0,,,,,,,,0.1,,5.0,,,,,500.0,,,,,,,1.0,,,GBM,adult,0,Rashomon,178,0.0024780691133512367,0.006840012464556035,0.0021367205663309053
GBM,45,45,0.0906378357724481,0,,,,,,,,0.2,,4.0,,,,,200.0,,,,,,,0.8,,,GBM,adult,0,Rashomon,195,0.002242228043910693,0.005075614602157117,0.002020498345257634
