hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
n_estimators,0.22148386387051613,3,25,0.0014609066872039932,numeric_exact,3,6,adult,0,GBM,Rashomon,all,25
learning_rate,0.18000268064398475,3,25,0.0014609066872039932,numeric_exact,3,3,adult,0,GBM,Rashomon,all,25
max_depth,0.06962896022181445,4,25,0.0014609066872039932,numeric_exact,4,2,adult,0,GBM,Rashomon,all,25
subsample,0.05670500899415925,3,25,0.0014609066872039932,numeric_exact,3,5,adult,0,GBM,Rashomon,all,25
C,0.1885344816062875,3,25,9.017711908000162e-05,numeric_tertile,3,5,adult,0,LogReg,Rashomon,all,25
l1_ratio,0.06889936507764739,3,25,9.017711908000162e-05,numeric_tertile,3,3,adult,0,LogReg,Rashomon,all,25
learning_rate_init,0.4651881813063604,3,25,0.0016128539276305926,numeric_exact,3,3,adult,0,MLP,Rashomon,all,25
hidden_layer_sizes,0.10060456407922164,5,25,0.0016128539276305926,categorical_exact,5,4,adult,0,MLP,Rashomon,all,25
alpha,0.09325461733907679,4,25,0.0016128539276305926,numeric_exact,4,4,adult,0,MLP,Rashomon,all,25
activation,0.07563131265143397,2,25,0.0016128539276305926,categorical_exact,2,12,adult,0,MLP,Rashomon,all,25
max_features,0.7781333730429192,3,25,0.0021169358454686386,categorical_exact,3,6,adult,0,RF,Rashomon,all,25
max_depth,0.18094286331116427,3,20,0.0019113176791349887,numeric_exact,3,3,adult,0,RF,Rashomon,all,25
n_estimators,0.08760310518395432,3,25,0.0021169358454686386,numeric_exact,3,8,adult,0,RF,Rashomon,all,25
min_samples_split,0.08144853392460523,3,25,0.0021169358454686386,numeric_exact,3,8,adult,0,RF,Rashomon,all,25
min_samples_leaf,0.003941948939568532,3,25,0.0021169358454686386,numeric_exact,3,7,adult,0,RF,Rashomon,all,25
n_neighbors,0.6086248186289279,3,25,0.0015757081273849252,numeric_tertile,3,6,adult,0,kNN,Rashomon,all,25
weights,0.20104048097998853,2,25,0.0015757081273849252,categorical_exact,2,11,adult,0,kNN,Rashomon,all,25
p,0.019404276836087916,2,25,0.0015757081273849252,numeric_exact,2,11,adult,0,kNN,Rashomon,all,25
n_estimators,0.22596538922965873,3,25,0.004040433520791546,numeric_exact,3,6,adult,0,GBM,Rashomon,HH,25
learning_rate,0.1797597719705338,3,25,0.004040433520791546,numeric_exact,3,3,adult,0,GBM,Rashomon,HH,25
max_depth,0.12453244841311716,4,25,0.004040433520791546,numeric_exact,4,2,adult,0,GBM,Rashomon,HH,25
subsample,0.015485538058311855,3,25,0.004040433520791546,numeric_exact,3,5,adult,0,GBM,Rashomon,HH,25
C,0.20305585511478122,3,25,0.00024259547344501005,numeric_tertile,3,5,adult,0,LogReg,Rashomon,HH,25
l1_ratio,0.06982122545331038,3,25,0.00024259547344501005,numeric_tertile,3,3,adult,0,LogReg,Rashomon,HH,25
learning_rate_init,0.31502994051095073,3,25,0.00519542312868561,numeric_exact,3,3,adult,0,MLP,Rashomon,HH,25
hidden_layer_sizes,0.11744261048317942,5,25,0.00519542312868561,categorical_exact,5,4,adult,0,MLP,Rashomon,HH,25
activation,0.07689954457552076,2,25,0.00519542312868561,categorical_exact,2,12,adult,0,MLP,Rashomon,HH,25
alpha,0.07320779397699152,4,25,0.00519542312868561,numeric_exact,4,4,adult,0,MLP,Rashomon,HH,25
max_features,0.9363232492647011,3,25,0.008552018592511259,categorical_exact,3,6,adult,0,RF,Rashomon,HH,25
max_depth,0.2958385589097653,3,20,0.008033803426498239,numeric_exact,3,3,adult,0,RF,Rashomon,HH,25
min_samples_split,0.060022554679091546,3,25,0.008552018592511259,numeric_exact,3,8,adult,0,RF,Rashomon,HH,25
min_samples_leaf,0.03570383056464978,3,25,0.008552018592511259,numeric_exact,3,7,adult,0,RF,Rashomon,HH,25
n_estimators,0.02195219944914591,3,25,0.008552018592511259,numeric_exact,3,8,adult,0,RF,Rashomon,HH,25
n_neighbors,0.5259450980647846,3,25,0.005989579849991815,numeric_tertile,3,6,adult,0,kNN,Rashomon,HH,25
weights,0.18187109066424062,2,25,0.005989579849991815,categorical_exact,2,11,adult,0,kNN,Rashomon,HH,25
p,0.0017004954875065577,2,25,0.005989579849991815,numeric_exact,2,11,adult,0,kNN,Rashomon,HH,25
n_estimators,0.2137750749016848,3,25,0.0012590430530965346,numeric_exact,3,6,adult,0,GBM,Rashomon,non_HH,25
learning_rate,0.17219897142931015,3,25,0.0012590430530965346,numeric_exact,3,3,adult,0,GBM,Rashomon,non_HH,25
max_depth,0.06727298921375072,4,25,0.0012590430530965346,numeric_exact,4,2,adult,0,GBM,Rashomon,non_HH,25
subsample,0.06515734639618143,3,25,0.0012590430530965346,numeric_exact,3,5,adult,0,GBM,Rashomon,non_HH,25
C,0.1856079974923351,3,25,7.824945757395404e-05,numeric_tertile,3,5,adult,0,LogReg,Rashomon,non_HH,25
l1_ratio,0.0685965098166063,3,25,7.824945757395404e-05,numeric_tertile,3,3,adult,0,LogReg,Rashomon,non_HH,25
learning_rate_init,0.47223753716340144,3,25,0.00133249613915951,numeric_exact,3,3,adult,0,MLP,Rashomon,non_HH,25
hidden_layer_sizes,0.10328130983503277,5,25,0.00133249613915951,categorical_exact,5,4,adult,0,MLP,Rashomon,non_HH,25
alpha,0.10171595812212054,4,25,0.00133249613915951,numeric_exact,4,4,adult,0,MLP,Rashomon,non_HH,25
activation,0.06312452073350995,2,25,0.00133249613915951,categorical_exact,2,12,adult,0,MLP,Rashomon,non_HH,25
max_features,0.6678003878361377,3,25,0.0016133515554406898,categorical_exact,3,6,adult,0,RF,Rashomon,non_HH,25
max_depth,0.12408115062385776,3,20,0.0014321960019958555,numeric_exact,3,3,adult,0,RF,Rashomon,non_HH,25
n_estimators,0.11489675952113777,3,25,0.0016133515554406898,numeric_exact,3,8,adult,0,RF,Rashomon,non_HH,25
min_samples_split,0.09835099614897011,3,25,0.0016133515554406898,numeric_exact,3,8,adult,0,RF,Rashomon,non_HH,25
min_samples_leaf,0.013612361748773859,3,25,0.0016133515554406898,numeric_exact,3,7,adult,0,RF,Rashomon,non_HH,25
n_neighbors,0.6089459136024175,3,25,0.0012302958700639223,numeric_tertile,3,6,adult,0,kNN,Rashomon,non_HH,25
weights,0.19890322189042933,2,25,0.0012302958700639223,categorical_exact,2,11,adult,0,kNN,Rashomon,non_HH,25
p,0.03374089875356672,2,25,0.0012302958700639223,numeric_exact,2,11,adult,0,kNN,Rashomon,non_HH,25
learning_rate,0.24859760211690776,3,24,0.00128886759707214,numeric_exact,3,5,adult,1,GBM,Rashomon,all,25
max_depth,0.24522357657714947,4,25,0.0013062345471514846,numeric_exact,4,4,adult,1,GBM,Rashomon,all,25
n_estimators,0.07760104013888741,3,25,0.0013062345471514846,numeric_exact,3,5,adult,1,GBM,Rashomon,all,25
subsample,0.00867009238147976,3,25,0.0013062345471514846,numeric_exact,3,7,adult,1,GBM,Rashomon,all,25
C,0.17500315837302258,3,25,3.850872216819483e-05,numeric_tertile,3,7,adult,1,LogReg,Rashomon,all,25
l1_ratio,0.035649028484791706,3,25,3.850872216819483e-05,numeric_tertile,3,5,adult,1,LogReg,Rashomon,all,25
learning_rate_init,0.5047301399495244,3,25,0.0018045706604806094,numeric_exact,3,4,adult,1,MLP,Rashomon,all,25
alpha,0.09945350394172366,4,25,0.0018045706604806094,numeric_exact,4,5,adult,1,MLP,Rashomon,all,25
hidden_layer_sizes,0.09768011333279542,5,25,0.0018045706604806094,categorical_exact,5,3,adult,1,MLP,Rashomon,all,25
activation,0.007279958360276418,2,25,0.0018045706604806094,categorical_exact,2,9,adult,1,MLP,Rashomon,all,25
max_features,0.551116853914643,3,25,0.0025594585253504126,categorical_exact,3,5,adult,1,RF,Rashomon,all,25
n_estimators,0.26867352090001795,3,25,0.0025594585253504126,numeric_exact,3,6,adult,1,RF,Rashomon,all,25
max_depth,0.11185317747174849,3,19,0.002451515412210861,numeric_exact,3,2,adult,1,RF,Rashomon,all,25
min_samples_split,0.09567007885293276,3,25,0.0025594585253504126,numeric_exact,3,4,adult,1,RF,Rashomon,all,25
min_samples_leaf,0.08955442999012057,3,25,0.0025594585253504126,numeric_exact,3,5,adult,1,RF,Rashomon,all,25
n_neighbors,0.5240993534117142,3,25,0.0016846195998127254,numeric_tertile,3,6,adult,1,kNN,Rashomon,all,25
weights,0.11434821002583896,2,25,0.0016846195998127254,categorical_exact,2,12,adult,1,kNN,Rashomon,all,25
p,0.00019500793308241485,2,25,0.0016846195998127254,numeric_exact,2,8,adult,1,kNN,Rashomon,all,25
learning_rate,0.4431204871398901,3,24,0.004270699886399482,numeric_exact,3,5,adult,1,GBM,Rashomon,HH,25
max_depth,0.3224314013965721,4,25,0.00435133839770534,numeric_exact,4,4,adult,1,GBM,Rashomon,HH,25
n_estimators,0.10235464964992942,3,25,0.00435133839770534,numeric_exact,3,5,adult,1,GBM,Rashomon,HH,25
subsample,0.0022532881065546032,3,25,0.00435133839770534,numeric_exact,3,7,adult,1,GBM,Rashomon,HH,25
C,0.17605909831811903,3,25,9.911147515781137e-05,numeric_tertile,3,7,adult,1,LogReg,Rashomon,HH,25
l1_ratio,0.03514891031331147,3,25,9.911147515781137e-05,numeric_tertile,3,5,adult,1,LogReg,Rashomon,HH,25
learning_rate_init,0.40665329300085146,3,25,0.005989126464692684,numeric_exact,3,4,adult,1,MLP,Rashomon,HH,25
hidden_layer_sizes,0.14304871310844783,5,25,0.005989126464692684,categorical_exact,5,3,adult,1,MLP,Rashomon,HH,25
alpha,0.10824619270139217,4,25,0.005989126464692684,numeric_exact,4,5,adult,1,MLP,Rashomon,HH,25
activation,0.01567543852479847,2,25,0.005989126464692684,categorical_exact,2,9,adult,1,MLP,Rashomon,HH,25
max_features,0.6545106866054335,3,25,0.01123002246522016,categorical_exact,3,5,adult,1,RF,Rashomon,HH,25
n_estimators,0.2214527478083148,3,25,0.01123002246522016,numeric_exact,3,6,adult,1,RF,Rashomon,HH,25
min_samples_split,0.13169656416753162,3,25,0.01123002246522016,numeric_exact,3,4,adult,1,RF,Rashomon,HH,25
max_depth,0.07258982853463153,3,19,0.010788159381170026,numeric_exact,3,2,adult,1,RF,Rashomon,HH,25
min_samples_leaf,0.06726908048863917,3,25,0.01123002246522016,numeric_exact,3,5,adult,1,RF,Rashomon,HH,25
p,0.4924354178795923,2,25,0.006743349281973132,numeric_exact,2,8,adult,1,kNN,Rashomon,HH,25
n_neighbors,0.13976026887734175,3,25,0.006743349281973132,numeric_tertile,3,6,adult,1,kNN,Rashomon,HH,25
weights,0.026365299068550917,2,25,0.006743349281973132,categorical_exact,2,12,adult,1,kNN,Rashomon,HH,25
max_depth,0.23107412444711137,4,25,0.0010606725220349182,numeric_exact,4,4,adult,1,GBM,Rashomon,non_HH,25
learning_rate,0.1968244109402378,3,24,0.0010484078914394374,numeric_exact,3,5,adult,1,GBM,Rashomon,non_HH,25
n_estimators,0.06983088555256599,3,25,0.0010606725220349182,numeric_exact,3,5,adult,1,GBM,Rashomon,non_HH,25
