hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
max_depth,0.11791799088792751,4,25,0.0010328786577309503,numeric_exact,4,4,compas,0,GBM,Rashomon,all,25
n_estimators,0.10796378388297802,3,25,0.0010328786577309503,numeric_exact,3,5,compas,0,GBM,Rashomon,all,25
subsample,0.07994733926108116,3,25,0.0010328786577309503,numeric_exact,3,7,compas,0,GBM,Rashomon,all,25
learning_rate,0.04776313577495299,4,25,0.0010328786577309503,numeric_exact,4,3,compas,0,GBM,Rashomon,all,25
C,0.6037501202038291,3,25,5.554818627364627e-06,numeric_tertile,3,4,compas,0,LogReg,Rashomon,all,25
l1_ratio,0.016201585407034844,3,25,5.554818627364627e-06,numeric_tertile,3,3,compas,0,LogReg,Rashomon,all,25
hidden_layer_sizes,0.33419328573868645,5,25,0.0010663488137053157,categorical_exact,5,3,compas,0,MLP,Rashomon,all,25
learning_rate_init,0.3056920238505527,3,25,0.0010663488137053157,numeric_exact,3,3,compas,0,MLP,Rashomon,all,25
alpha,0.21664510807443538,4,25,0.0010663488137053157,numeric_exact,4,4,compas,0,MLP,Rashomon,all,25
activation,2.900580755580714e-06,2,25,0.0010663488137053157,categorical_exact,2,11,compas,0,MLP,Rashomon,all,25
max_depth,0.4041084799289725,4,24,0.0030367102066441386,numeric_exact,4,2,compas,0,RF,Rashomon,all,25
min_samples_leaf,0.2346670336296504,3,25,0.0030532505727719995,numeric_exact,3,5,compas,0,RF,Rashomon,all,25
n_estimators,0.09673904286438335,3,25,0.0030532505727719995,numeric_exact,3,7,compas,0,RF,Rashomon,all,25
min_samples_split,0.07208840902809663,3,25,0.0030532505727719995,numeric_exact,3,7,compas,0,RF,Rashomon,all,25
max_features,0.06180531938384309,3,25,0.0030532505727719995,categorical_exact,3,5,compas,0,RF,Rashomon,all,25
n_neighbors,0.23355987662638278,3,25,0.011417982531304143,numeric_tertile,3,8,compas,0,kNN,Rashomon,all,25
p,0.013739825968506716,2,25,0.011417982531304143,numeric_exact,2,12,compas,0,kNN,Rashomon,all,25
learning_rate,0.06769535521262293,4,25,0.0020289680193604255,numeric_exact,4,3,compas,0,GBM,Rashomon,HH,25
subsample,0.06302253819779868,3,25,0.0020289680193604255,numeric_exact,3,7,compas,0,GBM,Rashomon,HH,25
max_depth,0.0612610300564872,4,25,0.0020289680193604255,numeric_exact,4,4,compas,0,GBM,Rashomon,HH,25
n_estimators,0.053459591449605035,3,25,0.0020289680193604255,numeric_exact,3,5,compas,0,GBM,Rashomon,HH,25
C,0.5900459535761923,3,25,6.369247959703214e-06,numeric_tertile,3,4,compas,0,LogReg,Rashomon,HH,25
l1_ratio,0.016046797328617423,3,25,6.369247959703214e-06,numeric_tertile,3,3,compas,0,LogReg,Rashomon,HH,25
learning_rate_init,0.22694000991812371,3,25,0.0017794827293231834,numeric_exact,3,3,compas,0,MLP,Rashomon,HH,25
hidden_layer_sizes,0.17193053439924053,5,25,0.0017794827293231834,categorical_exact,5,3,compas,0,MLP,Rashomon,HH,25
alpha,0.16733048235296064,4,25,0.0017794827293231834,numeric_exact,4,4,compas,0,MLP,Rashomon,HH,25
activation,0.011592713974598367,2,25,0.0017794827293231834,categorical_exact,2,11,compas,0,MLP,Rashomon,HH,25
max_features,0.730988302022836,3,25,0.006611377556609093,categorical_exact,3,5,compas,0,RF,Rashomon,HH,25
max_depth,0.32625065976292666,4,24,0.006608817763667614,numeric_exact,4,2,compas,0,RF,Rashomon,HH,25
min_samples_leaf,0.21452195162808121,3,25,0.006611377556609093,numeric_exact,3,5,compas,0,RF,Rashomon,HH,25
n_estimators,0.13384790641847943,3,25,0.006611377556609093,numeric_exact,3,7,compas,0,RF,Rashomon,HH,25
min_samples_split,0.023749907540115738,3,25,0.006611377556609093,numeric_exact,3,7,compas,0,RF,Rashomon,HH,25
n_neighbors,0.3487002399434722,3,25,0.015152908091942781,numeric_tertile,3,8,compas,0,kNN,Rashomon,HH,25
p,0.007843705463559803,2,25,0.015152908091942781,numeric_exact,2,12,compas,0,kNN,Rashomon,HH,25
max_depth,0.12960731374863368,4,25,0.0009367514928928473,numeric_exact,4,4,compas,0,GBM,Rashomon,non_HH,25
n_estimators,0.11863400099571195,3,25,0.0009367514928928473,numeric_exact,3,5,compas,0,GBM,Rashomon,non_HH,25
subsample,0.08295109144056192,3,25,0.0009367514928928473,numeric_exact,3,7,compas,0,GBM,Rashomon,non_HH,25
learning_rate,0.04877085821388681,4,25,0.0009367514928928473,numeric_exact,4,3,compas,0,GBM,Rashomon,non_HH,25
C,0.6053082625355442,3,25,5.4762224835903105e-06,numeric_tertile,3,4,compas,0,LogReg,Rashomon,non_HH,25
l1_ratio,0.016221572528072457,3,25,5.4762224835903105e-06,numeric_tertile,3,3,compas,0,LogReg,Rashomon,non_HH,25
hidden_layer_sizes,0.3541364663532999,5,25,0.0009975281394777554,categorical_exact,5,3,compas,0,MLP,Rashomon,non_HH,25
learning_rate_init,0.3022514497742319,3,25,0.0009975281394777554,numeric_exact,3,3,compas,0,MLP,Rashomon,non_HH,25
alpha,0.21479784785921746,4,25,0.0009975281394777554,numeric_exact,4,4,compas,0,MLP,Rashomon,non_HH,25
activation,0.00043577113710589353,2,25,0.0009975281394777554,categorical_exact,2,11,compas,0,MLP,Rashomon,non_HH,25
max_depth,0.31592760192104896,4,24,0.0026919855411867053,numeric_exact,4,2,compas,0,RF,Rashomon,non_HH,25
max_features,0.2420313675869482,3,25,0.002709875096368267,categorical_exact,3,5,compas,0,RF,Rashomon,non_HH,25
min_samples_leaf,0.13450232374221724,3,25,0.002709875096368267,numeric_exact,3,5,compas,0,RF,Rashomon,non_HH,25
min_samples_split,0.10865953940790929,3,25,0.002709875096368267,numeric_exact,3,7,compas,0,RF,Rashomon,non_HH,25
n_estimators,0.04607282539633273,3,25,0.002709875096368267,numeric_exact,3,7,compas,0,RF,Rashomon,non_HH,25
n_neighbors,0.22164300875381454,3,25,0.011057545186166522,numeric_tertile,3,8,compas,0,kNN,Rashomon,non_HH,25
p,0.014358761039825647,2,25,0.011057545186166522,numeric_exact,2,12,compas,0,kNN,Rashomon,non_HH,25
max_depth,0.2030833618705631,3,25,0.0009806558421971501,numeric_exact,3,6,compas,1,GBM,Rashomon,all,25
n_estimators,0.1454000044878641,3,25,0.0009806558421971501,numeric_exact,3,6,compas,1,GBM,Rashomon,all,25
learning_rate,0.02307875107915896,4,25,0.0009806558421971501,numeric_exact,4,3,compas,1,GBM,Rashomon,all,25
subsample,0.015414060473434982,3,25,0.0009806558421971501,numeric_exact,3,5,compas,1,GBM,Rashomon,all,25
C,0.6714866941120688,3,25,6.152639454437542e-07,numeric_tertile,3,2,compas,1,LogReg,Rashomon,all,25
l1_ratio,0.035317238848018115,3,25,6.152639454437542e-07,numeric_tertile,3,6,compas,1,LogReg,Rashomon,all,25
learning_rate_init,0.20846996544769772,3,25,0.0011249165332914781,numeric_exact,3,5,compas,1,MLP,Rashomon,all,25
hidden_layer_sizes,0.18708170831688453,5,25,0.0011249165332914781,categorical_exact,5,2,compas,1,MLP,Rashomon,all,25
activation,0.035962135385973724,2,25,0.0011249165332914781,categorical_exact,2,12,compas,1,MLP,Rashomon,all,25
alpha,0.03577140326425823,4,25,0.0011249165332914781,numeric_exact,4,4,compas,1,MLP,Rashomon,all,25
max_features,0.2591231362570889,3,25,0.0031306548972121926,categorical_exact,3,7,compas,1,RF,Rashomon,all,25
max_depth,0.1397484454332645,4,25,0.0031306548972121926,numeric_exact,4,2,compas,1,RF,Rashomon,all,25
min_samples_leaf,0.01975379773137718,3,25,0.0031306548972121926,numeric_exact,3,5,compas,1,RF,Rashomon,all,25
n_estimators,0.017716840091924833,3,25,0.0031306548972121926,numeric_exact,3,7,compas,1,RF,Rashomon,all,25
min_samples_split,0.017514202359432067,3,25,0.0031306548972121926,numeric_exact,3,6,compas,1,RF,Rashomon,all,25
n_neighbors,0.19816747218549913,3,25,0.010175105983992247,numeric_tertile,3,6,compas,1,kNN,Rashomon,all,25
p,0.040890229135079975,2,25,0.010175105983992247,numeric_exact,2,12,compas,1,kNN,Rashomon,all,25
max_depth,0.17978673655233632,3,25,0.0020621308395222682,numeric_exact,3,6,compas,1,GBM,Rashomon,HH,25
n_estimators,0.06178346110184507,3,25,0.0020621308395222682,numeric_exact,3,6,compas,1,GBM,Rashomon,HH,25
subsample,0.0523001502075478,3,25,0.0020621308395222682,numeric_exact,3,5,compas,1,GBM,Rashomon,HH,25
learning_rate,0.021957411933465815,4,25,0.0020621308395222682,numeric_exact,4,3,compas,1,GBM,Rashomon,HH,25
C,0.6049488748477251,3,25,2.8998404987463164e-07,numeric_tertile,3,2,compas,1,LogReg,Rashomon,HH,25
l1_ratio,0.03848110958968775,3,25,2.8998404987463164e-07,numeric_tertile,3,6,compas,1,LogReg,Rashomon,HH,25
hidden_layer_sizes,0.23815037366073513,5,25,0.0020373953174838287,categorical_exact,5,2,compas,1,MLP,Rashomon,HH,25
learning_rate_init,0.18401277901838584,3,25,0.0020373953174838287,numeric_exact,3,5,compas,1,MLP,Rashomon,HH,25
activation,0.046697297199379345,2,25,0.0020373953174838287,categorical_exact,2,12,compas,1,MLP,Rashomon,HH,25
alpha,0.038976372587365415,4,25,0.0020373953174838287,numeric_exact,4,4,compas,1,MLP,Rashomon,HH,25
max_features,0.26287488515326896,3,25,0.007128551567579891,categorical_exact,3,7,compas,1,RF,Rashomon,HH,25
max_depth,0.19730009652436736,4,25,0.007128551567579891,numeric_exact,4,2,compas,1,RF,Rashomon,HH,25
n_estimators,0.08114657120613392,3,25,0.007128551567579891,numeric_exact,3,7,compas,1,RF,Rashomon,HH,25
min_samples_leaf,0.05516572636446487,3,25,0.007128551567579891,numeric_exact,3,5,compas,1,RF,Rashomon,HH,25
min_samples_split,0.010717920146611715,3,25,0.007128551567579891,numeric_exact,3,6,compas,1,RF,Rashomon,HH,25
n_neighbors,0.29375358928623463,3,25,0.017072491683532,numeric_tertile,3,6,compas,1,kNN,Rashomon,HH,25
p,0.03524371656410751,2,25,0.017072491683532,numeric_exact,2,12,compas,1,kNN,Rashomon,HH,25
max_depth,0.198995916301245,3,25,0.0008635375821181624,numeric_exact,3,6,compas,1,GBM,Rashomon,non_HH,25
n_estimators,0.18815922155624284,3,25,0.0008635375821181624,numeric_exact,3,6,compas,1,GBM,Rashomon,non_HH,25
learning_rate,0.0290124705372338,4,25,0.0008635375821181624,numeric_exact,4,3,compas,1,GBM,Rashomon,non_HH,25
subsample,0.008368688922630794,3,25,0.0008635375821181624,numeric_exact,3,5,compas,1,GBM,Rashomon,non_HH,25
C,0.6715169406296756,3,25,6.504901092496268e-07,numeric_tertile,3,2,compas,1,LogReg,Rashomon,non_HH,25
l1_ratio,0.034647504113976324,3,25,6.504901092496268e-07,numeric_tertile,3,6,compas,1,LogReg,Rashomon,non_HH,25
learning_rate_init,0.2116511371857489,3,25,0.001026099706431938,numeric_exact,3,5,compas,1,MLP,Rashomon,non_HH,25
hidden_layer_sizes,0.17153783357826632,5,25,0.001026099706431938,categorical_exact,5,2,compas,1,MLP,Rashomon,non_HH,25
alpha,0.034834201282583764,4,25,0.001026099706431938,numeric_exact,4,4,compas,1,MLP,Rashomon,non_HH,25
activation,0.032539657020314465,2,25,0.001026099706431938,categorical_exact,2,12,compas,1,MLP,Rashomon,non_HH,25
max_features,0.2553133420022265,3,25,0.0026977029536470274,categorical_exact,3,7,compas,1,RF,Rashomon,non_HH,25
max_depth,0.14790604861093526,4,25,0.0026977029536470274,numeric_exact,4,2,compas,1,RF,Rashomon,non_HH,25
min_samples_split,0.02528288031364688,3,25,0.0026977029536470274,numeric_exact,3,6,compas,1,RF,Rashomon,non_HH,25
min_samples_leaf,0.012130115595617786,3,25,0.0026977029536470274,numeric_exact,3,5,compas,1,RF,Rashomon,non_HH,25
n_estimators,0.007782739395899363,3,25,0.0026977029536470274,numeric_exact,3,7,compas,1,RF,Rashomon,non_HH,25
n_neighbors,0.18347064323638906,3,25,0.009428154076438404,numeric_tertile,3,6,compas,1,kNN,Rashomon,non_HH,25
p,0.04153976678964483,2,25,0.009428154076438404,numeric_exact,2,12,compas,1,kNN,Rashomon,non_HH,25
n_estimators,0.21200320677944018,3,25,0.0010818740777511291,numeric_exact,3,5,compas,2,GBM,Rashomon,all,25
learning_rate,0.15933832266962447,4,25,0.0010818740777511291,numeric_exact,4,3,compas,2,GBM,Rashomon,all,25
max_depth,0.00903477393917901,4,25,0.0010818740777511291,numeric_exact,4,4,compas,2,GBM,Rashomon,all,25
subsample,0.00858347028037755,3,25,0.0010818740777511291,numeric_exact,3,5,compas,2,GBM,Rashomon,all,25
