hp_name,ratio_of_sums,n_values,n_models,mean_V_m,grouping_type,n_groups,min_group_size,dataset,seed,family,pool_type,subset,K_actual
learning_rate,0.3035804316638696,3,24,0.007928455180719158,numeric_exact,3,7,german,0,GBM,Rashomon,all,25
n_estimators,0.0964501079343602,3,25,0.008162053260984377,numeric_exact,3,3,german,0,GBM,Rashomon,all,25
subsample,0.08052740041545504,3,25,0.008162053260984377,numeric_exact,3,7,german,0,GBM,Rashomon,all,25
max_depth,0.05254275612508509,4,25,0.008162053260984377,numeric_exact,4,6,german,0,GBM,Rashomon,all,25
C,0.22093185816484606,3,25,0.003336879430949244,numeric_tertile,3,5,german,0,LogReg,Rashomon,all,25
l1_ratio,0.008126000324252569,3,25,0.003336879430949244,numeric_tertile,3,3,german,0,LogReg,Rashomon,all,25
learning_rate_init,0.3963493911841622,3,25,0.009703370044446416,numeric_exact,3,3,german,0,MLP,Rashomon,all,25
activation,0.15118332624893097,2,25,0.009703370044446416,categorical_exact,2,10,german,0,MLP,Rashomon,all,25
hidden_layer_sizes,0.07262279917998743,5,25,0.009703370044446416,categorical_exact,5,4,german,0,MLP,Rashomon,all,25
alpha,0.02022717665527032,4,25,0.009703370044446416,numeric_exact,4,5,german,0,MLP,Rashomon,all,25
max_features,0.8259654655697477,3,25,0.001937937554382412,categorical_exact,3,4,german,0,RF,Rashomon,all,25
n_estimators,0.1751011025662876,3,25,0.001937937554382412,numeric_exact,3,6,german,0,RF,Rashomon,all,25
max_depth,0.08874044121293993,3,20,0.0015298358610412166,numeric_exact,3,6,german,0,RF,Rashomon,all,25
min_samples_leaf,0.08334459701637857,3,25,0.001937937554382412,numeric_exact,3,3,german,0,RF,Rashomon,all,25
min_samples_split,0.03521462624531208,3,25,0.001937937554382412,numeric_exact,3,6,german,0,RF,Rashomon,all,25
n_neighbors,0.8335378654598181,3,25,0.004520903837583603,numeric_tertile,3,4,german,0,kNN,Rashomon,all,25
p,0.029726320553789008,2,25,0.004520903837583603,numeric_exact,2,8,german,0,kNN,Rashomon,all,25
weights,0.0029113622575459466,2,25,0.004520903837583603,categorical_exact,2,12,german,0,kNN,Rashomon,all,25
learning_rate,0.1296073785292858,3,24,0.017878766543907913,numeric_exact,3,7,german,0,GBM,Rashomon,HH,25
subsample,0.011969093562134568,3,25,0.017618962417810344,numeric_exact,3,7,german,0,GBM,Rashomon,HH,25
n_estimators,0.01013883780866689,3,25,0.017618962417810344,numeric_exact,3,3,german,0,GBM,Rashomon,HH,25
max_depth,0.005108670562733483,4,25,0.017618962417810344,numeric_exact,4,6,german,0,GBM,Rashomon,HH,25
C,0.42610092543335065,3,25,0.013112916272220148,numeric_tertile,3,5,german,0,LogReg,Rashomon,HH,25
l1_ratio,0.0030603809600852107,3,25,0.013112916272220148,numeric_tertile,3,3,german,0,LogReg,Rashomon,HH,25
learning_rate_init,0.3174016273119646,3,25,0.014817481556937535,numeric_exact,3,3,german,0,MLP,Rashomon,HH,25
activation,0.11100697226316386,2,25,0.014817481556937535,categorical_exact,2,10,german,0,MLP,Rashomon,HH,25
alpha,0.06501233119209304,4,25,0.014817481556937535,numeric_exact,4,5,german,0,MLP,Rashomon,HH,25
hidden_layer_sizes,0.05973625955684582,5,25,0.014817481556937535,categorical_exact,5,4,german,0,MLP,Rashomon,HH,25
max_features,0.5687593508192696,3,25,0.003271299511691024,categorical_exact,3,4,german,0,RF,Rashomon,HH,25
n_estimators,0.17245664709606914,3,25,0.003271299511691024,numeric_exact,3,6,german,0,RF,Rashomon,HH,25
min_samples_leaf,0.09330892420256705,3,25,0.003271299511691024,numeric_exact,3,3,german,0,RF,Rashomon,HH,25
max_depth,0.07887714447444863,3,20,0.0023820287882048152,numeric_exact,3,6,german,0,RF,Rashomon,HH,25
min_samples_split,0.05915838439558535,3,25,0.003271299511691024,numeric_exact,3,6,german,0,RF,Rashomon,HH,25
n_neighbors,0.6466409326115866,3,25,0.005390131807561022,numeric_tertile,3,4,german,0,kNN,Rashomon,HH,25
p,0.05160796355555207,2,25,0.005390131807561022,numeric_exact,2,8,german,0,kNN,Rashomon,HH,25
weights,0.0016157717556797239,2,25,0.005390131807561022,categorical_exact,2,12,german,0,kNN,Rashomon,HH,25
learning_rate,0.31490585882671845,3,24,0.007567563058738219,numeric_exact,3,7,german,0,GBM,Rashomon,non_HH,25
n_estimators,0.10424500370814682,3,25,0.007819056555814522,numeric_exact,3,3,german,0,GBM,Rashomon,non_HH,25
subsample,0.0860273282508719,3,25,0.007819056555814522,numeric_exact,3,7,german,0,GBM,Rashomon,non_HH,25
max_depth,0.060052691606121304,4,25,0.007819056555814522,numeric_exact,4,6,german,0,GBM,Rashomon,non_HH,25
C,0.20305602144256038,3,25,0.0029823081465508174,numeric_tertile,3,5,german,0,LogReg,Rashomon,non_HH,25
l1_ratio,0.00849034945625248,3,25,0.0029823081465508174,numeric_tertile,3,3,german,0,LogReg,Rashomon,non_HH,25
learning_rate_init,0.41259971929555944,3,25,0.009517884134666948,numeric_exact,3,3,german,0,MLP,Rashomon,non_HH,25
activation,0.14502763327398596,2,25,0.009517884134666948,categorical_exact,2,10,german,0,MLP,Rashomon,non_HH,25
hidden_layer_sizes,0.0708919770276679,5,25,0.009517884134666948,categorical_exact,5,4,german,0,MLP,Rashomon,non_HH,25
alpha,0.02311175129873116,4,25,0.009517884134666948,numeric_exact,4,5,german,0,MLP,Rashomon,non_HH,25
max_features,0.8406162601088172,3,25,0.0018895772761380583,categorical_exact,3,4,german,0,RF,Rashomon,non_HH,25
n_estimators,0.17368025502168583,3,25,0.0018895772761380583,numeric_exact,3,6,german,0,RF,Rashomon,non_HH,25
max_depth,0.08834467768405473,3,20,0.001498927309278806,numeric_exact,3,6,german,0,RF,Rashomon,non_HH,25
min_samples_leaf,0.08239775372324204,3,25,0.0018895772761380583,numeric_exact,3,3,german,0,RF,Rashomon,non_HH,25
