method,metric,mean,std,mean_plus_minus_std,dataset
platt,delta_mean_variance,0.0003131601876034451,4.852617436625991e-05,0.0003 ± 0.0000,adult
platt,delta_moran_i,0.002698759569542327,0.006819122558920895,0.0027 ± 0.0068,adult
platt,delta_n_HH,83.0,61.64594246357356,83.0000 ± 61.6459,adult
platt,jaccard_HH_before_after,0.48488973685330305,0.06178059747514652,0.4849 ± 0.0618,adult
platt,brier_improvement,-0.0025937601710069704,0.00031522119382618993,-0.0026 ± 0.0003,adult
isotonic,delta_mean_variance,0.00011496217577874502,7.281577925739524e-05,0.0001 ± 0.0001,adult
isotonic,delta_moran_i,0.009697158571108717,0.0025512770459175617,0.0097 ± 0.0026,adult
isotonic,delta_n_HH,160.5,72.8182669390037,160.5000 ± 72.8183,adult
isotonic,jaccard_HH_before_after,0.6201393441209515,0.06486759912106625,0.6201 ± 0.0649,adult
isotonic,brier_improvement,-4.830717477590368e-05,0.00011744316650081362,-0.0000 ± 0.0001,adult
platt,delta_mean_variance,-0.00032361392957003834,0.0001327378372309635,-0.0003 ± 0.0001,compas
platt,delta_moran_i,-0.017506462356761836,0.032942542762625315,-0.0175 ± 0.0329,compas
platt,delta_n_HH,-7.8,23.606966956576375,-7.8000 ± 23.6070,compas
platt,jaccard_HH_before_after,0.5129971779338115,0.16407821075520085,0.5130 ± 0.1641,compas
platt,brier_improvement,8.117710746432804e-05,0.00033997151059739645,0.0001 ± 0.0003,compas
isotonic,delta_mean_variance,0.0005251265555458126,0.00015418335563643592,0.0005 ± 0.0002,compas
isotonic,delta_moran_i,-0.035599751036874794,0.05966067120688259,-0.0356 ± 0.0597,compas
isotonic,delta_n_HH,-25.1,45.98900834861401,-25.1000 ± 45.9890,compas
isotonic,jaccard_HH_before_after,0.3955847728642198,0.16115855777003552,0.3956 ± 0.1612,compas
isotonic,brier_improvement,-0.0005690493079282572,0.000500241492848069,-0.0006 ± 0.0005,compas
platt,delta_mean_variance,-0.00025291735770118645,0.0007537674087455258,-0.0003 ± 0.0008,german
platt,delta_moran_i,-0.010686658316713065,0.035121938475574904,-0.0107 ± 0.0351,german
platt,delta_n_HH,-2.1,4.408325456829762,-2.1000 ± 4.4083,german
platt,jaccard_HH_before_after,0.47259740259740257,0.32765197372131516,0.4726 ± 0.3277,german
platt,brier_improvement,0.0005877953155830507,0.0030658880079118336,0.0006 ± 0.0031,german
isotonic,delta_mean_variance,0.0027911573035310205,0.0014817959373865102,0.0028 ± 0.0015,german
isotonic,delta_moran_i,0.006382790792118757,0.04306001287964341,0.0064 ± 0.0431,german
isotonic,delta_n_HH,0.9,5.173651192984184,0.9000 ± 5.1737,german
isotonic,jaccard_HH_before_after,0.25947577276524647,0.306918018443787,0.2595 ± 0.3069,german
isotonic,brier_improvement,-0.0005441961311322657,0.004552523173277749,-0.0005 ± 0.0046,german
