feature,n_rules_with_feature,n_seeds_with_feature,mean_purity_when_used,mean_lift_when_used
priors_count,26,8,0.41433250756115725,19.295079240323673
age,26,7,0.36225943047380393,15.776446445689446
race_African-American,6,4,0.32371556658617645,16.922976773421937
c_charge_degree_F,3,3,0.42806823044307,27.726683393628196
sex_Female,4,2,0.40578855879268266,19.455734056752412
race_Hispanic,4,2,0.3134669479606188,8.55239265367233
race_Other,3,1,0.5892255892255892,26.57039141414141
sex_Male,2,1,0.39814814814814814,18.37152777777778
c_charge_degree_M,1,1,0.5740740740740741,26.722222222222225
race_Caucasian,1,1,0.4146341463414634,16.61991869918699
race_Asian,1,1,0.4,16.033333333333335
